algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,step
ppo_nonlinear,43,0.0,-109.90384496935599,0.0,1.65261117313518,-53.300225051577286,40.03929590237676,0.0,
ppo_nonlinear,43,10.0,-110.12352487765001,0.0,1.6850936451637608,-45.34723080455208,34.49050711393814,0.0,
ppo_nonlinear,43,20.0,-85.17656286854464,0.0,1.636852357782118,-37.377778718288255,28.787585121826016,0.0,
ppo_nonlinear,43,30.0,-87.2589747621369,0.0,1.5389039244834446,-28.97043569765131,22.356369444059435,0.0,
ppo_nonlinear,43,40.0,-76.04943751043969,0.0,1.4989757537102075,-26.260389043389313,20.056053052546332,0.0,
ppo_nonlinear,43,50.0,-69.8099458849073,0.0,1.5937837323472195,-25.154430600465947,19.247562122374816,0.0,
ppo_nonlinear,43,60.0,-67.80782007970096,0.0,1.4562981659546494,-24.018017220143907,18.378597402948525,0.0,
ppo_nonlinear,43,70.0,-58.39029023018271,0.0,1.438245220778602,-23.024283275360702,17.666194729965866,0.0,
ppo_nonlinear,43,80.0,-58.122510523270414,0.0,1.4327334541746193,-23.02093032668793,17.678616219469962,0.0,
ppo_nonlinear,43,90.0,-53.76988759740254,0.0,1.413553749651631,-21.647903045284853,16.542394287181708,0.0,
ppo_nonlinear,43,100.0,-60.49776495872195,0.0,1.4667046059100055,-21.36602544234044,16.462026410858133,0.0,
ppo_nonlinear,43,110.0,-54.196155997484546,0.0,1.429760153020349,-21.240263014149896,16.21266193417173,0.0,
ppo_nonlinear,43,120.0,-57.77529245005122,0.0,1.5035149571400932,-20.896159456207553,15.981759387664383,0.0,
ppo_nonlinear,43,130.0,-43.5763599583774,0.0,1.363459750373598,-20.944990477132738,16.11076841376823,0.0,
ppo_nonlinear,43,140.0,-49.266085358125316,0.0,1.3237828210715936,-20.49422165003203,15.91761873808621,0.0,
ppo_nonlinear,43,150.0,-43.06122364313527,0.0,1.3210416110896404,-19.671075990397767,15.229553417734598,0.0,
ppo_nonlinear,43,160.0,-40.80783908142194,0.0,1.3582039441298548,-19.426489296617998,15.195552116625043,0.0,
ppo_nonlinear,43,170.0,-42.24216311928288,0.0,1.4016011968045252,-18.947065451926548,14.913783341242558,0.0,
ppo_nonlinear,43,179.0,-39.89858515829234,0.0,1.408423482885458,-18.030697206318322,14.167549681787103,0.0,
sac_nonlinear,43,,,,,-19.812962009403847,15.55787019787469,0.0,2000.0
sac_nonlinear,43,,,,,-18.21125777426632,14.169906115179051,0.0,4000.0
sac_nonlinear,43,,,,,-19.004367174021443,14.791784317002486,0.0,6000.0
sac_nonlinear,43,,,,,-19.223339721195682,15.067689681090817,0.0,8000.0
sac_nonlinear,43,,,,,-18.278283333755713,14.278047655053578,0.0,10000.0
sac_nonlinear,43,,,,,-18.37706949032515,14.473462443240408,0.0,12000.0
sac_nonlinear,43,,,,,-20.74508877549906,15.94293592594088,0.0,14000.0
td3_nonlinear,43,,,,,-26.28678546816032,20.51781466329105,0.0,2000.0
td3_nonlinear,43,,,,,-20.67348642697637,15.926850885290255,0.0,4000.0
td3_nonlinear,43,,,,,-21.343432493845953,16.57514880977739,0.0,6000.0
td3_nonlinear,43,,,,,-20.507530004139614,15.905880839977579,0.0,8000.0
td3_nonlinear,43,,,,,-21.80776551052173,17.055180082048825,0.0,10000.0
td3_nonlinear,43,,,,,-21.094626466748267,16.29318757227465,0.0,12000.0
td3_nonlinear,43,,,,,-20.276682947738653,15.832652800646585,0.0,14000.0
