period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
0,-0.019737170630000023,0.03096444537982,1.0000938526302,1.0054346323013306,0.0018081417431306723
1,-0.0197918993231172,0.02828356259728457,1.0054346323013306,1.0064671039581299,0.0011187753822674937
2,-0.019870421462861776,0.025758183385454634,1.0064671039581299,1.0068645477294922,0.000983309279940497
3,-0.01992861227139464,0.028319434942498806,1.0068645477294922,1.0069643259048462,0.0011048098572734014
4,-0.02000217659016945,0.03040569037522947,1.0069643259048462,1.0070565938949585,0.0012157719409748753
5,-0.020068913793563015,0.029269691963198795,1.0070565938949585,1.0072342157363892,0.001159132317866479
6,-0.020137111523572226,0.02609615877091497,1.0072342157363892,1.0075061321258545,0.0010077775021925385
7,-0.0202062845469142,0.02186927587474559,1.0075061321258545,1.007850170135498,0.0008326573855143952
8,-0.02028018866984982,0.017439695003338557,1.007850170135498,1.0082279443740845,0.0006825650037622964
9,-0.020359319792165875,0.013290203632130909,1.0082279443740845,1.0085928440093994,0.0005731087414243527
10,-0.0204439611671281,0.00962127417174185,1.0085928440093994,1.0089149475097656,0.0005018060525153049
11,-0.020533780669019785,0.006437212460869951,1.0089149475097656,1.009186029434204,0.0004597501330682717
12,-0.02062838442133863,0.003642897563088136,1.009186029434204,1.00941002368927,0.0004382981307787042
13,-0.020727392707732273,0.0011157165020535243,1.00941002368927,1.009592056274414,0.0004314065019428009
14,-0.020830467845587064,-0.0012505786662919262,1.009592056274414,1.009732723236084,0.0004356637917912838
15,-0.02093727987796634,-0.0035267037954605763,1.009732723236084,1.0098280906677246,0.00044945875551802506
16,-0.021047450963596726,-0.005746665162783153,1.0098280906677246,1.0098719596862793,0.0004720531462759115
17,-0.02116052649637923,-0.00791607529831038,1.0098719596862793,1.0098594427108765,0.0005028870211788015
18,-0.02127598085801985,-0.01002370729540776,1.0098594427108765,1.0097888708114624,0.0005411859995676341
19,-0.021393254323426092,-0.012051704829369935,1.0097888708114624,1.0096631050109863,0.0005858484355720152
20,-0.021511799670624,-0.013982909320837154,1.0096631050109863,1.0094883441925049,0.0006355323395941544
21,-0.021631120731094855,-0.015804595160506165,1.0094883441925049,1.0092740058898926,0.0006888093011559469
22,-0.02175080040066435,-0.017509855792265144,1.0092740058898926,1.0090309381484985,0.0007443341093405162
23,-0.02187051619686642,-0.01909705852870947,1.0090309381484985,1.0087692737579346,0.0008009573951887134
