policy,period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
finite_horizon_dp,0,-1.8,-2.4,-0.2,0.0,6.124
finite_horizon_dp,1,-1.8850513934894912,-2.7129980960525115,0.0,0.0,7.2335980906889485
finite_horizon_dp,2,-1.9098002228033817,-2.578690332046896,0.0,0.0,6.972158805315912
finite_horizon_dp,3,-2.1019628978392366,-2.284256837937323,0.0,0.0,7.02716267472443
finite_horizon_dp,4,-1.9042549798898138,-2.4964474587696173,0.0,0.0,6.742311985633796
finite_horizon_dp,5,-1.9859346101637916,-1.2129684320166247,0.0,0.0,4.679582484380846
finite_horizon_dp,6,-1.9803874556530519,-1.1307634518253935,0.0,0.0,4.561247466500008
finite_horizon_dp,7,-1.5509323017454757,-1.7151064870640798,0.0,0.0,3.876186135582163
finite_horizon_dp,8,-1.5516796390187353,-1.3486512372865167,0.0,0.0,3.317139782062539
finite_horizon_dp,9,-1.5969100869782409,-1.4961612506766357,0.0,0.0,3.6693710699059903
finite_horizon_dp,10,-1.377429692319752,-0.9189101826841959,0.0,0.0,2.319510519204438
finite_horizon_dp,11,-1.762311795471238,-0.666014870072514,0.0,0.0,3.3275307680359125
finite_horizon_dp,12,-1.54567935482535,-0.9069919106788421,0.0,0.0,2.8004418309517387
finite_horizon_dp,13,-1.205016954219461,-0.5114078809312277,0.0,0.0,1.5828348702956312
finite_horizon_dp,14,-1.3735097909160934,0.11361506602869514,0.0,0.0,1.8929833373567229
finite_horizon_dp,15,-1.0273858347033453,0.3665574465414418,0.0,0.0,1.1227038341565807
finite_horizon_dp,16,-0.6178556235240289,0.5534047787057251,0.0,0.013142456579169978,0.5348912684839263
finite_horizon_dp,17,-0.3634701254903858,0.42377972103607386,0.013142456579169978,0.0031211933010380022,0.22191520067647208
finite_horizon_dp,18,-0.3694086712614769,0.08383981331599791,0.0031211933010380022,0.0005034067131809027,0.13997800883226258
finite_horizon_dp,19,0.0862142036911932,-0.6471013776426571,0.0005034067131809027,0.0,0.2168030107334508
finite_horizon_dp,20,-0.11757834164441144,-0.26163508351542564,0.0,0.0,0.048051124886911815
finite_horizon_dp,21,-0.08453291561770276,-0.44109957648756276,0.0,0.0,0.10443023201158327
finite_horizon_dp,22,-0.05296829871607546,-0.24665540785379347,0.0,0.0,0.033225085780636
finite_horizon_dp,23,-0.014597530289111732,0.4739468116120548,0.0,0.13105711116516305,0.11424347464785362
finite_horizon_dp,24,0.040477616975680406,-0.6408060610103634,0.13105711116516305,0.0,0.2086722380285345
finite_horizon_dp,25,-0.1659289404909094,-0.936750348375525,0.0,0.0,0.46628302088326945
finite_horizon_dp,26,-0.3512964225276047,0.0753948159902893,0.0,0.0020125300705279366,0.1262517706475266
finite_horizon_dp,27,-0.5451868729147539,0.2910091529570958,0.0020125300705279366,0.0,0.3395722949786997
finite_horizon_dp,28,0.01988091214998139,0.6663038097399496,0.0,0.3405469107547795,0.23397285394736314
finite_horizon_dp,29,0.10567525280308941,1.0986454955862393,0.3405469107547795,1.049570377990759,0.6649496492500964
finite_horizon_dp,30,0.49049396134828654,0.5951145436534705,1.049570377990759,1.1657660136408867,0.41901512872748736
finite_horizon_dp,31,0.5272860783154698,0.16506353506132845,1.1657660136408867,0.692456223656332,0.3140558094183013
finite_horizon_dp,32,0.3721279602771278,-0.8033985638822374,0.692456223656332,0.0,0.5091534072120751
finite_horizon_dp,33,0.08442582155389305,-0.8234470321298161,0.0,0.0,0.34616022670675095
finite_horizon_dp,34,-0.006737821699042121,-0.9995042535793286,0.0,0.0,0.4995497747028335
finite_horizon_dp,35,0.04008145265489729,-1.305229840395127,0.0,0.0,0.8534189909758712
finite_horizon_dp,36,-0.01615746856621636,-1.0589386323436243,0.0,0.0,0.5609365773253611
finite_horizon_dp,37,-0.2253744016375171,-2.079655760003857,0.0,0.0,2.2132776609720786
finite_horizon_dp,38,-0.556281226745566,-1.9826067128113578,0.0,0.0,2.2748134920718805
finite_horizon_dp,39,-0.7974820575006082,-1.5363216264049089,0.0,0.0,1.8161197019151156
finite_horizon_dp,40,-0.8985116330067634,-0.957759661274712,0.0,0.0,1.2659749390310062
finite_horizon_dp,41,-0.9889856871358598,-0.8418149178127452,0.0,0.0,1.3324188672856283
finite_horizon_dp,42,-0.6942951330587588,-0.4625815139300263,0.0,0.0,0.5890365603039771
finite_horizon_dp,43,-0.8943155082310711,-0.5546002471135927,0.0,0.0,0.9535909453118281
