policy_name,model_id,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,improvement_vs_pyfrbus_baseline_pct
pyfrbus_baseline,pyfrbus,0.014138058728244491,0.0006471046904062276,0.0003895585127858525,0.0005150923485238803,3.3584349285225005e-11,3.000025629750171,2.384179993806713e-05,0.0
sac_svar_revealed_direct,pyfrbus,0.027162838378096413,0.001275993621145218,0.0005297687736552704,0.001476209194704893,8.120250137500996e-05,3.004626070620603,0.0438207152618338,-92.1256581275299
empirical_taylor_rule,pyfrbus,0.8059700755183423,0.038684008365311016,0.0016138548070738815,0.07391933757044679,0.0011048477301373724,3.1040252043220087,0.11315322433448785,-5600.712459965986
sac_benchmark_transfer,pyfrbus,1.1852446856487533,0.05603210792056404,9.719907041348247e-05,0.11021864600556504,0.008255858473680343,2.8752132934545784,0.12655872190944673,-8283.362301932691
riccati_reference,pyfrbus,2.0924873827450536,0.09879037696530753,0.0002741378231594653,0.19374740304640403,0.01642537618946047,2.834520177150045,0.1815747583984334,-14700.386835038109
td3_benchmark_transfer,pyfrbus,2.481281457680535,0.11705812738184596,0.00037209335584261643,0.22890414470886444,0.02233961671571123,2.8198410523192727,0.20453213526969066,-17450.36886870135
sac_svar_direct,pyfrbus,12.555464868885828,0.5821593708758553,0.010680796205467328,1.0434364994348286,0.497603249529738,3.411465443009298,0.8291653556036056,-88706.14453668227
td3_svar_revealed_direct,pyfrbus,22.08916338348716,1.061551490560099,0.008128774308072706,2.0968678077333807,0.04988812385335828,2.4335041720440125,0.37477666031461354,-156139.0127815656
td3_svar_direct,pyfrbus,24.14105928653149,1.1470741158815319,0.018991169302844276,2.200155045105239,0.28005424026067866,3.6525054859085877,0.5842296666791846,-170652.29174358552
td3_ann_revealed_direct,pyfrbus,26.38417092677652,1.2549603631003687,0.019294306697431877,2.4594363436653643,0.05947884570254733,3.40972043361079,0.9691532520539048,-186518.06004573454
ppo_ann_direct,pyfrbus,38.795143594927545,1.879377767347707,0.028057726935162397,3.6765204241399183,0.13059828342585375,3.947363976127631,0.3619565512786375,-274302.19580800046
sac_ann_revealed_direct,pyfrbus,91.14805135922514,4.530200746957816,0.05449466547562263,8.94434468634005,0.03533738312168084,4.7120883568663245,0.5723246538965834,-644599.9061981044
ppo_svar_revealed_direct,pyfrbus,673.6589324228805,32.926353539334734,0.47215888043323817,64.76444238189453,0.7197346795423515,8.614190863058246,0.5554951928844954,-4764761.607747247
ppo_ann_revealed_direct,pyfrbus,795.6563383480483,39.01956744657816,0.566819685278798,76.77718856312951,0.6415347973460153,9.5275382138379,0.7948619019317604,-5627662.294964269
