policy_name,model_id,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,solver_status,improvement_vs_NK_CW09_baseline_pct,improvement_vs_NK_CW09_baseline_revealed_pct
sac_benchmark_transfer,NK_CW09,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,920.1957024428153,14.598845872723588,10730.52218456574,126.06982594649003,10.984607671135926,6.136400291759889,5.460380557077184,0.22327106159438256,4.230678921352631,ok,37.39676202139291,7.659316211278562
sac_svar_direct,NK_CW09,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,964.0927130099104,13.671636133032724,9934.417562342476,115.26495811605174,5.807500698833359,14.76801464497866,4.80128111710034,0.1808822766200551,3.606479616880188,ok,34.410337512143414,14.510133340122039
td3_benchmark_transfer,NK_CW09,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,1069.1525919374599,17.27064227327843,12015.758097443828,141.51887803156797,14.645318679756105,4.022631687340063,6.140077498522901,0.24552473935845887,4.604589538190351,ok,27.262848575773646,-3.4006826390744225
td3_svar_direct,NK_CW09,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,1144.4341472597002,17.20357692256241,17470.340334642347,201.17976041681007,12.94984789010567,6.6919272681052435,9.077653984041195,0.2383958021687189,4.683179081552019,ok,22.141254211958667,-50.33967077976285
empirical_taylor_rule,NK_CW09,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,1383.6674424633916,19.711605691598308,4422.544951772329,53.156564442868195,12.768763226116109,13.602955113759853,1.4136490860227229,0.19266347698888286,3.360978812455335,ok,5.865608854906189,61.942129384867215
NK_CW09_baseline,NK_CW09,external_baseline,2.0,0.25,0.0,1469.8851563512842,18.47900910971374,11620.579082040947,133.61414403790278,2.591518699506641,30.74022055181054,5.173801343018294,0.13849993313348252,3.1317331542378493,ok,0.0,0.0
sac_svar_revealed_direct,NK_CW09,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,2602.6664096972745,29.436846766975872,4450.241215977201,48.97109277604375,8.94107751887184,40.952488708343,0.1952489393253902,0.09904695419302362,1.6875348288369147,ok,-77.06596998080506,61.70379131230356
ppo_svar_direct_nonlinear,NK_CW09,svar_direct,1.2466380078827537,0.5074466029259089,-0.1057424658280237,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_svar_direct,NK_CW09,svar_direct,0.2523981567815053,0.1503624057740744,0.2816566566409654,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_direct,NK_CW09,ann_direct,-0.959321270308328,0.5472183921980825,0.1080788892883044,inf,inf,inf,inf,,,,,,failed,-inf,-inf
td3_ann_direct,NK_CW09,ann_direct,-1.082625149309122,0.967378900239466,0.4305887562735639,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_direct_nonlinear,NK_CW09,ann_direct,0.5999405734711161,0.5990150366658124,0.0491231228283324,inf,inf,inf,inf,,,,,,failed,-inf,-inf
sac_ann_direct,NK_CW09,ann_direct,-1.2027775887160563,1.1252890386703684,0.5284178823189376,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_svar_revealed_direct,NK_CW09,svar_revealed_direct,-0.3360201548057305,0.1772042694405999,0.6133699482182594,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_svar_revealed_direct_nonlinear,NK_CW09,svar_revealed_direct,0.0010851984364717,-0.0017277002714858,-0.000798077192071,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_benchmark_transfer,NK_CW09,benchmark_transfer,0.4809672945737837,0.4771268858015537,0.2629074889123439,inf,inf,inf,inf,,,,,,failed,-inf,-inf
td3_svar_revealed_direct,NK_CW09,svar_revealed_direct,-0.0025121497772024,-0.148786795047988,0.9477881731460192,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_revealed_direct,NK_CW09,ann_revealed_direct,0.5368597997803236,-0.250778224863415,0.5585725617360908,inf,inf,inf,inf,,,,,,failed,-inf,-inf
td3_ann_revealed_direct,NK_CW09,ann_revealed_direct,-0.1511408135492509,0.1472029439613109,0.8871354255725383,inf,inf,inf,inf,,,,,,failed,-inf,-inf
ppo_ann_revealed_direct_nonlinear,NK_CW09,ann_revealed_direct,7.518658540344514e-06,-5.233386810579525e-06,3.127369152992458e-06,inf,inf,inf,inf,,,,,,failed,-inf,-inf
sac_ann_revealed_direct,NK_CW09,ann_revealed_direct,-0.1426743048464857,0.092528694534162,0.9683648999693326,inf,inf,inf,inf,,,,,,failed,-inf,-inf
