policy_name,model_id,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,improvement_vs_pyfrbus_baseline_pct,improvement_vs_pyfrbus_baseline_revealed_pct,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,solver_status,improvement_vs_US_SW07_baseline_pct,improvement_vs_US_SW07_baseline_revealed_pct,improvement_vs_US_CCTW10_baseline_pct,improvement_vs_US_CCTW10_baseline_revealed_pct,improvement_vs_US_KS15_baseline_pct,improvement_vs_US_KS15_baseline_revealed_pct,improvement_vs_NK_CW09_baseline_pct,improvement_vs_NK_CW09_baseline_revealed_pct
pyfrbus_baseline,pyfrbus,0.0141380587282444,0.0006471046904062,0.018557522716757,0.0008437227292652,0.0003895585127858,0.0005150923485238,3.3584349285225005e-11,3.000025629750171,2.384179993806713e-05,0.0,0.0,,,,,,,,,,,,,
sac_svar_revealed_direct,pyfrbus,0.0271628383780964,0.0012759936211452,0.0744706067746312,0.0034623572275014,0.0005297687736552,0.0014762091947048,8.120250137500996e-05,3.004626070620603,0.0438207152618338,-92.1256581275299,-301.2960561130613,,,,,,,,,,,,,
empirical_taylor_rule,pyfrbus,0.8059700755183423,0.038684008365311,1.9024835434674023,0.088980944382639,0.0016138548070738,0.0739193375704467,0.0011048477301373,3.1040252043220087,0.1131532243344878,-5600.712459965986,-10151.818480866012,,,,,,,,,,,,,
sac_benchmark_transfer,pyfrbus,1.1852446856487533,0.056032107920564,6.009159055811692,0.2631017456168107,9.719907041348247e-05,0.110218646005565,0.0082558584736803,2.8752132934545784,0.1265587219094467,-8283.362301932691,-32281.25663392325,,,,,,,,,,,,,
riccati_reference,pyfrbus,2.0924873827450536,0.0987903769653075,11.479625221900037,0.5010162124067156,0.0002741378231594,0.193747403046404,0.0164253761894604,2.834520177150045,0.1815747583984334,-14700.386835038107,-61759.68567633334,,,,,,,,,,,,,
td3_benchmark_transfer,pyfrbus,2.481281457680535,0.1170581273818459,14.97255466438143,0.6509030152414499,0.0003720933558426,0.2289041447088644,0.0223396167157112,2.8198410523192727,0.2045321352696906,-17450.36886870135,-80581.86089763786,,,,,,,,,,,,,
td3_svar_revealed_direct,pyfrbus,22.08916338348716,1.061551490560099,62.50159079223402,2.85899381593082,0.0081287743080727,2.0968678077333807,0.0498881238533582,2.4335041720440125,0.3747766603146135,-156139.0127815656,-336699.21477771696,,,,,,,,,,,,,
td3_svar_direct,pyfrbus,24.14105928653149,1.147074115881532,175.67396064735672,7.583935924780835,0.0189911693028442,2.200155045105239,0.2800542402606786,3.652505485908588,0.5842296666791846,-170652.29174358552,-946545.5373848327,,,,,,,,,,,,,
td3_ann_revealed_direct,pyfrbus,26.38417092677652,1.2549603631003687,72.84677410542488,3.3824754827788994,0.0192943066974318,2.4594363436653643,0.0594788457025473,3.40972043361079,0.9691532520539048,-186518.0600457345,-392445.789744048,,,,,,,,,,,,,
ppo_ann_direct,pyfrbus,38.795143594927545,1.879377767347707,130.27814023463964,5.892829666970525,0.0280577269351623,3.6765204241399183,0.1305982834258537,3.947363976127631,0.3619565512786375,-274302.19580800046,-701923.336967286,,,,,,,,,,,,,
