policy_name,model_id,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,parent_policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,converged,iterations,clip_rate,max_fixed_point_gap
sac_svar_revealed_direct_lagged_policy_rate_gap_x0p85,pyfrbus,0.10429501583609875,0.00506919247017509,0.0002347387387280729,0.009665280056698937,1.8137030975479878e-05,2.9582042019056125,0.008581411508281029,sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.0509750434082332,0.7911145388199983,True,7,0.0,0.0
sac_svar_revealed_direct_all_x0p85,pyfrbus,0.1092432705237315,0.005317030960951312,0.0002318260017203057,0.010166730393630202,1.839762415905919e-05,2.9565127852444952,0.00902205306141697,sac_svar_revealed_direct,0.1952349032153061,0.05769302175958645,0.04332878689699822,0.7911145388199983,True,7,0.0,0.0
empirical_taylor_rule_lagged_policy_rate_gap_x0p85,pyfrbus,0.18498802959000055,0.008862648229797673,0.00016697623241612668,0.01736536524267718,0.00012989376042955687,2.9509412033202227,0.025066487980622578,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.2657685748665041,0.7388198021606447,True,10,0.0,0.0
empirical_taylor_rule_all_x0p85,pyfrbus,0.2226195700447397,0.010709233818607083,0.00015353523073927716,0.021084326538960547,0.000135353183875327,2.9442302070084785,0.0253699224268462,empirical_taylor_rule,0.2165731284960799,0.16419688976014837,0.2259032886365285,0.7388198021606447,True,10,0.0,0.0
empirical_taylor_rule_output_gap_x1p30,pyfrbus,0.5275583118287557,0.025070895558025236,0.0013427839096687019,0.04722401829857495,0.0011610249906905768,3.0809560340721256,0.10912474550246895,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.34549914732645537,0.8691997672478173,True,13,0.0,0.0
empirical_taylor_rule_output_gap_x1p15,pyfrbus,0.6457805815581374,0.030832778321162952,0.0014625812547185556,0.058514013167050016,0.0011319048291939028,3.0906703587946596,0.11155779118217676,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.3056338610964797,0.8691997672478173,True,13,0.0,0.0
empirical_taylor_rule_inflation_gap_x1p30,pyfrbus,0.7662948238898596,0.036757410981479145,0.0015750173453208027,0.07014904131678017,0.0010787297776826878,3.100756095429647,0.1121063874097583,empirical_taylor_rule,0.2165731284960799,0.25112465492728575,0.2657685748665041,0.8691997672478173,True,13,0.0,0.0
empirical_taylor_rule_inflation_gap_x1p15,pyfrbus,0.7859054803212495,0.037709520907204495,0.0015942820083809969,0.07201212582599074,0.0010917598582812521,3.102378646147866,0.11263434068818466,empirical_taylor_rule,0.2165731284960799,0.2221487332049066,0.2657685748665041,0.8691997672478173,True,13,0.0,0.0
empirical_taylor_rule,pyfrbus,0.8059700755183423,0.038684008365311016,0.0016138548070738815,0.07391933757044679,0.0011048477301373724,3.1040252043220087,0.11315322433448785,empirical_taylor_rule,0.2165731284960799,0.1931728114825275,0.2657685748665041,0.8691997672478173,True,13,0.0,0.0
empirical_taylor_rule_inflation_gap_x0p85,pyfrbus,0.826498760188215,0.03968138149348232,0.0016337413920483304,0.07587168168145249,0.0011179926070774995,3.1056961339572484,0.11366279556633865,empirical_taylor_rule,0.2165731284960799,0.16419688976014837,0.2657685748665041,0.8691997672478173,True,13,0.0,0.0
