policy,period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
finite_horizon_dp,0,1.3,-1.8,0.0,-0.5266666666666666,106.21685027777778
finite_horizon_dp,1,0.604562149105568,-1.2640258321206117,-0.5266666666666666,-0.9992765953375093,15.290123676542324
finite_horizon_dp,2,0.288281041150813,-1.3107781810621832,-0.9992765953375093,-1.7044796766663137,17.692981652191467
finite_horizon_dp,3,0.24970815615118505,-1.552690400658621,-1.7044796766663137,-2.3411615605456904,40.708201664949286
finite_horizon_dp,4,-0.0030153701922254195,-1.432803547275955,-2.3411615605456904,-2.8930300412479406,27.404365531270454
finite_horizon_dp,5,-0.028886324382777374,-0.5067601834950566,-2.8930300412479406,-1.6001361593184318,0.3256355106373634
finite_horizon_dp,6,-0.1033521451170189,-0.25417029238190103,-1.6001361593184318,-0.8544171111439052,0.09859262454607207
finite_horizon_dp,7,0.01460238039651661,0.09425409831191878,-0.8544171111439052,0.061145950193432066,0.08848071896608067
finite_horizon_dp,8,0.12865355356377983,0.5105166071911001,0.061145950193432066,0.6680341400712742,0.18369666745486474
finite_horizon_dp,9,0.1140582222914418,-0.13499364667545605,0.6680341400712742,0.012928925147773168,0.06503720465564952
finite_horizon_dp,10,-0.018726671746500653,0.44005590129263644,0.012928925147773168,0.426412319882097,0.11427213813804055
finite_horizon_dp,11,-0.0650348374474497,0.9222610758159444,0.426412319882097,1.184448063355096,0.486974094902674
finite_horizon_dp,12,-0.4698399045425762,1.6505351440286873,1.184448063355096,1.9001539856143848,1.6341061634531788
finite_horizon_dp,13,-0.2259045003004865,1.0761295685333738,1.9001539856143848,1.8448703964253816,0.630365894915287
finite_horizon_dp,14,-0.3133983917683002,-0.0739086074299583,1.8448703964253816,0.10675213267628818,0.4030553029668912
finite_horizon_dp,15,-0.19558942259965817,-0.07308457673229021,0.10675213267628818,-0.25101864754738124,0.053725893029122
finite_horizon_dp,16,0.08840997458096478,-0.20341787166510156,-0.25101864754738124,-0.17209723734256485,0.02912859776065839
finite_horizon_dp,17,0.0852786474809939,0.4105653131814188,-0.17209723734256485,0.4863691264445774,0.13491218113397202
finite_horizon_dp,18,0.02775266401942844,-0.07770645909772328,0.4863691264445774,-0.04395466665356619,0.03191368980552861
finite_horizon_dp,19,-0.11099842559027553,0.5914320417553526,-0.04395466665356619,0.47826521670023653,0.21448794114797845
finite_horizon_dp,20,-0.054091991146307694,0.21482407912470003,0.47826521670023653,0.26517481526489195,0.030541387910447547
finite_horizon_dp,21,-0.10753440762906774,-0.5400173896261854,0.26517481526489195,-0.6313299873956295,0.2908446723933518
finite_horizon_dp,22,-0.29509322220659695,-0.14016557512121544,-0.6313299873956295,-0.5812433789422421,0.09715407085143883
finite_horizon_dp,23,-0.1971429139277812,0.2965150187596303,-0.5812433789422421,0.04844409886478104,0.12247653865764555
finite_horizon_dp,24,0.04626855900622416,0.2979618288332671,0.04844409886478104,0.35766147184991465,0.05609294364892776
finite_horizon_dp,25,0.2828560979071479,0.254482300559098,0.35766147184991465,0.6479503544563843,0.12083593297360476
finite_horizon_dp,26,-0.15517826373912114,0.0022926841172400403,0.6479503544563843,-0.06259908385162771,0.07457097216530209
