algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,env_id,group,tier,step
ppo,43,100.0,-205.90928618454967,0.0,1.6573616983187094,-138.13319545243675,130.58656534161366,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,120.0,-217.69242464246867,0.0,1.6082157194289266,-161.9757126219533,153.55782116227616,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,140.0,-181.2115073125234,0.0,1.5046475396491132,-178.54536117167493,170.4407468609318,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,160.0,-216.61580494034047,0.0,1.516681831067217,-164.3774362504864,157.19456141831085,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,180.0,-119.29905749642565,0.0,1.4160975271324787,-187.09540500821325,180.17861165432586,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,200.0,-143.4865654986899,0.0,1.4388159934360374,-184.12798267526173,177.3710585998257,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,220.0,-195.43053859459323,0.0,1.301299095625609,-171.76753207993636,165.2552669950162,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,240.0,-96.41334569628097,0.0,1.3628406907471344,-142.72286961144493,135.8085475015331,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,260.0,-160.26990530833885,0.0,1.32416536629853,-133.8683154995858,126.65067942471096,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,280.0,-213.14735435108187,0.0,1.2943615228516592,-135.08986477736212,128.64254073770678,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,300.0,-152.52183451933436,0.0,1.2998641605988723,-126.56259975842387,120.9864163373491,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
ppo,43,319.0,-134.95480694768375,0.0,1.3304045479592332,-143.17881052905875,136.8206577423749,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,
sac,43,,,,,-140.1026097574005,129.81263270523027,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,4000.0
sac,43,,,,,-164.66978240568673,153.15035318940065,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,8000.0
sac,43,,,,,-173.31621280797677,158.94297354509357,0.0,asymmetric_threshold_very_strong,asymmetric,very_strong_v2,12000.0
