env_id,group,tier,policy_name,mean_discounted_loss,std_discounted_loss,mean_reward,clip_rate,explosion_rate
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,empirical_taylor,232.99586658895865,185.33774681948177,-273.4894716049518,0.0,0.0
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,linear_policy_search,101.55950585134859,111.95304919456701,-110.16240653511444,0.001736111111111111,0.0
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,ppo,92.93534666591113,0.0,-99.65255241738845,0.0,0.0
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,riccati_reference,104.26516296690208,113.53625441685213,-113.00149466728023,0.0,0.0
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,sac,95.11737704926448,0.0,-104.27904263786435,0.0,0.0
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,td3,94.38665337170728,0.0,-102.4753151625634,0.0,0.0
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,zero_policy,293.5986520950598,377.167199295025,-344.8394744513423,0.0,0.0
asymmetric_threshold_extreme,asymmetric,extreme_v2,empirical_taylor,659.1540203396502,550.1796718775194,-756.6867146496625,0.0,0.0
asymmetric_threshold_extreme,asymmetric,extreme_v2,linear_policy_search,304.4373716839447,376.4328013967193,-322.46404055307534,0.001388888888888889,0.0
asymmetric_threshold_extreme,asymmetric,extreme_v2,ppo,279.9155230836647,0.0,-292.39552321816865,0.0,0.0
asymmetric_threshold_extreme,asymmetric,extreme_v2,riccati_reference,315.53802563151106,372.8778490310221,-335.01808352220837,0.0006944444444444445,0.0
asymmetric_threshold_extreme,asymmetric,extreme_v2,sac,268.82333275872844,0.0,-283.4668369070526,0.0,0.0
asymmetric_threshold_extreme,asymmetric,extreme_v2,td3,282.20910059354406,0.0,-300.4292610139413,0.0,0.0
asymmetric_threshold_extreme,asymmetric,extreme_v2,zero_policy,844.362792834147,1093.6490404851183,-971.7814512586483,0.0,0.0
nonlinear_extreme_v2,nonlinear,extreme_v2,empirical_taylor,1020.0643970100651,548.2338257353957,-1114.0065134744025,0.23018867924528302,0.9791666666666666
nonlinear_extreme_v2,nonlinear,extreme_v2,linear_policy_search,683.8902298048278,565.4951988649802,-763.5616562907186,0.17753001715265868,0.7708333333333334
nonlinear_extreme_v2,nonlinear,extreme_v2,ppo,881.316195967244,0.0,-979.527091429845,0.0,0.9583333333333334
nonlinear_extreme_v2,nonlinear,extreme_v2,riccati_reference,820.7837981338065,687.3570257298339,-917.2985771740092,0.21370967741935484,0.7083333333333334
nonlinear_extreme_v2,nonlinear,extreme_v2,sac,543.2931261076527,0.0,-577.8864002734164,0.0,0.5
nonlinear_extreme_v2,nonlinear,extreme_v2,td3,471.19039313480215,0.0,-500.22983439859354,0.0,0.5
nonlinear_extreme_v2,nonlinear,extreme_v2,zero_policy,991.885111956808,401.9686468028427,-1079.0660764296774,0.0,1.0
nonlinear_hyper,nonlinear,hyper,empirical_taylor,881.3136647604227,528.455897292215,-925.4371378893011,0.23648648648648649,1.0
nonlinear_hyper,nonlinear,hyper,linear_policy_search,931.2058909642643,561.4051341006455,-972.861725226725,0.5518672199170125,1.0
nonlinear_hyper,nonlinear,hyper,ppo,781.5687997302072,0.0,-813.4574458197367,0.0,1.0
nonlinear_hyper,nonlinear,hyper,riccati_reference,756.0337639073474,442.8758596584965,-795.8263987898496,0.58125,1.0
nonlinear_hyper,nonlinear,hyper,sac,857.8325959528935,0.0,-891.8997629772933,0.0,1.0
nonlinear_hyper,nonlinear,hyper,td3,730.4512015411025,0.0,-791.5469077988146,0.0,0.9791666666666666
nonlinear_hyper,nonlinear,hyper,zero_policy,904.7685589492936,520.9679659285987,-945.45611241516,0.0,1.0
zlb_trap_very_strong,zlb,very_strong_v2,empirical_taylor,87.45551037943267,35.1054937760054,-104.85481187678187,0.465625,0.0
zlb_trap_very_strong,zlb,very_strong_v2,linear_policy_search,73.15183461221636,38.44153540042607,-83.84360741224332,0.7243055555555555,0.0
zlb_trap_very_strong,zlb,very_strong_v2,ppo,370.48710016991663,0.0,-379.95323215682055,0.0,1.0
zlb_trap_very_strong,zlb,very_strong_v2,riccati_reference,72.638636278526,38.30389339583764,-83.17498742858402,0.7277777777777777,0.0
zlb_trap_very_strong,zlb,very_strong_v2,sac,73.50222473024246,0.0,-85.93216704572406,0.0,0.0
zlb_trap_very_strong,zlb,very_strong_v2,td3,72.52027537015057,0.0,-84.90336151532931,0.0,0.0
zlb_trap_very_strong,zlb,very_strong_v2,zero_policy,76.50048272267763,37.29335910066528,-88.55195061272927,0.0,0.0
zlb_trap_extreme,zlb,extreme_v2,empirical_taylor,137.23253014524502,55.89681657014053,-162.8829864553798,0.6440972222222222,0.0
zlb_trap_extreme,zlb,extreme_v2,linear_policy_search,117.61785776100957,61.94055947638254,-133.6859614650705,0.8496527777777778,0.0
zlb_trap_extreme,zlb,extreme_v2,ppo,596.109483574019,0.0,-605.9338570045867,0.0,1.0
zlb_trap_extreme,zlb,extreme_v2,riccati_reference,117.81852545707154,61.808600299571516,-134.0113551977097,0.8479166666666667,0.0
zlb_trap_extreme,zlb,extreme_v2,sac,166.63150215262638,0.0,-179.4107574854592,0.0,0.25
zlb_trap_extreme,zlb,extreme_v2,td3,107.63680442947827,0.0,-123.01268175533251,0.0,0.0
zlb_trap_extreme,zlb,extreme_v2,zero_policy,118.71244898357607,61.38744461774103,-135.11310741892154,1.0,0.0
