env_id,group,tier,riccati_loss,best_policy_loss,riccati_gap_pct
asymmetric_threshold_very_strong,asymmetric,very_strong_v2,104.26516296690208,92.93534666591113,12.191073372459638
asymmetric_threshold_extreme,asymmetric,extreme_v2,315.53802563151106,268.82333275872844,17.377469579513583
nonlinear_extreme_v2,nonlinear,extreme_v2,820.7837981338065,471.19039313480215,74.19366143549317
nonlinear_hyper,nonlinear,hyper,756.0337639073474,730.4512015411025,3.5022958840057905
zlb_trap_very_strong,zlb,very_strong_v2,72.638636278526,72.52027537015057,0.16321078177281567
zlb_trap_extreme,zlb,extreme_v2,117.81852545707154,107.63680442947827,9.45933046002323
