policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,training_env,algo,seed,policy_parameterization
ppo_svar_direct_linear,3.234130152152653,0.2523981567815053,0.1503624057740744,0.2816566566409654,0.0282007836798735,svar,ppo,43,linear_policy
ppo_svar_direct_nonlinear,4.656542149868672,1.2466380078827535,0.5074466029259089,-0.10574246582802371,0.40375095501894537,svar,ppo,43,nonlinear_policy
ppo_ann_direct_linear,2.608578855909003,-0.959321270308328,0.5472183921980825,0.1080788892883044,0.0435823832400213,ann,ppo,43,linear_policy
ppo_ann_direct_nonlinear,2.941332242849689,0.5999405734711161,0.5990150366658124,0.04912312282833242,0.26465625051623076,ann,ppo,43,nonlinear_policy
