policy,period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
finite_horizon_dp,0,-1.8,-2.5,-0.1,0.25,6.37725
finite_horizon_dp,1,-2.057891420604154,-2.0900025180338515,0.25,0.25,6.418972361690102
finite_horizon_dp,2,-2.050497333376389,-1.795372637185883,0.25,0.25,5.816220767361579
finite_horizon_dp,3,-2.1513798838212783,-1.2832447250595655,0.25,0.25,5.451793916707457
finite_horizon_dp,4,-2.3631308505076745,-0.5160256223797549,0.25,0.25,5.717528638097331
finite_horizon_dp,5,-2.030262494219949,-1.3443591485633974,0.25,0.25,5.02561655559926
finite_horizon_dp,6,-1.761543031042023,-2.274980922934466,0.25,0.25,5.690802950070595
finite_horizon_dp,7,-1.9634683448206605,-1.8634364807186348,0.25,0.25,5.591405699949309
finite_horizon_dp,8,-1.6565478054466294,-1.7942357616404925,0.25,0.25,4.353791615904862
finite_horizon_dp,9,-1.558215072545712,-0.5733664781921906,0.25,0.25,2.5924087714658963
finite_horizon_dp,10,-1.7398467363259562,-1.0673547222294135,0.25,0.25,3.5966897174367953
finite_horizon_dp,11,-1.1483767805257354,-1.3067653747206023,0.25,0.25,2.172587102334991
finite_horizon_dp,12,-1.0959924384961381,-1.4616035893662351,0.25,0.25,2.2693419514648423
finite_horizon_dp,13,-0.9135352725103769,-0.626116230480646,0.25,0.25,1.0305574611562553
finite_horizon_dp,14,-0.7472475527864827,-1.135398053731472,0.25,0.25,1.2029432753539946
finite_horizon_dp,15,-0.4385131323385433,0.23473632977405445,0.25,0.25,0.2198443394912576
finite_horizon_dp,16,-0.40115490517293895,0.34286865700135094,0.25,0.25,0.21970471592126467
finite_horizon_dp,17,-0.31993750347784056,1.0352451471501323,0.25,0.25,0.6382262634805828
finite_horizon_dp,18,0.011829349354271143,1.1536727659916761,0.25,0.4864916403633551,0.6712131885977628
finite_horizon_dp,19,0.3979961107257124,0.7630950841222623,0.4864916403633551,0.6087825058524652,0.4510534634367824
finite_horizon_dp,20,0.14372153590975473,-0.06599067728148222,0.6087825058524652,0.25,0.035705753278870704
finite_horizon_dp,21,-0.2891499555898895,-0.9117953252195161,0.25,0.25,0.4992930543637167
finite_horizon_dp,22,-0.35690899883400096,-1.922661459601768,0.25,0.25,1.9756975775676893
finite_horizon_dp,23,-0.47702851713542244,-1.65487654724546,0.25,0.25,1.5968643994719476
finite_horizon_dp,24,-0.4038001436513517,-1.6187361927464186,0.25,0.25,1.4732079868664374
finite_horizon_dp,25,-1.2063158694055236,-1.3805961997183682,0.25,0.25,2.4082209101180045
finite_horizon_dp,26,-1.3624167613694158,-1.5858658353624273,0.25,0.25,3.1136646555452123
finite_horizon_dp,27,-1.4877530937486492,-2.0534762613458444,0.25,0.25,4.32179164591413
finite_horizon_dp,28,-1.5196781144231242,-1.3360511634733907,0.25,0.25,3.2019379271659223
finite_horizon_dp,29,-1.4938274122187938,-1.071642435691714,0.25,0.25,2.805729092483933
finite_horizon_dp,30,-1.5578469062810156,-0.3042087850890268,0.25,0.25,2.4731584758720024
finite_horizon_dp,31,-1.403092351794664,-0.5155762768429188,0.25,0.25,2.1015775962862846
finite_horizon_dp,32,-1.4445719861201551,-0.956734606521022,0.25,0.25,2.544458776740597
finite_horizon_dp,33,-1.4450251532247678,-0.5374033378830814,0.25,0.25,2.232498867236202
finite_horizon_dp,34,-1.270860396959793,0.2975367948169274,0.25,0.25,1.6593502206957675
finite_horizon_dp,35,-1.114906202988961,0.33264912566415994,0.25,0.25,1.2983435618658272
finite_horizon_dp,36,-0.7787390227768892,0.46484285092528355,0.25,0.25,0.7144739036236771
finite_horizon_dp,37,-0.8751480089241237,0.6956354190942869,0.25,0.25,1.0078383556731003
finite_horizon_dp,38,-0.18873052772494292,-0.7428448428334316,0.25,0.25,0.31152844235744825
finite_horizon_dp,39,-0.31895622734600865,-0.38384904161097266,0.25,0.25,0.17540311833562988
finite_horizon_dp,40,-0.6261259211350058,-0.23270993363516693,0.25,0.25,0.41911062572340135
finite_horizon_dp,41,-0.7902954693210505,-0.06009969729213807,0.25,0.25,0.6263729156366828
finite_horizon_dp,42,-0.5326044760079551,0.020212111998700086,0.25,0.25,0.28387179259943246
finite_horizon_dp,43,-0.6365554701269243,-0.26766929095208825,0.25,0.25,0.4410262912079064
finite_horizon_dp,44,-0.878157395625787,-0.6230690357825024,0.25,0.25,0.9652679231677336
finite_horizon_dp,45,-0.6464067660826393,-0.7083759357469943,0.25,0.25,0.6687399404101309
finite_horizon_dp,46,-0.6818824662441558,-0.45543554270297026,0.25,0.25,0.5686744645497869
finite_horizon_dp,47,-0.593391079059591,-0.6580117362092461,0.25,0.25,0.568602695202059
finite_horizon_dp,48,-0.3741928559417465,-0.10962838210452619,0.25,0.25,0.14602948451926864
finite_horizon_dp,49,-0.10552292605522001,-0.45188318381584575,0.25,0.25,0.11323429383102815
finite_horizon_dp,50,-0.20173749660489418,-1.2062448066877924,0.25,0.25,0.7682112843670446
