policy,period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
finite_horizon_dp,0,1.1,-1.5,0.0,-0.4363636363636363,15.694597572314052
finite_horizon_dp,1,0.7396380063563331,-0.5267715808103948,-0.4363636363636363,0.052758021824875816,0.8431105655183373
finite_horizon_dp,2,0.3615789269572838,-0.6870667564377547,0.052758021824875816,-0.32825364580845695,0.40971328792477973
finite_horizon_dp,3,0.33490145233223045,0.4193383829096636,-0.32825364580845695,0.6819772487551943,0.30213796849797053
finite_horizon_dp,4,0.1792395746526512,0.39845328140441333,0.6819772487551943,0.8842805403149936,0.11560199603022854
finite_horizon_dp,5,0.0960717343693456,0.4528922477873747,0.8842805403149936,0.9660344525326854,0.11245384241397431
finite_horizon_dp,6,0.031139274626205908,-0.4517499702287776,0.9660344525326854,-0.1660655712507386,0.2311737186945443
finite_horizon_dp,7,-0.022037116016454014,-0.119507067481008,-0.1660655712507386,-0.17481393965327627,0.007634257466248407
finite_horizon_dp,8,-0.14036169662936424,-0.25338668934012465,-0.17481393965327627,-0.47562430684493945,0.060852500749046426
finite_horizon_dp,9,-0.3461258430549576,-0.24219437423698248,-0.47562430684493945,-0.7770878639340614,0.1582201843118095
finite_horizon_dp,10,-0.14200010667737573,-0.30252246395142846,-0.7770878639340614,-0.720992975924808,0.06623861454008483
finite_horizon_dp,11,-0.2940316486495661,-0.6364632442991117,-0.720992975924808,-1.3725405057404019,0.3423284227267452
finite_horizon_dp,12,-0.33813046944717506,-0.4733922974116018,-1.3725405057404019,-1.4610002998419944,0.22716755635653918
finite_horizon_dp,13,-0.13387381930324038,0.4494008553307497,-1.4610002998419944,-0.229642428010886,0.27052698473288506
finite_horizon_dp,14,0.08352308448014226,0.40785714689222213,-0.229642428010886,0.4775573640993489,0.14016298637268476
finite_horizon_dp,15,0.2997943483794421,0.2810388174998046,0.4775573640993489,0.7764449065764245,0.13830143609589707
finite_horizon_dp,16,0.4619370257290515,0.5794069184829517,0.7764449065764245,1.456048753534383,0.42757530714512443
finite_horizon_dp,17,0.6388644641610115,0.049308845670990864,1.456048753534383,1.236620970426374,0.4467324762714326
finite_horizon_dp,18,0.6287245605214762,-0.2707425479562678,1.236620970426374,0.8852728256586615,0.47165840186713986
finite_horizon_dp,19,0.3961759687553038,-0.03806385311532251,0.8852728256586615,0.5947219657831422,0.16612180689363623
finite_horizon_dp,20,0.47738663310720586,-0.1600586901457537,0.5947219657831422,0.5299833247939579,0.24148514297571264
finite_horizon_dp,21,0.09955682405721131,-0.5236331074289873,0.5299833247939579,-0.30249278337906493,0.2165735904871676
finite_horizon_dp,22,-0.16826407664988308,-0.07089816550391764,-0.30249278337906493,-0.30128885837089503,0.030826219370290706
finite_horizon_dp,23,-0.009779576626846573,-0.5900840985839914,-0.30128885837089503,-0.825771310476473,0.2051692011596384
finite_horizon_dp,24,0.047546360445541475,-0.2219969052475427,-0.825771310476473,-0.3954136252264701,0.045422743086734635
finite_horizon_dp,25,0.3049447837948314,0.3358517672926439,-0.3954136252264701,0.5462970353217635,0.23807142277949167
finite_horizon_dp,26,0.3964775535055348,0.28595894974723696,0.5462970353217635,0.9136159654626855,0.21157303054799279
finite_horizon_dp,27,0.17600506602128502,0.7704727523680743,0.9136159654626855,1.5370203669910727,0.36665521912047155
finite_horizon_dp,28,0.17743677772685604,0.4374553586694271,1.5370203669910727,1.2780775802746243,0.13387254218363628
finite_horizon_dp,29,-0.11360636567437965,-0.24995219490458562,1.2780775802746243,-0.0086665042711273,0.2097154901018993
finite_horizon_dp,30,0.07583518236585779,-0.12213920064420832,-0.0086665042711273,-0.0520073941325169,0.013397810324863708
finite_horizon_dp,31,-0.061447850299335895,-0.47717814372963363,-0.0520073941325169,-0.6110553347740573,0.14888369918089447
finite_horizon_dp,32,-0.050033906696728594,-0.5966420442536343,-0.6110553347740573,-1.0480926129030488,0.20375616978677988
finite_horizon_dp,33,0.32659922353548027,0.3410057359477239,-1.0480926129030488,0.3004386943691807,0.34666317745793784
finite_horizon_dp,34,0.2781136958136501,0.9580837937210767,0.3004386943691807,1.5083594863293661,0.682216769659585
finite_horizon_dp,35,0.2822480470632422,0.45061653303428534,1.5083594863293661,1.4159260982480146,0.18204598311615355
