env_id,group,tier,dp_mean_discounted_loss,riccati_re_eval_mean_discounted_loss,linear_search_re_eval_mean_discounted_loss,best_rl_algo,best_rl_seed,best_rl_surrogate_re_eval_mean_discounted_loss,dp_improvement_vs_riccati_pct,dp_improvement_vs_best_rl_surrogate_pct,solve_seconds
nonlinear_very_strong,nonlinear,very_strong,21.371805886854283,21.943183851619004,21.66023729681708,sac,7,24.876534766237157,2.673512794331412,16.398842933243273,41.07213640000555
nonlinear_extreme,nonlinear,extreme,294.9693002783973,432.84013020160256,398.7149315483256,td3,7,850.0469389319635,46.74073871181859,188.18149486393122,38.90944849999505
zlb_very_strong,zlb,very_strong,60.86441956741118,61.11140730649598,61.721253554516295,td3,43,65.7671498440308,0.40579987592133104,8.055166403401802,45.18896329999552
zlb_extreme,zlb,extreme,102.48706983686671,102.60837536065381,102.82516608429094,td3,43,103.96635448181456,0.11836178356956495,1.4433866118940708,39.64956200000597
asymmetric_very_strong,asymmetric,very_strong,41.526246767412566,42.33299377141315,41.51896222607155,sac,43,41.92855204847402,1.9427399941033707,0.9687975976127916,52.47632980000344
asymmetric_extreme,asymmetric,extreme,68.14403510119668,71.11520890915105,69.17179980764777,sac,43,72.86669883364702,4.3601377634037375,6.930413975980421,52.6968126000138
