evaluation_env,loss_function,evaluation_type,scenario_group,scenario_id,best_rl_policy,best_rl_loss,best_baseline_policy,best_baseline_loss,rl_advantage_pct
svar,artificial,stochastic_long_run,beta,beta_097,sac_svar_direct,46.117521139284655,empirical_taylor_rule,52.35233297002984,11.909329493137262
svar,artificial,stochastic_long_run,beta,beta_099,sac_svar_direct,96.58940048872046,empirical_taylor_rule,112.06074452347423,13.806212068770316
svar,artificial,stochastic_long_run,beta,beta_0995,sac_svar_direct,123.94006008332263,empirical_taylor_rule,144.20019342250413,14.05000427414105
svar,artificial,stochastic_long_run,lambda,lambda_art_output_high,sac_svar_direct,152.29211237430536,empirical_taylor_rule,173.74538419020078,12.347534822801572
svar,artificial,stochastic_long_run,lambda,lambda_art_output_low,sac_svar_direct,68.73804454592799,empirical_taylor_rule,81.21842469011096,15.366439563192568
svar,artificial,stochastic_long_run,lambda,lambda_art_smooth_high,sac_svar_direct,99.4785495954015,empirical_taylor_rule,112.69478322475896,11.727458229365372
svar,artificial,stochastic_long_run,lambda,lambda_art_smooth_low,sac_svar_direct,95.14482593537991,empirical_taylor_rule,111.74372517283187,14.854435192471668
svar,revealed,historical_counterfactual,beta,beta_097,ppo_svar_direct,80.72745431175834,empirical_taylor_rule,138.84593798785363,41.858252764426965
svar,revealed,historical_counterfactual,beta,beta_099,ppo_svar_direct,134.6616336156103,empirical_taylor_rule,254.7376535748045,47.13713040617826
svar,revealed,historical_counterfactual,beta,beta_0995,ppo_svar_direct,157.07643441672334,empirical_taylor_rule,305.67962353940504,48.61403171138273
svar,revealed,historical_counterfactual,lambda,lambda_rev_output_down,ppo_svar_direct,105.14761732123176,empirical_taylor_rule,212.04579204612475,50.4127781520136
svar,revealed,historical_counterfactual,lambda,lambda_rev_output_up,ppo_svar_direct,164.17564990998886,empirical_taylor_rule,297.4295151034843,44.80182982080059
svar,revealed,historical_counterfactual,lambda,lambda_rev_smooth_down,ppo_svar_direct,130.5867355712714,empirical_taylor_rule,192.79359078853201,32.26603901241352
svar,revealed,historical_counterfactual,lambda,lambda_rev_smooth_up,ppo_svar_direct,138.73653165994924,empirical_taylor_rule,316.681716361077,56.19054574601227
svar,revealed,stochastic_long_run,beta,beta_097,sac_svar_revealed_direct,92.45731088524099,empirical_taylor_rule,133.13840020772355,30.555489069277996
svar,revealed,stochastic_long_run,beta,beta_099,sac_svar_revealed_direct,202.91957516407123,empirical_taylor_rule,285.868422322684,29.016442769247654
svar,revealed,stochastic_long_run,beta,beta_0995,sac_svar_revealed_direct,263.5723991847893,empirical_taylor_rule,368.7043313108655,28.51388584243031
svar,revealed,stochastic_long_run,lambda,lambda_rev_output_down,sac_svar_revealed_direct,159.29936711968463,empirical_taylor_rule,231.48028296599554,31.18231709476279
svar,revealed,stochastic_long_run,lambda,lambda_rev_output_up,sac_svar_revealed_direct,246.53978320845786,empirical_taylor_rule,340.2565616793725,27.542974633131394
svar,revealed,stochastic_long_run,lambda,lambda_rev_smooth_down,sac_svar_revealed_direct,192.90387572167606,empirical_taylor_rule,222.19338359576196,13.181989220422743
svar,revealed,stochastic_long_run,lambda,lambda_rev_smooth_up,sac_svar_revealed_direct,212.93527460646646,empirical_taylor_rule,349.54346104960615,39.08188871075825
