env_id,scenario_id,beta,lambda_inflation,lambda_output_gap,lambda_rate_smoothing,algo,mean_reward,std_reward,mean_discounted_loss,std_discounted_loss,mean_abs_action,clip_rate,explosion_rate
nonlinear_hyper,beta_097,0.97,1.0,0.5,0.1,td3,-942.3259632288722,548.9175489212591,813.0358628116782,512.4839367988131,1.9877230044637475,0.0,0.9791666666666666
nonlinear_hyper,lambda_art_smooth_high,0.99,1.0,0.5,0.2,td3,-938.9713099441724,568.1201615077237,883.4097036701583,533.4405825665132,1.758802608093348,0.0,1.0
zlb_trap_extreme,beta_097,0.97,1.0,0.5,0.1,td3,-137.42508861587137,76.8370056001748,99.75270859940906,64.87008659353263,0.25,0.0,0.0
zlb_trap_extreme,lambda_art_smooth_high,0.99,1.0,0.5,0.2,td3,-137.4375443962741,76.83658801534483,121.26021448660303,72.15457620375358,0.25,0.0,0.0
asymmetric_threshold_extreme,beta_097,0.97,1.0,0.5,0.1,sac,-412.24315274265626,507.4556431884955,380.6818748002438,503.6940221283023,1.4041690028798055,0.0,0.0
asymmetric_threshold_extreme,lambda_art_smooth_high,0.99,1.0,0.5,0.2,sac,-432.376835177683,508.4921414723137,413.5290551942174,506.7598228542512,1.2308638560622058,0.0,0.0
