policy_name,action_date,state_date,inflation,inflation_gap,output_gap,lagged_policy_rate,lagged_policy_rate_gap,policy_rate,policy_rate_gap,rate_change,loss,discounted_loss
riccati_reference,1995-10-01,1995-10-01,2.7386162503102733,0.7386162281036377,-0.7717097401618958,2.622528196461898,0.6225281953811646,2.2423953433897386,0.24239534338973845,-0.38013285307215927,0.8577719924647288,0.6281493204770873
riccati_reference,1996-01-01,1996-01-01,2.7013182106380507,0.7013182044029236,-0.7606058120727539,2.2423953433897386,0.2423953413963318,2.0487514375433427,0.048751437543342546,-0.1936439058463959,0.7848576206563102,0.5690063415024932
riccati_reference,1996-04-01,1996-04-01,2.661317712927134,0.6613177061080933,0.22395850718021393,2.0487514375433427,0.04875143617391586,2.9829276615087617,0.9829276615087615,0.934176223965419,0.5496883368793515,0.3945281027914769
riccati_reference,1996-07-01,1996-07-01,2.508506342105641,0.5085063576698303,0.571332573890686,2.9829276615087617,0.982927680015564,3.596603703800325,1.5966037038003251,0.6136760422915635,0.459448997001743,0.32646296758660615
riccati_reference,1996-10-01,1996-10-01,2.59638654038801,0.5963865518569946,0.8565577268600464,3.596603703800325,1.5966037511825562,4.26627941025764,2.2662794102576402,0.6696757064573151,0.7673690377934654,0.5398039808498505
riccati_reference,1997-01-01,1997-01-01,2.731691698502781,0.7316917181015015,0.7165838479995728,4.26627941025764,2.266279458999634,4.553361314205644,2.5533613142056444,0.28708190394800415,0.800360575104117,0.5573816837082655
riccati_reference,1997-04-01,1997-04-01,2.5364950475896295,0.5364950299263,1.4403483867645264,4.553361314205644,2.553361415863037,5.24591682470912,3.24591682470912,0.6925555105034755,1.373091954195405,0.9466769926342075
riccati_reference,1997-07-01,1997-07-01,2.6447117069258184,0.6447117328643799,1.7443112134933472,5.24591682470912,3.2459168434143066,5.992186228655644,3.9921862286556444,0.7462694039465241,1.9926558227871567,1.3600963881175772
riccati_reference,1997-10-01,1997-10-01,2.4267281116517205,0.42672809958457947,1.6810146570205688,5.992186228655644,3.9921863079071045,6.0104386125496685,4.0104386125496685,0.018252383894024504,1.5950353241965336,1.0778117028368839
riccati_reference,1998-01-01,1998-01-01,1.9674011235716304,-0.03259887546300888,1.57639741897583,6.0104386125496685,4.010438442230225,5.405284462815386,3.4052844628153855,-0.6051541497342825,1.2801982318384437,0.856416462470759
riccati_reference,1998-04-01,1998-04-01,2.0010258413789774,0.0010258413385599852,1.2439029216766357,5.405284462815386,3.4052844047546387,4.820661729613129,2.8206617296131293,-0.5846227332022567,0.8078266588572487,0.5350090883892508
riccati_reference,1998-07-01,1998-07-01,1.9683563848492711,-0.031643614172935486,1.2813260555267334,4.820661729613129,2.820661783218384,4.571683210932478,2.571683210932478,-0.24897851868065146,0.8280985815495272,0.5429504705373169
riccati_reference,1998-10-01,1998-10-01,1.8923638619202918,-0.10763613879680634,1.743948221206665,4.571683210932478,2.571683168411255,4.879759679383721,2.8797596793837212,0.3080764684512429,1.5417543511613276,1.0007568016372383
riccati_reference,1999-01-01,1999-01-01,2.0210391618286097,0.021039161831140518,1.8141167163848877,4.879759679383721,2.8797597885131836,5.229293788424627,3.229293788424627,0.3495341090409063,1.6581697783735097,1.065559137809063
riccati_reference,1999-04-01,1999-04-01,2.138617717029539,0.13861772418022156,1.6353713274002075,5.229293788424627,3.2292938232421875,5.316298728653401,3.3162987286534014,0.08700494022877425,1.3571915480548238,0.8634255646810355
riccati_reference,1999-07-01,1999-07-01,2.04764137277457,0.04764137417078018,1.8456026315689087,5.316298728653401,3.316298723220825,5.481702605521242,3.4817026055212423,0.16540387686784097,1.7081300817879257,1.0758206906791454
riccati_reference,1999-10-01,1999-10-01,2.2921833259040683,0.2921833395957947,2.314683675765991,5.481702605521242,3.4817025661468506,6.3257024880842465,4.3257024880842465,0.8439998825630042,2.835484950189165,1.7679968732747535
riccati_reference,2000-01-01,2000-01-01,2.5711533794677526,0.5711534023284912,1.7071133852005005,6.3257024880842465,4.325702667236328,6.340641686245461,4.340641686245461,0.014939198161214584,1.783356581385663,1.1008484354739128
riccati_reference,2000-04-01,2000-04-01,2.7902877184261277,0.7902877330780029,2.347659111022949,6.340641686245461,4.340641498565674,7.276574590454208,5.276574590454208,0.9359329042087472,3.467903427087304,2.1192955693281554
riccati_reference,2000-07-01,2000-07-01,2.961110585671629,0.9611105918884277,1.498858094215393,7.276574590454208,5.276574611663818,6.9534817700530125,4.9534817700530125,-0.3230928204011958,2.0574602615676385,1.2447759411428039
riccati_reference,2000-10-01,2000-10-01,2.917690675054232,0.9176906943321228,0.9952788352966309,6.9534817700530125,4.953481674194336,6.222874516040509,4.222874516040509,-0.7306072540125035,1.3908248724130439,0.8330429112743246
riccati_reference,2001-01-01,2001-01-01,2.880861126116489,0.8808611035346985,-0.3729335069656372,6.222874516040509,4.222874641418457,4.390108503249931,2.390108503249931,-1.8327660127905778,1.1813591557509286,0.7005063405095037
riccati_reference,2001-04-01,2001-04-01,2.837301385644554,0.8373013734817505,-0.7521246671676636,4.390108503249931,2.390108585357666,3.138216912504289,1.1382169125042891,-1.2518915907456423,1.1406426235714229,0.6695991750820975
riccati_reference,2001-07-01,2001-07-01,2.6041830296129698,0.60418301820755,-1.8467882871627808,3.138216912504289,1.1382168531417847,1.160413470430137,-0.839586529569863,-1.977803442074152,2.461521230357767,1.4305534667226205
riccati_reference,2001-10-01,2001-10-01,2.39507255494679,0.3950725495815277,-2.455615282058716,1.160413470430137,-0.8395865559577942,0.0,-2.0,-1.160413470430137,3.305761462284391,1.9019855596160014
riccati_reference,2002-01-01,2002-01-01,2.02534863564171,0.025348635390400887,-2.1283915042877197,0.0,-2.0,0.0,-2.0,0.0,2.265667751078227,1.290527075427879
riccati_reference,2002-04-01,2002-04-01,1.7702705484195196,-0.22972945868968964,-1.9636521339416504,0.0,-2.0,0.0,-2.0,0.0,1.9807404757566565,1.11694983521831
riccati_reference,2002-07-01,2002-07-01,1.8745111547025102,-0.12548884749412537,-2.0948383808135986,0.0,-2.0,0.0,-2.0,0.0,2.2099213717102737,1.2337242706790925
riccati_reference,2002-10-01,2002-10-01,2.1544660328736027,0.15446603298187256,-2.4951040744781494,0.0,-2.0,0.0,-2.0,0.0,3.1366319265838882,1.7335646397629343
riccati_reference,2003-01-01,2003-01-01,2.335335511011469,0.33533552289009094,-2.4386370182037354,0.0,-2.0,0.0,-2.0,0.0,3.0859251661887734,1.6884844526010012
riccati_reference,2003-04-01,2003-04-01,2.3511032581426723,0.3511032462120056,-2.071613073348999,0.0,-2.0,0.0,-2.0,0.0,2.269063852335851,1.2291180252261868
riccati_reference,2003-07-01,2003-07-01,2.459564320436379,0.45956432819366455,-0.9932738542556763,0.0,-2.0,0.5612222082763216,-1.4387777917236784,0.5612222082763216,0.7359928832283126,0.39468959725396613
riccati_reference,2003-10-01,2003-10-01,2.476872757918804,0.4768727719783783,-0.2625787854194641,0.5612222082763216,-1.4387778043746948,1.6116825024985229,-0.38831749750147715,1.0504602942222012,0.37222813556214035,0.1976179804137876
riccati_reference,2004-01-01,2004-01-01,2.6850867973675014,0.6850867867469788,-0.11585470288991928,1.6116825024985229,-0.3883174955844879,2.4526360825576727,0.4526360825576726,0.8409535800591499,0.5467753535251664,0.28738320527837485
riccati_reference,2004-04-01,2004-04-01,3.123302756745364,1.123302698135376,0.13328401744365692,2.4526360825576727,0.45263609290122986,3.56359590246885,1.5635959024688502,1.1109598199111774,1.3941144361386284,0.7254142343347111
riccati_reference,2004-07-01,2004-07-01,3.145095321734316,1.1450953483581543,0.5670340061187744,3.56359590246885,1.5635958909988403,4.537317690809983,2.537317690809983,0.9737217883411331,1.566820553221781,0.807127423307037
riccati_reference,2004-10-01,2004-10-01,3.271010169719789,1.271010160446167,0.907855749130249,4.537317690809983,2.5373177528381348,5.464653119795854,3.4646531197958543,0.9273354289858711,2.1135629468528747,1.0778869766961936
riccati_reference,2005-01-01,2005-01-01,3.296503394502005,1.2965034246444702,1.3068068027496338,5.464653119795854,3.4646530151367188,6.325174086346815,4.325174086346815,0.8605209665509603,2.6088427913708565,1.3171679114270145
riccati_reference,2005-04-01,2005-04-01,3.1342258046443674,1.134225845336914,1.0937349796295166,6.325174086346815,4.325173854827881,6.292163569015969,4.292163569015969,-0.0330105173308457,1.8847053389597652,0.942045518860812
riccati_reference,2005-07-01,2005-07-01,3.3452880050726645,1.3452880382537842,1.0037949085235596,6.292163569015969,4.292163372039795,6.410708374546347,4.410708374546347,0.11854480553037838,2.315007306819554,1.145555112671273
riccati_reference,2005-10-01,2005-10-01,3.3072191441148138,1.30721914768219,0.7614736557006836,6.410708374546347,4.410708427429199,6.159373633412482,4.159373633412482,-0.25133474113386534,2.0050598820983754,0.982259333030952
riccati_reference,2006-01-01,2006-01-01,3.1440898644465864,1.1440898180007935,1.2720640897750854,6.159373633412482,4.159373760223389,6.423257555011881,4.423257555011881,0.26388392159939933,2.1249785016159444,1.0305962353018543
riccati_reference,2006-04-01,2006-04-01,3.2084857698854186,1.208485722541809,0.8844185471534729,6.423257555011881,4.423257350921631,6.189878438874286,4.189878438874286,-0.23337911613759577,1.8569823965207686,0.8916142326929702
