algo,seed,step,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
td3,43,4000,-132.29765803377398,116.2680650616641,0.0
td3,43,8000,-127.69503932131049,111.8951984282747,0.0
td3,43,12000,-120.93478901843612,105.63878016983843,0.0
td3,43,16000,-139.3990811420954,120.68548187288714,0.0
td3,43,20000,-124.06005216250598,107.61355195153034,0.0
td3,43,24000,-131.0922611968942,115.0326590965809,0.0
td3,43,28000,-125.55989263244079,110.16646952799057,0.0
