loss_function,evaluation_type,evaluation_env,policy_name,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate_x,improvement_vs_actual_pct,improvement_vs_taylor_pct,var_inflation_gap,std_inflation_gap,var_output_gap,std_output_gap,var_policy_rate,std_policy_rate_y,var_rate_change,std_rate_change,rule_family,source_env,training_env,policy_parameterization,algo,mean_discounted_loss,std_discounted_loss,mean_reward,mean_abs_action,clip_rate,explosion_rate,std_policy_rate
artificial,historical_counterfactual,ann,ann_affine_search_artificial,65.4536019662693,1.1360614114550336,0.3355012429168706,1.2674068102093226,1.668567630228828,4.300257008344135,1.9358967919501773,61.095114750704795,49.80818440169693,0.3397708590076822,0.5828986695881903,1.172734986050155,1.0829288924256084,3.747696389082988,1.9358967919501773,1.690681712308526,1.3002621706058075,ann_native_numerical_search,ann,ann,affine_linear_search,numerical_search,,,,,,,
artificial,historical_counterfactual,ann,ppo_ann_direct,69.22967798608991,1.2333596720114541,0.5713736931498338,1.276379028796306,0.23796463959779632,4.853753624778045,0.9863623657607886,58.85065761113525,46.9125742965467,0.5702246172800142,0.7551321853026887,1.2909097906270937,1.1361821115591872,0.9729107165892197,0.9863623657607886,0.24087413621852993,0.4907892992094774,ann_direct,ann,ann,linear_policy,ppo,,,,,,,
artificial,historical_counterfactual,ann,td3_ann_direct,71.23898004201602,1.2529472927131124,0.30541670486479616,1.5083040857288672,1.933785441897043,3.911720711933939,2.2781504311971217,57.656351055519515,45.37178027998048,0.2658464428484564,0.5156029895650881,1.4093624966606841,1.1871657410238403,5.189969387163632,2.2781504311971217,1.9593688929299622,1.3997745864709654,ann_direct,ann,ann,standard_nonlinear,td3,,,,,,,
artificial,historical_counterfactual,ann,sac_ann_direct,86.00998126481335,1.5435702264424698,0.38708009680518857,1.813281509865577,2.4984937400045895,3.724756647097437,2.468618727339628,48.87663396850152,34.04492664159683,0.31730341679004215,0.5632969170784109,1.8061778660407288,1.3439411691144552,6.094078420971923,2.468618727339628,2.5313163344905747,1.5910111044523148,ann_direct,ann,ann,standard_nonlinear,sac,,,,,,,
artificial,historical_counterfactual,ann,empirical_taylor_rule,130.4069222960769,2.3359108106278073,1.553884130497865,1.5407678542409413,0.11642754196782276,5.210691141447773,2.063861810161664,22.48759128249081,0.0,0.4899138595722829,0.6999384684186767,1.5581389428521306,1.2482543582347834,4.259525571443781,2.063861810161664,0.11752590204236353,0.3428205099499788,empirical_rule,svar,svar,fixed_rule,,,,,,,,
artificial,historical_counterfactual,ann,riccati_reference,157.01113712490027,2.8811006330799445,2.1059970238567773,1.3995789337962368,0.7531414119235021,5.148836401888681,2.702746748910556,6.674345044394353,-20.400922251980564,0.4700775291004669,0.6856220016163913,1.3491276303483313,1.1615195350696135,7.304839988746582,2.702746748910556,0.7631824216935862,0.8736031259637217,theory_reference,benchmark,benchmark,fixed_rule,,,,,,,,
artificial,historical_counterfactual,ann,linear_policy_search_transfer,159.90029717201102,2.9363050719868506,2.2067340994125573,1.3393846090088586,0.598786665629233,5.026253838930266,2.4713294782319473,4.957060789241868,-22.61641817523468,0.47728224968856636,0.6908561714919874,1.2392842614933979,1.1132314501007408,6.107469389978189,2.4713294782319473,0.6066751238327232,0.7788935253503673,benchmark_transfer,benchmark,benchmark,fixed_rule,,,,,,,,
artificial,stochastic_long_run,ann,empirical_taylor_rule,,,,,,,,,,0.8802225882605307,0.9382017844048959,1.1738748604134983,1.083455056942141,2.314906067592105,,0.06520662649074391,0.2553558820367056,empirical_rule,svar,svar,fixed_rule,,158.7911377677561,32.315077016926374,-278.93558712809335,3.7331461262060506,0.0,0.0,1.5214815370526535
artificial,stochastic_long_run,ann,riccati_reference,,,,,,,,,,0.7765269029427899,0.8812076389494078,1.4031968932263545,1.184566120242494,4.372253410461997,,0.7216744318636019,0.8495142328787681,theory_reference,benchmark,benchmark,fixed_rule,,151.91070845664507,19.80731273957199,-262.54673841217726,2.9898959190142835,0.03550347222222222,0.0,2.0909934027782096
artificial,stochastic_long_run,ann,linear_policy_search_transfer,,,,,,,,,,0.7562494813881259,0.8696260583653906,1.392995666392175,1.180252374025223,2.7605144150150087,,0.5586320535022992,0.7474169208027733,benchmark_transfer,benchmark,benchmark,fixed_rule,,180.51457911995442,20.644604272143876,-314.5793252995239,2.79266063019664,0.01189236111111111,0.0,1.6614795860963831
artificial,stochastic_long_run,ann,td3_ann_direct,,,,,,,,,,0.27299766215927884,0.522491781905973,1.34026331756551,1.157697420557509,5.523241003914271,,1.5785962461747007,1.2564220016279166,ann_direct,ann,ann,standard_nonlinear,td3,79.77989640626048,10.940073101875438,-135.84148646321873,2.6715488344741365,0.0,0.0,2.3501576551189647
artificial,stochastic_long_run,ann,ppo_ann_direct,,,,,,,,,,0.5136603064293165,0.7167009881598577,0.9712599468467263,0.9855252137042088,1.1062726510466676,,0.24633794166351689,0.4963244318623826,ann_direct,ann,ann,linear_policy,ppo,77.61337778302364,18.020267013423137,-131.47384819805907,3.1297711826757424,0.0,0.0,1.0517949662584756
artificial,stochastic_long_run,ann,sac_ann_direct,,,,,,,,,,0.3299736512351716,0.5744333305399083,1.4559713900856117,1.2066363951437946,6.949556654158391,,2.222108008799452,1.4906736761610342,ann_direct,ann,ann,standard_nonlinear,sac,92.8783551091836,12.668120029411115,-158.8489295266725,2.744780325010005,0.0,0.0,2.636201178620173
artificial,stochastic_long_run,ann,ann_affine_search_artificial,,,,,,,,,,0.22734614161530883,0.4768082860178804,0.9087211520561044,0.9532686673000977,3.2765186960077863,,1.4106689491729942,1.1877158537179648,ann_native_numerical_search,ann,ann,affine_linear_search,numerical_search,68.13221123042372,11.211045587266026,-114.08863763275804,2.7653969133178453,0.00920138888888889,0.0,1.810115658185351
revealed,historical_counterfactual,ann,td3_ann_revealed_direct,186.2307215093846,3.3391428590739936,1.4676845188984098,1.1181507637453016,0.04408995576502702,5.082803738744635,0.9120822472149654,61.50441129904935,34.736528737989524,0.6674634085280337,0.81698433799433,1.087907850819141,1.0430282118999183,0.8318940256847013,0.9120822472149654,0.04404245602258053,0.2098629458064966,ann_revealed_direct,ann,ann,standard_nonlinear,td3,,,,,,,
revealed,historical_counterfactual,ann,ann_affine_search_revealed,207.58278993072537,3.747347145869243,2.4586167735833167,0.9629039373395991,0.021892645330110493,4.351620559122506,0.4318703078481291,57.09074400935318,27.253820769581466,0.08210099729554707,0.2865327159253321,0.6214249931178726,0.788305139598793,0.18651196280083776,0.4318703078481291,0.021509130506418367,0.14665991444978538,ann_native_numerical_search,ann,ann_revealed,affine_linear_search,numerical_search,,,,,,,
revealed,historical_counterfactual,ann,sac_ann_revealed_direct,207.69904932490206,3.8010448066255558,2.827902887238118,0.9234494813709495,0.007912391847987974,5.027876110453355,0.35026394808674755,57.06671213220329,27.21307834228862,0.046558918206072074,0.21577515660073585,0.6169673021683135,0.7854726616301254,0.12268483332931579,0.35026394808674755,0.0075931750497716406,0.08713882630476291,ann_revealed_direct,ann,ann,standard_nonlinear,sac,,,,,,,
revealed,historical_counterfactual,ann,empirical_taylor_rule,285.3521547478406,5.250908398916809,1.553884130497865,1.5407678542409413,0.11642754196782276,5.210691141447773,2.063861810161664,41.01510698625876,0.0,0.4899138595722829,0.6999384684186767,1.5581389428521306,1.2482543582347834,4.259525571443781,2.063861810161664,0.11752590204236353,0.3428205099499788,empirical_rule,svar,svar,fixed_rule,,,,,,,,
revealed,stochastic_long_run,ann,empirical_taylor_rule,,,,,,,,,,0.8802225882605307,0.9382017844048959,1.1738748604134983,1.083455056942141,2.314906067592105,,0.06520662649074391,0.2553558820367056,empirical_rule,svar,svar,fixed_rule,,289.8539620230156,43.10643017817187,-496.69547184411,3.7331461262060506,0.0,0.0,1.5214815370526535
revealed,stochastic_long_run,ann,sac_ann_revealed_direct,,,,,,,,,,0.7128371469873656,0.8442968358269297,1.0666550217729291,1.0327899214133187,0.7289370680478334,,0.01421719587339123,0.11923588332960522,ann_revealed_direct,ann,ann,standard_nonlinear,sac,249.1774922577481,49.067243738215296,-420.2613146535186,3.3173045536606676,0.0,0.0,0.85377811405999
revealed,stochastic_long_run,ann,td3_ann_revealed_direct,,,,,,,,,,0.817580431039903,0.9042015433739886,0.982308795319814,0.991114925384445,1.4385415331189342,,0.09328716137173997,0.305429470372032,ann_revealed_direct,ann,ann,standard_nonlinear,td3,305.4412532142466,48.11330108187057,-527.8894621011492,3.166829193362759,0.0,0.0,1.1993921515163146
revealed,stochastic_long_run,ann,ann_affine_search_revealed,,,,,,,,,,0.9794249957136794,0.9896590300268469,0.9638863775720001,0.9817771527042174,0.7257032627713563,,0.03121390048052855,0.1766745609320384,ann_native_numerical_search,ann,ann_revealed,affine_linear_search,numerical_search,217.33024181444594,39.40564698454202,-369.2734230758603,2.9727404320737136,0.0,0.0,0.8518821883167627
