loss_function,evaluation_env,policy_name,action_date,state_date,inflation,inflation_gap,output_gap,lagged_policy_rate,lagged_policy_rate_gap,policy_rate,policy_rate_gap,rate_change,loss,discounted_loss
artificial,ann,historical_actual_policy,1988-04-01,1988-04-01,3.297757893079778,1.297757863998413,0.927920937538147,6.663333333333334,4.663333415985107,7.156666666666666,5.156666666666666,0.4933333333333323,2.139031876353364,2.139031876353364
artificial,ann,historical_actual_policy,1988-07-01,1988-07-01,3.8960602240836923,1.8960602283477783,1.4012820720672607,7.156666666666666,5.1566667556762695,7.983333333333333,5.983333333333333,0.8266666666666671,4.645177875332311,4.598726096578988
artificial,ann,historical_actual_policy,1988-10-01,1988-10-01,3.9722707023932453,1.9722707271575928,1.058842420578003,7.983333333333333,5.983333110809326,8.47,6.470000000000001,0.48666666666666725,4.474109923113935,4.385075135643968
artificial,ann,historical_actual_policy,1989-01-01,1989-01-01,3.7859344276482347,1.7859344482421875,1.7243965864181519,8.47,6.46999979019165,9.443333333333332,7.443333333333332,0.9733333333333309,4.771071465663888,4.629365872062205
artificial,ann,historical_actual_policy,1989-04-01,1989-04-01,3.7149294474850074,1.714929461479187,1.7881969213485718,9.443333333333332,7.443333148956299,9.726666666666668,7.726666666666668,0.28333333333333677,4.547834960835362,4.368632117516955
artificial,ann,historical_actual_policy,1989-07-01,1989-07-01,3.9861977450326425,1.9861977100372314,1.8530062437057495,9.726666666666668,7.726666450500488,9.083333333333334,7.083333333333334,-0.6433333333333344,5.703185162927789,5.423672342681638
artificial,ann,historical_actual_policy,1989-10-01,1989-10-01,3.65689867262305,1.6568986177444458,1.5057240724563599,9.083333333333334,7.083333492279053,8.613333333333333,6.613333333333333,-0.47000000000000064,3.9010055356116378,3.6727192744817727
artificial,ann,historical_actual_policy,1990-01-01,1990-01-01,3.5869359271438555,1.5869358777999878,0.7670702338218689,8.613333333333333,6.613333225250244,8.25,6.25,-0.3633333333333333,2.8257649553136606,2.633797596177807
artificial,ann,historical_actual_policy,1990-04-01,1990-04-01,3.620536723228371,1.6205366849899292,1.3161022663116455,8.25,6.25,8.243333333333332,6.243333333333332,-0.006666666666667709,3.4922061795379182,3.2224147240170105
artificial,ann,historical_actual_policy,1990-07-01,1990-07-01,3.6471950729925258,1.6471951007843018,1.1311280727386475,8.243333333333332,6.243333339691162,8.16,6.16,-0.08333333333333215,3.3536715030669377,3.0636367604460335
artificial,ann,historical_actual_policy,1990-10-01,1990-10-01,3.754209462516463,1.7542095184326172,0.6725583076477051,8.16,6.159999847412109,7.743333333333332,5.743333333333332,-0.41666666666666785,3.320779471548023,3.0032534291252424
artificial,ann,historical_actual_policy,1991-01-01,1991-01-01,3.834693543938195,1.8346935510635376,-0.9206024408340454,7.743333333333332,5.743333339691162,6.426666666666667,4.426666666666667,-1.3166666666666655,3.963215966134274,3.5484188643689327
artificial,ann,historical_actual_policy,1991-04-01,1991-04-01,3.529208630056168,1.5292086601257324,-2.1401655673980713,6.426666666666667,4.426666736602783,5.863333333333333,3.8633333333333333,-0.5633333333333335,4.6603679064656065,4.130879608922482
artificial,ann,historical_actual_policy,1991-07-01,1991-07-01,3.2562288778312602,1.2562289237976074,-2.095933198928833,5.863333333333333,3.863333225250244,5.6433333333333335,3.6433333333333335,-0.21999999999999975,3.7794190914160657,3.3165197074412553
artificial,ann,historical_actual_policy,1991-10-01,1991-10-01,3.202583472650059,1.2025834321975708,-1.9073256254196167,5.6433333333333335,3.6433334350585938,4.816666666666666,2.8166666666666664,-0.8266666666666671,3.3334902266836104,2.8959556763376986
artificial,ann,historical_actual_policy,1992-01-01,1992-01-01,2.9869185482205003,0.986918568611145,-2.1029446125030518,4.816666666666666,2.816666603088379,4.023333333333333,2.0233333333333334,-0.793333333333333,3.2481340503873,2.793584827030445
artificial,ann,historical_actual_policy,1992-04-01,1992-04-01,2.402399843402598,0.40239983797073364,-1.6927543878555298,4.023333333333333,2.0233333110809326,3.77,1.77,-0.2533333333333334,1.6010521150512702,1.3632282652882908
artificial,ann,historical_actual_policy,1992-07-01,1992-07-01,2.133325300559333,0.13332529366016388,-1.1748905181884766,3.77,1.7699999809265137,3.2566666666666664,1.2566666666666664,-0.5133333333333336,0.7343106079470624,0.6189821287985894
artificial,ann,historical_actual_policy,1992-10-01,1992-10-01,1.9250787121272182,-0.07492128759622574,-0.6880012154579163,3.2566666666666664,1.256666660308838,3.036666666666666,1.0366666666666662,-0.2200000000000002,0.24712603529111699,0.2062300772630371
artificial,ann,historical_actual_policy,1993-01-01,1993-01-01,2.117873652608931,0.1178736537694931,-0.4090537130832672,3.036666666666666,1.0366666316986084,3.04,1.04,0.0033333333333338544,0.09755777948099756,0.08059917641827138
artificial,ann,historical_actual_policy,1993-04-01,1993-04-01,2.395496494733534,0.3954964876174927,-0.8513040542602539,3.04,1.0399999618530273,3.0,1.0,-0.040000000000000036,0.5189367678125706,0.42444198256818483
artificial,ann,historical_actual_policy,1993-07-01,1993-07-01,2.4712580837060028,0.4712580740451813,-0.9322651028633118,3.0,1.0,3.06,1.06,0.06000000000000005,0.6570032833611442,0.5319938680503867
artificial,ann,historical_actual_policy,1993-10-01,1993-10-01,2.6682851723165193,0.6682851910591125,-1.1885062456130981,3.06,1.059999942779541,2.99,0.9900000000000002,-0.06999999999999984,1.1533686437184993,0.9245755858199104
artificial,ann,historical_actual_policy,1994-01-01,1994-01-01,2.4615179348192116,0.46151793003082275,-0.5355810523033142,2.99,0.9900000095367432,3.2133333333333334,1.2133333333333334,0.22333333333333316,0.3614101088849014,0.2868202246642665
artificial,ann,historical_actual_policy,1994-04-01,1994-04-01,2.389225101699851,0.3892250955104828,-0.2978423833847046,3.2133333333333334,1.2133333683013916,3.94,1.94,0.7266666666666666,0.2486556570077052,0.1953633142990113
artificial,ann,historical_actual_policy,1994-07-01,1994-07-01,2.289264261161103,0.2892642617225647,0.42808687686920166,3.94,1.940000057220459,4.486666666666667,2.4866666666666672,0.5466666666666673,0.20518743837205525,0.15959917224618064
artificial,ann,historical_actual_policy,1994-10-01,1994-10-01,2.296507440527889,0.29650744795799255,0.21187150478363037,4.486666666666667,2.486666679382324,5.166666666666667,3.166666666666667,0.6799999999999997,0.15660143223487225,0.12058985951573384
artificial,ann,historical_actual_policy,1995-01-01,1995-01-01,2.3172262167580833,0.31722623109817505,0.3656354546546936,5.166666666666667,3.1666667461395264,5.81,3.8099999999999996,0.6433333333333326,0.20886489209929543,0.15922662877479177
artificial,ann,historical_actual_policy,1995-04-01,1995-04-01,2.3665026860884315,0.36650267243385315,-0.05922950059175491,5.81,3.809999942779541,6.02,4.02,0.20999999999999996,0.1404882781745902,0.10602921316439236
artificial,ann,historical_actual_policy,1995-07-01,1995-07-01,2.435927695584126,0.43592768907546997,-0.5356343984603882,6.02,4.019999980926514,5.796666666666667,3.796666666666667,-0.22333333333333272,0.3384728314355193,0.2528974543380223
artificial,ann,historical_actual_policy,1995-10-01,1995-10-01,2.6495577549872875,0.6495577692985535,-0.5496562719345093,5.796666666666667,3.7966666221618652,5.72,3.7199999999999998,-0.0766666666666671,0.5735740813899555,0.4242729621699899
artificial,ann,historical_actual_policy,1996-01-01,1996-01-01,3.2057285134982143,1.205728530883789,-0.6586534976959229,5.72,3.7200000286102295,5.363333333333333,3.3633333333333333,-0.35666666666666647,1.683414618352691,1.232770197545147
artificial,ann,historical_actual_policy,1996-04-01,1996-04-01,3.545671368359061,1.5456713438034058,-0.5118058919906616,5.363333333333333,3.363333225250244,5.243333333333333,3.243333333333333,-0.1200000000000001,2.5215125359992117,1.8280470054706472
artificial,ann,historical_actual_policy,1996-07-01,1996-07-01,3.592731447584803,1.5927314758300781,0.5034396648406982,5.243333333333333,3.243333339691162,5.306666666666667,3.3066666666666666,0.06333333333333346,2.6639204131978946,1.9119770169639414
artificial,ann,historical_actual_policy,1996-10-01,1996-10-01,3.697649834373543,1.6976498365402222,0.9356148838996887,5.306666666666667,3.306666612625122,5.28,3.2800000000000002,-0.026666666666666394,3.3197736838152467,2.3588759048485493
artificial,ann,historical_actual_policy,1997-01-01,1997-01-01,3.9114575033328713,1.9114575386047363,1.074168086051941,5.28,3.2799999713897705,5.276666666666666,3.2766666666666664,-0.0033333333333338544,4.23058957152716,2.9759984825799957
artificial,ann,historical_actual_policy,1997-04-01,1997-04-01,4.113434143703092,2.113434076309204,0.8061379194259644,5.276666666666666,3.2766666412353516,5.523333333333333,3.5233333333333334,0.24666666666666703,4.797617213172206,3.341124042395282
artificial,ann,historical_actual_policy,1997-07-01,1997-07-01,3.682928814219727,1.6829288005828857,1.570514440536499,5.523333333333333,3.5233333110809326,5.533333333333334,3.533333333333334,0.010000000000000675,4.065517151842691,2.802967083923
artificial,ann,historical_actual_policy,1997-10-01,1997-10-01,3.851222501299537,1.8512225151062012,1.9733606576919556,5.533333333333334,3.5333333015441895,5.506666666666667,3.506666666666667,-0.026666666666667282,5.374172054040912,3.668165829862034
artificial,ann,historical_actual_policy,1998-01-01,1998-01-01,3.744506931508441,1.7445069551467896,1.1312960386276245,5.506666666666667,3.506666660308838,5.52,3.5199999999999996,0.013333333333332753,3.6832376578575325,2.4888706800070945
artificial,ann,historical_actual_policy,1998-04-01,1998-04-01,3.5102284734559754,1.5102285146713257,0.8010075688362122,5.52,3.5199999809265137,5.5,3.5,-0.019999999999999574,2.6016367291165143,1.7404214978365455
artificial,ann,historical_actual_policy,1998-07-01,1998-07-01,3.5468281718883934,1.5468281507492065,0.36889904737472534,5.5,3.5,5.533333333333334,3.533333333333334,0.0333333333333341,2.460831692638311,1.6297646359185713
artificial,ann,historical_actual_policy,1998-10-01,1998-10-01,3.6702128822963305,1.6702128648757935,0.4308840036392212,5.533333333333334,3.5333333015441895,4.86,2.8600000000000003,-0.6733333333333338,2.9277792997895276,1.9196254937131136
artificial,ann,historical_actual_policy,1999-01-01,1999-01-01,3.565292910254273,1.5652929544448853,0.9287402629852295,4.86,2.859999895095825,4.733333333333333,2.7333333333333334,-0.12666666666666693,2.8830257130666075,1.8713795680052216
artificial,ann,historical_actual_policy,1999-04-01,1999-04-01,3.8184321949915954,1.8184322118759155,0.592441976070404,4.733333333333333,2.7333333492279053,4.746666666666667,2.746666666666667,0.013333333333333641,3.4822072344284294,2.2377067697070485
artificial,ann,historical_actual_policy,1999-07-01,1999-07-01,3.849952154072102,1.8499521017074585,0.45483192801475525,4.746666666666667,2.746666669845581,5.093333333333334,3.0933333333333337,0.3466666666666667,3.5377765975400255,2.2506821242913886
artificial,ann,historical_actual_policy,1999-10-01,1999-10-01,3.7239733686712637,1.7239733934402466,0.7468997240066528,5.093333333333334,3.0933332443237305,5.306666666666667,3.3066666666666666,0.21333333333333293,3.2555649750593414,2.0504317542099346
