source_phase,loss_function,evaluation_type,policy_name,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,improvement_vs_actual_pct,improvement_vs_taylor_pct,evaluation_env,mean_discounted_loss,std_discounted_loss,mean_reward,mean_abs_action,clip_rate,explosion_rate,std_policy_rate_x,var_inflation_gap,std_inflation_gap,var_output_gap,std_output_gap,var_policy_rate,std_policy_rate_y,var_rate_change,std_rate_change,rule_family,source_env,training_env,policy_parameterization,algo
phase9_legacy,artificial,historical_counterfactual,historical_actual_policy,95.6674674552664,1.6569022108613625,0.7942397254364378,1.6793257326679707,0.2299961988304093,4.754122807017544,2.1916919132248323,0.0,23.9051278750722,ann,,,,,,,,,,,,,,,,,,,,
phase9_legacy,artificial,historical_counterfactual,empirical_taylor_rule,125.72130655296397,2.262232680024061,1.4816694130728827,1.5379925969897206,0.1156696765787576,5.156308439414306,1.9989421706316663,-31.41489985793821,0.0,ann,,,,,,,,,,,,,,,,,,,,
phase9_legacy,artificial,historical_counterfactual,td3_benchmark_transfer,153.47234389738549,2.810037654006009,1.9990647570442324,1.45270387675861,0.8462095798203152,4.880227651874891,2.577872226021501,-60.42271001806161,-22.07345604758772,ann,,,,,,,,,,,,,,,,,,,,
phase9_legacy,artificial,historical_counterfactual,riccati_reference,156.56772057722452,2.8666257766496828,2.032019979906603,1.5069514594480165,0.8113006843587297,5.085149092006831,2.7255696526740048,-63.65826831407945,-24.53554999546998,ann,,,,,,,,,,,,,,,,,,,,
phase9_legacy,artificial,historical_counterfactual,linear_policy_search_transfer,158.43202449443172,2.9084381517801234,2.145636942901982,1.4015121132249484,0.620451511909206,4.967314454742997,2.4941887057317245,-65.60700174122795,-26.01843620491436,ann,,,,,,,,,,,,,,,,,,,,
phase9_legacy,artificial,historical_counterfactual,sac_benchmark_transfer,161.34729774973357,2.9586414355325656,2.102272651453436,1.555205417198107,0.7876607725649072,5.288479898329897,2.730066203152361,-68.65430019371915,-28.33727406560244,ann,,,,,,,,,,,,,,,,,,,,
phase9_legacy,artificial,historical_counterfactual,ppo_benchmark_transfer,227.0368816792831,4.438475716045691,0.3699149155448413,8.10540126620187,0.1586016666471689,3.631523958992639,0.588843049285536,-137.3187957394653,-80.58743414636473,ann,,,,,,,,,,,,,,,,,,,,
phase9_legacy,artificial,stochastic_long_run,td3_benchmark_transfer,,,,,,,,,,ann,113.0051145876758,18.385753844922466,-165.0262227702258,2.7960938948529885,0.0402994791666666,0.0,,,,,,,,,,,,,,
phase9_legacy,artificial,stochastic_long_run,riccati_reference,,,,,,,,,,ann,119.10851921213325,16.738643649212538,-173.82627239837927,2.946370041059377,0.0421223958333333,0.0,,,,,,,,,,,,,,
phase9_legacy,artificial,stochastic_long_run,empirical_taylor_rule,,,,,,,,,,ann,120.25742627427664,28.68034168448808,-178.02348437617857,3.599739093657622,0.0001953125,0.0,,,,,,,,,,,,,,
phase9_legacy,artificial,stochastic_long_run,sac_benchmark_transfer,,,,,,,,,,ann,120.53165611284037,17.15008568624432,-176.01299429114871,3.0033682637746635,0.0287760416666666,0.0,,,,,,,,,,,,,,
phase9_legacy,artificial,stochastic_long_run,linear_policy_search_transfer,,,,,,,,,,ann,137.94263251155394,17.235870531363823,-203.31624294192844,2.7120103796203185,0.0170572916666666,0.0,,,,,,,,,,,,,,
phase9_legacy,artificial,stochastic_long_run,ppo_benchmark_transfer,,,,,,,,,,ann,242.35782628179595,29.798396816215774,-366.34812463684005,1.6600975230959316,0.00078125,0.0,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,ppo_ann_direct,69.22967798608991,1.233359672011454,0.5713736931498338,1.276379028796306,0.2379646395977963,4.853753624778045,0.9863623657607886,58.85065761113525,46.9125742965467,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,td3_ann_direct,71.23898004201602,1.2529472927131124,0.3054167048647961,1.5083040857288672,1.933785441897043,3.911720711933939,2.2781504311971217,57.65635105551952,45.37178027998048,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,sac_ann_direct,86.00998126481335,1.5435702264424698,0.3870800968051885,1.813281509865577,2.498493740004589,3.724756647097437,2.468618727339628,48.87663396850152,34.04492664159683,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,td3_svar_direct,111.44381979259724,2.0922896756916063,1.1917959670527258,1.3774883986155653,2.1174950905702,5.336697810574582,2.167205559866624,33.759046247623104,14.541484585017416,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,td3_ann_revealed_direct,114.15438596210474,2.031168896400468,1.4676845188984098,1.1181507637453016,0.044089955765027,5.082803738744635,0.9120822472149654,32.14791618575645,12.462939886789355,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,empirical_taylor_rule,130.4069222960769,2.3359108106278077,1.553884130497865,1.540767854240941,0.1164275419678227,5.210691141447773,2.063861810161664,22.48759128249081,0.0,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,td3_benchmark_transfer,155.2257644317758,2.8442514859063004,2.0907751504717424,1.3472046701973912,0.7987400143277177,4.941937659217376,2.556870889831881,7.73555050393541,-19.03184409133589,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,riccati_reference,157.01113712490027,2.8811006330799445,2.1059970238567773,1.3995789337962368,0.7531414119235021,5.148836401888681,2.702746748910556,6.674345044394353,-20.400922251980564,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,sac_svar_direct,157.37099499908655,2.946337743589047,1.790417786124323,2.0948180969412817,1.0851090892831678,6.456291391661293,2.056473786365528,6.460449569115741,-20.67687223059385,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,linear_policy_search_transfer,159.90029717201102,2.93630507198685,2.2067340994125573,1.3393846090088586,0.598786665629233,5.026253838930266,2.4713294782319477,4.957060789241868,-22.61641817523468,ann,,,,,,,,,,,,,,,,,,,,
phase10,artificial,historical_counterfactual,sac_benchmark_transfer,161.91055542351532,2.974545738442576,2.163638088802984,1.4702244110026184,0.7579544275292518,5.342778131374356,2.7114481878320134,3.762185881722989,-24.15794543169442,ann,,,,,,,,,,,,,,,,,,,,
