output_weight,rate_smoothing_weight,objective
0.5946035575013602,4.999999999999999,1.260298977331016
0.3883998048578669,4.999999999999999,1.2704921710476282
0.9102821015130399,4.999999999999999,1.2889941434030467
0.2537058625204809,4.999999999999999,1.2971718321709311
0.1657227008669994,4.999999999999999,1.3277512899792847
0.10825139517789366,4.999999999999999,1.355911517611614
0.07071067811865474,4.999999999999999,1.379114086304388
1.3935562508522341,4.999999999999999,1.3934501374507084
0.04618878114026437,4.999999999999999,1.3969309212881595
0.030170881682725817,4.999999999999999,1.409959418439479
0.019707861498850326,4.999999999999999,1.4191602202110734
0.012873332935452241,4.999999999999999,1.4254990288230063
0.008408964152537146,4.999999999999999,1.4297911047447753
0.005492802716530587,4.999999999999999,1.432662886733742
0.003587942716300282,4.999999999999999,1.4345689020304901
0.0023436729115920993,4.999999999999999,1.4358271001297949
0.0015309059120638675,4.999999999999999,1.4366546761451637
0.0010000000000000002,4.999999999999999,1.4371977178556492
0.5946035575013602,3.2660400359022246,1.5381827848129774
0.3883998048578669,3.2660400359022246,1.545614217833324
0.2537058625204809,3.2660400359022246,1.5827489163743902
0.9102821015130399,3.2660400359022246,1.5964252295536587
0.1657227008669994,3.2660400359022246,1.6285874626037324
2.133403503223241,4.999999999999999,1.6302743177750474
0.10825139517789366,3.2660400359022246,1.6721342816713332
0.07071067811865474,3.2660400359022246,1.7086489225672714
0.04618878114026437,3.2660400359022246,1.7370003355334893
0.030170881682725817,3.2660400359022246,1.7578851993097846
0.019707861498850326,3.2660400359022246,1.772707480565339
1.3935562508522341,3.2660400359022246,1.7770720629554513
0.012873332935452241,3.2660400359022246,1.782953344419865
0.008408964152537146,3.2660400359022246,1.7899065085722115
0.005492802716530587,3.2660400359022246,1.7945657599945986
0.003587942716300282,3.2660400359022246,1.7976611954220196
0.0023436729115920993,3.2660400359022246,1.7997058909911658
0.0015309059120638675,3.2660400359022246,1.8010513625675182
0.0010000000000000002,3.2660400359022246,1.8019344883258743
0.5946035575013602,2.133403503223241,1.9402706928543922
0.3883998048578669,2.133403503223241,1.9417395390466303
0.2537058625204809,2.133403503223241,1.993812560455628
0.9102821015130399,2.133403503223241,2.0452486847846543
0.1657227008669994,2.133403503223241,2.0626167650442384
3.2660400359022246,4.999999999999999,2.080318778838987
0.10825139517789366,2.133403503223241,2.1297559339553733
2.133403503223241,3.2660400359022246,2.162840144864569
0.07071067811865474,2.133403503223241,2.186888933583392
0.04618878114026437,2.133403503223241,2.231658492341079
0.030170881682725817,2.133403503223241,2.264836889322497
0.019707861498850326,2.133403503223241,2.288478996753074
0.012873332935452241,2.133403503223241,2.3048656680356063
0.008408964152537146,2.133403503223241,2.3160062258845673
0.005492802716530587,2.133403503223241,2.323480355547124
0.003587942716300282,2.133403503223241,2.328449827969148
0.0023436729115920993,2.133403503223241,2.331734136555355
0.0015309059120638675,2.133403503223241,2.333896052790013
0.0010000000000000002,2.133403503223241,2.3353153869046155
1.3935562508522341,2.133403503223241,2.340750277902694
0.3883998048578669,1.3935562508522341,2.508166710659942
0.5946035575013602,1.3935562508522341,2.516461008334376
0.2537058625204809,1.3935562508522341,2.5822781499614176
0.1657227008669994,1.3935562508522341,2.6858457709211385
0.9102821015130399,1.3935562508522341,2.6909906735352425
0.10825139517789366,1.3935562508522341,2.7891065952935836
4.999999999999999,4.999999999999999,2.850261409598438
3.2660400359022246,3.2660400359022246,2.864590712493298
