evaluation_env,policy_name,action_date,state_date,inflation,inflation_gap,output_gap,lagged_policy_rate,lagged_policy_rate_gap,policy_rate,policy_rate_gap,rate_change,loss,discounted_loss,period,revealed_loss,revealed_discounted_loss
svar,ppo_ann_direct,1988-01-01,1988-01-01,3.019712701536914,1.0197126865386963,0.3700870275497436,6.916666666666667,4.916666507720947,4.335336685180664,2.335336685180664,-2.581329981486003,1.7746225323418527,1.7746225323418527,0,134.99582184919447,134.99582184919447
svar,ppo_ann_direct,1988-04-01,1988-04-01,3.068236888820929,1.0682369470596311,-0.4152465462684631,4.335336685180664,2.335336685180664,3.5706955194473267,1.5706955194473269,-0.7646411657333374,1.2858126333906288,1.2729545070567223,1,13.036697294303597,12.90633032136056
svar,ppo_ann_direct,1988-07-01,1988-07-01,3.2790943309145235,1.2790943384170532,0.1724623590707779,3.5706955194473267,1.5706955194473269,3.606520891189575,1.6065208911895752,0.0358253717422485,1.651082304944735,1.6182257670763347,2,1.6880862739367122,1.6544933570853715
svar,ppo_ann_direct,1988-10-01,1988-10-01,3.72407019908245,1.7240701913833618,0.078301265835762,3.606520891189575,1.6065208911895752,3.1582911014556885,1.1582911014556885,-0.4482297897338867,2.9955745633728914,2.906603003266153,3,7.013207990666272,6.804908700135493
svar,ppo_ann_direct,1989-01-01,1989-01-01,3.8618839410546415,1.8618839979171755,0.5669880509376526,3.1582911014556885,1.1582911014556885,3.2383241653442383,1.2383241653442385,0.0800330638885498,3.627990275784622,3.4850329832375078,4,3.8787147716173545,3.725877933543692
svar,ppo_ann_direct,1989-04-01,1989-04-01,4.179465795150507,2.1794657707214355,0.9732054471969604,3.2383241653442383,1.2383241653442385,3.1712043285369877,1.1712043285369873,-0.0671198368072509,5.224085974222602,4.968053781307842,5,5.675653515337573,5.397490019765988
svar,ppo_ann_direct,1989-07-01,1989-07-01,4.380175783215561,2.380175828933716,1.0030348300933838,3.1712043285369877,1.1712043285369873,3.005798816680908,1.0057988166809082,-0.1654055118560791,6.17101231016577,5.809885591730279,6,7.101829513685451,6.686231511565009
svar,ppo_ann_direct,1989-10-01,1989-10-01,4.023306562314878,2.023306608200073,1.1655962467193604,3.005798816680908,1.0057988166809082,3.3852367401123047,1.385236740112305,0.3794379234313965,4.787474249743008,4.462238852182472,7,8.18345536305215,7.627515170044525
svar,ppo_ann_direct,1990-01-01,1990-01-01,3.9583045571701128,1.958304524421692,1.0959906578063965,3.3852367401123047,1.385236740112305,3.447506904602051,1.4475069046020508,0.062270164489746,4.435942128708476,4.09324206405504,8,4.971949279230936,4.587839818375067
svar,ppo_ann_direct,1990-04-01,1990-04-01,4.1209246655087854,2.120924711227417,1.7511202096939087,3.447506904602051,1.4475069046020508,3.650883674621582,1.650883674621582,0.2033767700195312,6.035668836152679,5.5136875819249855,9,8.03280549685902,7.338106367062111
svar,ppo_ann_direct,1990-07-01,1990-07-01,4.295513566759781,2.29551362991333,1.6523233652114868,3.650883674621582,1.650883674621582,3.45785391330719,1.45785391330719,-0.1930297613143921,6.638195125605089,6.003464682008061,10,8.425007922787373,7.619426147176061
svar,ppo_ann_direct,1990-10-01,1990-10-01,4.555549622610549,2.5555496215820312,1.0734214782714844,3.45785391330719,1.45785391330719,2.9192137718200684,0.9192137718200684,-0.5386401414871216,7.13596402357746,6.389101571322848,11,13.374254241674034,11.974481444752662
svar,ppo_ann_direct,1991-01-01,1991-01-01,4.714866534328746,2.7148666381835938,-0.5332468748092651,2.9192137718200684,0.9192137718200684,2.062152862548828,0.0621528625488281,-0.8570609092712402,7.586132318089296,6.724232921591163,12,22.375117359359137,19.832965530208885
svar,ppo_ann_direct,1991-04-01,1991-04-01,4.736282373997416,2.7362823486328125,-1.6725006103515625,2.062152862548828,0.0621528625488281,1.5974092483520508,-0.4025907516479492,-0.4647436141967773,8.907468899946343,7.816491221412406,13,14.291827038328638,12.541378683198454
svar,ppo_ann_direct,1991-07-01,1991-07-01,4.437274159169826,2.437274217605591,-1.277153253555298,1.5974092483520508,-0.4025907516479492,1.8712916374206543,-0.1287083625793457,0.2738823890686035,6.763366984642579,5.87564674812819,14,8.885132974432334,7.718922067433668
svar,ppo_ann_direct,1991-10-01,1991-10-01,4.463120875811547,2.463120937347412,-1.2033041715621948,1.8712916374206543,-0.1287083625793457,1.900775909423828,-0.0992240905761718,0.0294842720031738,6.791022148878239,5.840675335696766,15,7.361093678471408,6.330970117466509
svar,ppo_ann_direct,1992-01-01,1992-01-01,4.421126044271046,2.421126127243042,-1.4617838859558103,1.900775909423828,-0.0992240905761718,1.8376398086547847,-0.1623601913452148,-0.0631361007690429,6.930656405360958,5.901161255133063,16,7.825970742344046,6.6634836049299695
svar,ppo_ann_direct,1992-04-01,1992-04-01,3.8917039488825007,1.891703963279724,-0.7931340336799622,1.8376398086547847,-0.1623601913452148,2.4518723487854004,0.4518723487854004,0.6142325401306152,3.93080284371447,3.313443501643296,17,11.711099351397698,9.871791485303609
svar,ppo_ann_direct,1992-07-01,1992-07-01,3.806562187689155,1.806562185287476,-0.1447997242212295,2.4518723487854004,0.4518723487854004,2.8672292232513428,0.8672292232513428,0.4153568744659424,3.291402542694543,2.746720716350405,18,6.7473373748034025,5.630745892419946
svar,ppo_ann_direct,1992-10-01,1992-10-01,3.572224391617349,1.5722243785858154,0.1818579137325287,2.8672292232513428,0.8672292232513428,3.2705355882644653,1.270535588264465,0.4033063650131225,2.504691249419137,2.0692973226656446,19,5.768083346195029,4.765409480294913
svar,ppo_ann_direct,1993-01-01,1993-01-01,3.6854913091809927,1.6854913234710691,0.5837662220001221,3.2705355882644653,1.270535588264465,3.417100429534912,1.417100429534912,0.1465648412704467,3.013420627740068,2.464697637327204,20,3.5728162471000995,2.922231195263273
svar,ppo_ann_direct,1993-04-01,1993-04-01,3.8886937508879513,1.8886938095092771,-0.0452041253447532,3.417100429534912,1.417100429534912,2.937859535217285,0.9378595352172852,-0.4792408943176269,3.5911531960313945,2.90785682187846,21,8.182048127347786,6.625232387841062
svar,ppo_ann_direct,1993-07-01,1993-07-01,3.89526684159924,1.8952668905258176,-0.4454580843448639,2.937859535217285,0.9378595352172852,2.700048446655273,0.7000484466552734,-0.2378110885620117,3.696908450161805,2.9635549003750885,22,4.902917169922799,3.9303283813863237
svar,ppo_ann_direct,1993-10-01,1993-10-01,3.978700043027648,1.978700041770935,-0.8583701848983765,2.700048446655273,0.7000484466552734,2.432247400283813,0.4322474002838135,-0.2678010463714599,4.290825282509301,3.4052602328187045,23,6.005381825025519,4.7659567950742545
svar,ppo_ann_direct,1994-01-01,1994-01-01,3.8163476495579034,1.816347599029541,-0.4079620540142059,2.432247400283813,0.4322474002838135,2.734422445297241,0.7344224452972412,0.3021750450134277,3.39146609504101,2.664600776162539,24,5.2798702604317835,4.148278649919369
svar,ppo_ann_direct,1994-04-01,1994-04-01,3.689618217608056,1.6896182298660278,-0.1768689602613449,2.734422445297241,0.7344224452972412,2.976768732070923,0.9767687320709229,0.2423462867736816,2.876324249518873,2.2372664378335,25,4.06205024382939,3.159549442603011
svar,ppo_ann_direct,1994-07-01,1994-07-01,3.5482652312157934,1.5482652187347412,0.355542778968811,2.976768732070923,0.9767687320709229,3.392756223678589,1.3927562236785889,0.415987491607666,2.477635080699572,1.907885911699108,26,5.9842967485291965,4.608166693668983
svar,ppo_ann_direct,1994-10-01,1994-10-01,3.5018549229795184,1.5018548965454102,0.0594867840409278,3.392756223678589,1.3927562236785889,3.324374556541443,1.3243745565414429,-0.068381667137146,2.2578050742552365,1.7212212487744007,27,2.3526092508188334,1.7934945220673353
svar,ppo_ann_direct,1995-01-01,1995-01-01,3.4738155040539227,1.4738155603408811,0.2743302285671234,3.324374556541443,1.3243745565414429,3.454347610473633,1.4543476104736328,0.1299730539321899,2.211450142530597,1.669024075257064,28,2.5777923050312403,1.9455095710121868
svar,ppo_ann_direct,1995-04-01,1995-04-01,3.509273463163365,1.5092734098434448,-0.2493941485881805,3.454347610473633,1.4543476104736328,3.167058229446411,1.1670582294464111,-0.2872893810272217,2.317258465180571,1.7313908605365875,29,3.9905100839450007,2.98159777687254
svar,ppo_ann_direct,1995-07-01,1995-07-01,3.4959035028364798,1.495903491973877,-0.8836715221405029,3.167058229446411,1.1670582294464111,2.841826915740967,0.8418269157409668,-0.3252313137054443,2.6387424775621526,1.95187879592824,30,5.050790945728888,3.7360719484618037
svar,ppo_ann_direct,1995-10-01,1995-10-01,3.399001697107168,1.3990017175674438,-0.8429784774780273,2.841826915740967,0.8418269157409668,2.910895109176636,0.9108951091766356,0.0690681934356689,2.312989204036691,1.6938097880903116,31,2.67957851917525,1.9622643788455763
svar,ppo_ann_direct,1996-01-01,1996-01-01,3.315102865077355,1.3151028156280518,-0.7903172373771667,2.910895109176636,0.9108951091766356,3.0138438940048218,1.0138438940048218,0.102948784828186,2.042855928750328,1.4810303775389055,32,2.4930900435732486,1.807441257362913
svar,ppo_ann_direct,1996-04-01,1996-04-01,3.251511003850246,1.2515109777450562,-0.7188079953193665,3.0138438940048218,1.0138438940048218,3.1139028072357178,1.1139028072357178,0.100058913230896,1.8256233730956044,1.3103056358957672,33,2.222939572250993,1.5954716031254865
svar,ppo_ann_direct,1996-07-01,1996-07-01,3.1803846494830808,1.180384635925293,0.2692460119724273,3.1139028072357178,1.1139028072357178,3.702480792999268,1.7024807929992676,0.5885779857635498,1.4641970007425624,1.0403899042400384,34,8.415339217606718,5.979546439661539
svar,ppo_ann_direct,1996-10-01,1996-10-01,3.004309523892,1.0043095350265503,0.4797900021076202,3.702480792999268,1.7024807929992676,4.051907777786255,2.051907777786255,0.3494269847869873,1.1359467869761932,0.7990791489405698,35,3.664034915175863,2.5774569154784026
svar,ppo_ann_direct,1997-01-01,1997-01-01,3.054081733129903,1.054081678390503,0.6677784323692322,4.051907777786255,2.051907777786255,4.147484302520752,2.147484302520752,0.095576524734497,1.3349656892953266,0.9296877516679254,36,1.6877474729647042,1.175369648902385
svar,ppo_ann_direct,1997-04-01,1997-04-01,3.1608084837823105,1.1608084440231323,0.3838076293468475,4.147484302520752,2.147484302520752,3.895896553993225,1.895896553993225,-0.2515877485275268,1.427460031408744,0.9841610137694036,37,2.74870194438914,1.895090042885649
svar,ppo_ann_direct,1997-07-01,1997-07-01,2.937236734960465,0.9372367262840272,1.0010946989059448,3.895896553993225,1.895896553993225,4.435053110122681,2.4350531101226807,0.5391565561294556,1.40857695838613,0.9614306753722076,38,7.600717557270902,5.187904694091378
svar,ppo_ann_direct,1997-10-01,1997-10-01,3.0139229998437767,1.0139230489730835,1.3049458265304563,4.435053110122681,2.4350531101226807,4.5940492153167725,2.5940492153167725,0.1589961051940918,1.882009730475191,1.2717286454962005,39,3.0372518903920707,2.0523593316511812
svar,ppo_ann_direct,1998-01-01,1998-01-01,2.790536013108801,0.7905359864234924,1.157312035560608,4.5940492153167725,2.5940492153167725,4.752391815185547,2.752391815185547,0.1583425998687744,1.2971399575506033,0.8677499985136276,40,2.309480088603398,1.5449769562546762
svar,ppo_ann_direct,1998-04-01,1998-04-01,2.308764579317112,0.3087645769119262,1.1443240642547607,4.752391815185547,2.752391815185547,5.250700235366821,3.2507002353668213,0.4983084201812744,0.7749054741342235,0.513205978979275,41,6.2373841726375865,4.130907520255616
svar,ppo_ann_direct,1998-07-01,1998-07-01,2.306802505487141,0.3068025112152099,1.0941169261932373,5.250700235366821,3.2507002353668213,5.280909061431885,3.2809090614318848,0.0302088260650634,0.6927649622964509,0.4542177352203669,42,1.1679485665554776,0.7657762468184528
svar,ppo_ann_direct,1998-10-01,1998-10-01,2.265093931205828,0.2650939226150512,1.2588059902191162,5.280909061431885,3.2809090614318848,5.421375036239624,3.421375036239624,0.1404659748077392,0.8645441173210685,0.5611778588935458,43,1.8637318775069742,1.209753260263754
svar,ppo_ann_direct,1999-01-01,1999-01-01,2.1748020009530014,0.1748020052909851,1.7739423513412476,5.421375036239624,3.421375036239624,5.821057558059692,3.821057558059693,0.3996825218200683,1.6199660858196516,1.0410090017314764,44,6.013779301894877,3.8645243517745844
svar,ppo_ann_direct,1999-04-01,1999-04-01,2.2850540993601944,0.285054087638855,1.8197442293167116,5.821057558059692,3.821057558059693,5.782970428466797,3.782970428466797,-0.0380871295928955,1.7371354258894187,1.1051403452782294,45,3.030157322198881,1.9277421088730926
svar,ppo_ann_direct,1999-07-01,1999-07-01,2.386990110881942,0.3869901001453399,1.5171012878417969,5.782970428466797,3.782970428466797,5.504705905914307,3.504705905914306,-0.2782645225524902,1.3083026108472562,0.8239999010764881,46,3.734354495238769,2.3519847083913947
svar,ppo_ann_direct,1999-10-01,1999-10-01,2.271005502057219,0.2710055112838745,1.6304266452789309,5.504705905914307,3.504705905914306,5.653772830963135,3.653772830963135,0.1490669250488281,1.4048116047783394,0.8759357106171545,47,2.8636130318610817,1.7855354465067674
svar,ppo_ann_direct,2000-01-01,2000-01-01,2.4821042936837245,0.4821043014526367,2.0953903198242188,5.653772830963135,3.653772830963135,5.725191354751587,3.725191354751587,0.0714185237884521,2.428264914239668,1.4989439911562177,48,4.206174816648846,2.5964302453970687
svar,ppo_ann_direct,2000-04-01,2000-04-01,2.758101466207421,0.7581014633178711,1.3287122249603271,5.725191354751587,3.725191354751587,5.014680862426758,3.014680862426758,-0.7105104923248291,1.507938433034576,0.921527172581604,49,12.271045242649006,7.499047294870556
svar,ppo_ann_direct,2000-07-01,2000-07-01,2.970924577268054,0.9709245562553406,1.8556029796600344,5.014680862426758,3.014680862426758,5.022606134414673,3.022606134414673,0.007925271987915,2.664331983994837,1.6119370151854655,50,3.979924780461827,2.4078786389304327
svar,ppo_ann_direct,2000-10-01,2000-10-01,3.1514561508323,1.1514561176300049,0.8816000819206238,5.022606134414673,3.022606134414673,4.281194686889648,2.2811946868896484,-0.7414114475250244,1.769429636500904,1.0598105088014524,51,13.051972470388911,7.817557307370416
svar,ppo_ann_direct,2001-01-01,2001-01-01,3.11479419566263,1.1147942543029783,0.3957174718379974,4.281194686889648,2.2811946868896484,3.961647152900696,1.961647152900696,-0.3195475339889526,1.331273450833704,0.7894004873295227,52,3.4317824461598585,2.0349318419224565
svar,ppo_ann_direct,2001-04-01,2001-04-01,3.081089699156326,1.081089735031128,-0.7715555429458618,3.961647152900696,1.961647152900696,3.333370447158813,1.3333704471588137,-0.6282767057418823,1.5058771550127037,0.8840052790718318,53,9.62203337935035,5.648487510708888
svar,ppo_ann_direct,2001-07-01,2001-07-01,3.037422330842487,1.0374222993850708,-0.81293123960495,3.333370447158813,1.3333704471588137,3.2872016429901123,1.2872016429901123,-0.0461688041687011,1.4068867832720646,0.8176353469043878,54,1.7017448084131945,0.9889969280496056
svar,ppo_ann_direct,2001-10-01,2001-10-01,2.813574799314303,0.8135747909545898,-1.6321810483932495,3.2872016429901123,1.2872016429901123,3.0675740242004395,1.0675740242004397,-0.2196276187896728,1.9987350569373703,1.1499817089543225,55,3.9796519752347157,2.2897116672063595
svar,ppo_ann_direct,2002-01-01,2002-01-01,2.5867401621540504,0.5867401361465454,-1.9084511995315552,3.0675740242004395,1.0675740242004397,3.105438232421875,1.105438232421875,0.0378642082214355,2.1655003476884063,1.2334716020080223,56,3.584422763296249,2.041691516160045
svar,ppo_ann_direct,2002-04-01,2002-04-01,2.2014002402604755,0.2014002352952957,-1.442665696144104,3.105438232421875,1.105438232421875,3.701143503189087,1.701143503189087,0.5957052707672119,1.1166906871544604,0.6297076746162434,57,9.003306606206975,5.077011326474382
svar,ppo_ann_direct,2002-07-01,2002-07-01,1.916859375369159,-0.0831406265497207,-1.3102076053619385,3.701143503189087,1.701143503189087,4.1137566566467285,2.1137566566467285,0.4126131534576416,0.8822593097978386,0.4925354980787427,58,4.940054324203659,2.757865051789853
svar,ppo_ann_direct,2002-10-01,2002-10-01,1.965085629475766,-0.0349143706262111,-1.5247085094451904,4.1137566566467285,2.1137566566467285,3.9926387071609497,1.9926387071609497,-0.1211179494857788,1.1650539884322757,0.6439060894086551,59,2.345614590897184,1.296382428179881
svar,ppo_ann_direct,2003-01-01,2003-01-01,2.1828834092271783,0.1828834116458892,-2.1214189529418945,3.9926387071609497,1.9926387071609497,3.4509117603302,1.4509117603302002,-0.5417269468307495,2.3130023376980384,1.2655745929368405,60,9.895987102181696,5.414655075972016
svar,ppo_ann_direct,2003-04-01,2003-04-01,2.2953219865916545,0.2953220009803772,-2.3258183002471924,3.4509117603302,1.4509117603302002,3.189525008201599,1.1895250082015991,-0.2613867521286011,2.7987627705642573,1.5160480239863012,61,6.229084520055817,3.374202121450387
svar,ppo_ann_direct,2003-07-01,2003-07-01,2.224442896793331,0.2244428992271423,-2.1200342178344727,3.189525008201599,1.1895250082015991,3.3309675455093384,1.3309675455093384,0.1414425373077392,2.2996477565440023,1.233228021003537,62,4.415103843124088,2.3676799020575765
svar,ppo_ann_direct,2003-10-01,2003-10-01,2.2383989654149747,0.2383989691734314,-1.093013882637024,3.3309675455093384,1.3309675455093384,3.881083369255066,1.881083369255066,0.5501158237457275,0.6844364842751297,0.3633711233023765,63,7.18863240834457,3.8164847918568965
svar,ppo_ann_direct,2004-01-01,2004-01-01,2.172837985527698,0.1728379875421524,-0.4398140013217926,3.881083369255066,1.881083369255066,4.373468399047852,2.373468399047852,0.4923850297927856,0.1508354495733683,0.0792785824901014,64,5.070026471252021,2.6647881049516817
svar,ppo_ann_direct,2004-04-01,2004-04-01,2.3140749038269752,0.3140749037265777,-0.473145455121994,4.373468399047852,2.373468399047852,4.269757270812988,2.2697572708129883,-0.1037111282348632,0.2116519558141333,0.1101310893082857,65,0.5120691192632817,0.2664503131505381
svar,ppo_ann_direct,2004-07-01,2004-07-01,2.693205899101147,0.6932058930397034,-0.4498286247253418,4.269757270812988,2.2697572708129883,3.900290489196777,1.9002904891967771,-0.3694667816162109,0.5953578762279029,0.3066909401955994,66,3.400735626647539,1.7518451478316446
