policy_name,action_date,state_date,inflation,inflation_gap,output_gap,lagged_policy_rate,lagged_policy_rate_gap,policy_rate,policy_rate_gap,rate_change,loss,discounted_loss
historical_actual_policy,1988-04-01,1988-04-01,3.297757893079778,1.297757863998413,0.927920937538147,6.663333333333334,4.663333415985107,7.156666666666666,5.156666666666666,0.4933333333333323,2.139031876353364,2.139031876353364
historical_actual_policy,1988-07-01,1988-07-01,3.7315770487321043,1.7315770387649536,0.776435136795044,7.156666666666666,5.1566667556762695,7.983333333333333,5.983333333333333,0.8266666666666671,3.3681225650644993,3.3344413394138543
historical_actual_policy,1988-10-01,1988-10-01,3.7976011745947336,1.7976012229919434,1.3704524040222168,7.983333333333333,5.983333110809326,8.47,6.470000000000001,0.48666666666666725,4.19412451885072,4.110661440925591
historical_actual_policy,1989-01-01,1989-01-01,4.054499388138266,2.054499387741089,1.6595312356948853,8.47,6.46999979019165,9.443333333333332,7.443333333333332,0.9733333333333309,5.692727513972479,5.5236478140799825
historical_actual_policy,1989-04-01,1989-04-01,4.14610763700729,2.1461076736450195,1.7058708667755127,9.443333333333332,7.443333148956299,9.726666666666668,7.726666666666668,0.28333333333333677,6.06880364216057,5.829668564132911
historical_actual_policy,1989-07-01,1989-07-01,3.6844452365265568,1.6844452619552612,1.736431360244751,9.726666666666668,7.726666450500488,9.083333333333334,7.083333333333334,-0.6433333333333344,4.386340524908648,4.171366194661267
historical_actual_policy,1989-10-01,1989-10-01,3.5342103511643685,1.5342103242874146,1.2318886518478394,9.083333333333334,7.083333492279053,8.613333333333333,6.613333333333333,-0.47000000000000064,3.1346661593667373,2.951225964042855
historical_actual_policy,1990-01-01,1990-01-01,3.5702529414064266,1.5702528953552246,1.624779224395752,8.613333333333333,6.613333225250244,8.25,6.25,-0.3633333333333333,3.798849022642571,3.5407755359354764
historical_actual_policy,1990-04-01,1990-04-01,3.624671166203264,1.624671220779419,1.3009332418441772,8.25,6.25,8.243333333333332,6.243333333333332,-0.006666666666667709,3.485774669940932,3.2164800826592295
historical_actual_policy,1990-07-01,1990-07-01,3.7499694075852297,1.7499693632125854,0.6959999799728394,8.243333333333332,6.243333339691162,8.16,6.16,-0.08333333333333215,3.3052952027941664,3.0194441757774095
historical_actual_policy,1990-10-01,1990-10-01,3.7822307480333004,1.7822307348251343,-0.8759956955909729,8.16,6.159999847412109,7.743333333333332,5.743333333333332,-0.41666666666666785,3.5773917198977503,3.235328946760443
historical_actual_policy,1991-01-01,1991-01-01,3.683252448783936,1.6832524538040161,-1.9923089742660522,7.743333333333332,5.743333339691162,6.426666666666667,4.426666666666667,-1.3166666666666655,4.991347460493105,4.468944321676574
historical_actual_policy,1991-04-01,1991-04-01,3.2999924340996856,1.2999924421310425,-1.851203441619873,6.426666666666667,4.426666736602783,5.863333333333333,3.8633333333333333,-0.5633333333333335,3.435191893054377,3.0449021254452915
historical_actual_policy,1991-07-01,1991-07-01,3.2269649308228847,1.2269649505615234,-1.9780386686325073,5.863333333333333,3.863333225250244,5.6433333333333335,3.6433333333333335,-0.21999999999999975,3.466601472453518,3.0420156704371393
historical_actual_policy,1991-10-01,1991-10-01,3.0760053076189564,1.0760053396224976,-2.2681045532226562,5.6433333333333335,3.6433334350585938,4.816666666666666,2.8166666666666664,-0.8266666666666671,3.798274417667154,3.299734996095869
historical_actual_policy,1992-01-01,1992-01-01,2.472358104015981,0.4723581075668335,-1.7221094369888306,4.816666666666666,2.816666603088379,4.023333333333333,2.0233333333333334,-0.793333333333333,1.7688904059571369,1.5213489720882558
historical_actual_policy,1992-04-01,1992-04-01,2.3410952457532552,0.3410952389240265,-1.2942701578140259,4.023333333333333,2.0233333110809326,3.77,1.77,-0.2533333333333334,0.9603313593709333,0.8176815987624868
historical_actual_policy,1992-07-01,1992-07-01,2.0497956583612087,0.04979565739631653,-0.9724341034889221,3.77,1.7699999809265137,3.2566666666666664,1.2566666666666664,-0.5133333333333336,0.5016447594625831,0.4228580354857016
historical_actual_policy,1992-10-01,1992-10-01,2.1437835788944426,0.1437835842370987,-0.6040270328521729,3.2566666666666664,1.256666660308838,3.036666666666666,1.0366666666666662,-0.2200000000000002,0.20793804702442237,0.17352716177093588
historical_actual_policy,1993-01-01,1993-01-01,2.332583159003754,0.33258315920829773,-1.1213769912719727,3.036666666666666,1.0366666316986084,3.04,1.04,0.0033333333333338544,0.7393558472004861,0.6108326028064198
historical_actual_policy,1993-04-01,1993-04-01,2.3266052377793223,0.3266052305698395,-1.2306532859802246,3.04,1.0399999618530273,3.0,1.0,-0.040000000000000036,0.8640847314773646,0.7067408965471768
historical_actual_policy,1993-07-01,1993-07-01,2.430402268738252,0.4304022789001465,-1.4491946697235107,3.0,1.0,3.06,1.06,0.06000000000000005,1.235688717059957,1.0005715906500208
historical_actual_policy,1993-10-01,1993-10-01,2.288965734734116,0.28896573185920715,-0.8002285361289978,3.06,1.059999942779541,2.99,0.9900000000000002,-0.06999999999999984,0.4041740484054205,0.32399828069962006
historical_actual_policy,1994-01-01,1994-01-01,2.2071833869421904,0.20718339085578918,-0.5436512231826782,2.99,0.9900000095367432,3.2133333333333334,1.2133333333333334,0.22333333333333316,0.19569106103231707,0.15530322121662915
historical_actual_policy,1994-04-01,1994-04-01,2.0948597460123786,0.09485974907875061,0.0939519926905632,3.2133333333333334,1.2133333683013916,3.94,1.94,0.7266666666666666,0.06621629982296744,0.052024699336042424
