date,quarter,output_gap,output_gap_lag1,inflation_lag1,policy_rate_lag1,policy_rate_lag2,output_gap_lag2,inflation_lag2,policy_rate_lag3,output_gap_fitted,output_gap_resid
1988-04-01,1988Q2,0.927920923402148,0.3700870234160547,3.019712701536914,6.663333333333334,6.916666666666667,0.6111123390038387,2.876972810520506,6.843333333333334,0.2150789610588919,0.7128419623432561
1988-07-01,1988Q3,0.776435155030164,0.927920923402148,3.297757893079778,7.156666666666666,6.663333333333334,0.3700870234160547,3.019712701536914,6.916666666666667,0.6884400650104867,0.08799509001967731
1988-10-01,1988Q4,1.3704524115194516,0.776435155030164,3.731577048732104,7.983333333333333,7.156666666666666,0.927920923402148,3.297757893079778,6.663333333333334,0.7862049073365589,0.5842475041828927
1989-01-01,1989Q1,1.6595312676718876,1.3704524115194516,3.7976011745947336,8.47,7.983333333333333,0.776435155030164,3.731577048732104,7.156666666666666,1.407235831245907,0.2522954364259806
1989-04-01,1989Q2,1.7058708686183977,1.6595312676718876,4.054499388138266,9.443333333333332,8.47,1.3704524115194516,3.7976011745947336,7.983333333333333,1.305311848686774,0.40055901993162357
1989-07-01,1989Q3,1.736431375856462,1.7058708686183977,4.14610763700729,9.726666666666668,9.443333333333332,1.6595312676718876,4.054499388138266,8.47,1.5850385733499885,0.15139280250647347
1989-10-01,1989Q4,1.2318886745028124,1.736431375856462,3.6844452365265568,9.083333333333334,9.726666666666668,1.7058708686183977,4.14610763700729,9.443333333333332,1.3957403209577002,-0.1638516464548878
1990-01-01,1990Q1,1.6247792342330314,1.2318886745028124,3.5342103511643685,8.613333333333333,9.083333333333334,1.736431375856462,3.6844452365265568,9.726666666666668,0.6388162354381168,0.9859629987949146
1990-04-01,1990Q2,1.3009332838157306,1.6247792342330314,3.5702529414064266,8.25,8.613333333333333,1.2318886745028124,3.5342103511643685,9.083333333333334,1.0775373894967097,0.22339589431902085
1990-07-01,1990Q3,0.6959999909145864,1.3009332838157306,3.624671166203264,8.243333333333332,8.25,1.6247792342330314,3.5702529414064266,8.613333333333333,0.8705447637473602,-0.1745447728327738
