equation,target,feature_set,stage_name,stage_priority,nobs,regressor_count,regressors,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,seed,train_mse,val_mse,test_mse,full_sample_mse,residual_std_full_sample,n_iter
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.0001,0.001,0,0.016681684911794913,0.03978596350136048,0.1624112570100853,0.042656123479157364,0.20062980986315979,198
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.001,0.001,1,0.015762716840791932,0.04613330743111257,0.24192743230132907,0.05522968700246236,0.22492235141555164,382
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",relu,lbfgs,0.001,0.001,1,0.010791822479240633,0.048808698753192825,0.08334143359308449,0.027802051308132337,0.1661412395235312,314
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,lbfgs,0.0001,0.001,1,0.0170534548826707,0.05916961304538376,0.24562144549602336,0.05869717007898849,0.2302028336237399,172
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,lbfgs,0.0001,0.001,0,0.00784484002163938,0.06572828619910363,0.2224324728202405,0.049763467556418674,0.22102583711829024,748
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,adam,0.0001,0.001,0,0.2505852763306586,0.06616488991351897,0.1715221535246547,0.2100493518347903,0.3789847420960082,2500
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",tanh,adam,0.001,0.001,0,0.250597384777403,0.06617028859800433,0.17154365387743867,0.21006187291903947,0.3789922691977669,2500
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",relu,adam,0.0001,0.001,0,0.11499144564346013,0.07060489780788448,0.053726632526931495,0.09873739011236718,0.31611197572319394,855
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",relu,adam,0.001,0.001,0,0.11504275523420002,0.0709229752655964,0.05381683096065298,0.09883572381233069,0.31626777559076064,855
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,lbfgs,0.0001,0.001,1,0.009080034632641317,0.07165521985779666,0.07291914212104876,0.028528387357804823,0.16213820269455342,486
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,lbfgs,0.001,0.001,1,0.009123130234752976,0.07306620479189056,0.07193913884685217,0.02862452764540479,0.16154547650435536,365
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",relu,lbfgs,0.0001,0.001,1,0.014332758911722353,0.08781184427390333,0.11539927874145195,0.04118592894124706,0.20378655368305704,275
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",relu,lbfgs,0.0001,0.001,1,0.01419627547350296,0.08785025420252189,0.24960360464751594,0.061744168997046336,0.24440887966064778,750
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",relu,lbfgs,0.0001,0.001,0,0.018227380289308228,0.09105417520715343,0.13494291918547047,0.047387739337617064,0.21761444945213157,164
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(2,)",relu,lbfgs,0.001,0.001,0,0.018227721758143002,0.09155063312020051,0.13731512100428286,0.04782930800555798,0.21856177830497933,169
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,lbfgs,0.001,0.001,1,0.005823564481643789,0.09404411961913868,0.4627468354595335,0.08969184542247219,0.2754428252643486,496
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",tanh,lbfgs,0.001,0.001,0,0.008132988633124436,0.09610052359008209,0.26158872180131426,0.060659645267762505,0.24484284820010724,530
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(4,)",tanh,lbfgs,0.0001,0.001,1,0.005638177282054972,0.10727267785398459,0.49540975713132923,0.09662372811608634,0.28820101744654214,488
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3,)",relu,lbfgs,0.0001,0.001,1,0.013671631827703416,0.11939296894602576,0.3012880324676905,0.07418512994436642,0.2696095491590056,184
ann_inflation_tuned,inflation,same_input,stage2_same_input_training,2,78,6,output_gap|output_gap_lag1|output_gap_lag2|inflation_lag1|inflation_lag2|policy_rate_lag1,"(3, 2)",tanh,lbfgs,0.0001,0.001,0,0.005075375467803134,0.129480165115906,0.1712131501331016,0.049774231516018716,0.224439836775288,791
