date,quarter,inflation,output_gap,output_gap_lag1,output_gap_lag2,inflation_lag1,inflation_lag2,policy_rate_lag1,output_gap_lag3,inflation_lag3,policy_rate_lag2,inflation_fitted,inflation_resid
1988-04-01,1988Q2,3.297757893079778,0.927920923402148,0.3700870234160547,0.6111123390038387,3.019712701536914,2.876972810520506,6.663333333333334,-0.3212675226034633,2.6264289508938887,6.916666666666667,3.177364493995801,0.12039339908397695
1988-07-01,1988Q3,3.731577048732104,0.776435155030164,0.927920923402148,0.3700870234160547,3.297757893079778,3.019712701536914,7.156666666666666,0.6111123390038387,2.876972810520506,6.663333333333334,3.7345125146106977,-0.002935465878593835
1988-10-01,1988Q4,3.7976011745947336,1.3704524115194516,0.776435155030164,0.927920923402148,3.731577048732104,3.297757893079778,7.983333333333333,0.3700870234160547,3.019712701536914,7.156666666666666,3.893255760035365,-0.09565458544063166
1989-01-01,1989Q1,4.054499388138266,1.6595312676718876,1.3704524115194516,0.776435155030164,3.7976011745947336,3.731577048732104,8.47,0.927920923402148,3.297757893079778,7.983333333333333,3.8823601267712835,0.17213926136698277
1989-04-01,1989Q2,4.14610763700729,1.7058708686183977,1.6595312676718876,1.3704524115194516,4.054499388138266,3.7976011745947336,9.443333333333332,0.776435155030164,3.731577048732104,8.47,3.9552255056495476,0.19088213135774268
1989-07-01,1989Q3,3.6844452365265568,1.736431375856462,1.7058708686183977,1.6595312676718876,4.14610763700729,4.054499388138266,9.726666666666668,1.3704524115194516,3.7976011745947336,9.443333333333332,3.9421903902624154,-0.2577451537358586
1989-10-01,1989Q4,3.5342103511643685,1.2318886745028124,1.736431375856462,1.7058708686183977,3.6844452365265568,4.14610763700729,9.083333333333334,1.6595312676718876,4.054499388138266,9.726666666666668,3.569161655854054,-0.034951304689685436
1990-01-01,1990Q1,3.5702529414064266,1.6247792342330314,1.2318886745028124,1.736431375856462,3.5342103511643685,3.6844452365265568,8.613333333333333,1.7058708686183977,4.14610763700729,9.083333333333334,3.542256613011039,0.027996328395387682
1990-04-01,1990Q2,3.624671166203264,1.3009332838157306,1.6247792342330314,1.2318886745028124,3.5702529414064266,3.5342103511643685,8.25,1.736431375856462,3.6844452365265568,8.613333333333333,3.6007160431509457,0.02395512305231806
1990-07-01,1990Q3,3.7499694075852297,0.6959999909145864,1.3009332838157306,1.6247792342330314,3.624671166203264,3.5702529414064266,8.243333333333332,1.2318886745028124,3.5342103511643685,8.25,3.7883738324917466,-0.038404424906516965
1990-10-01,1990Q4,3.7822307480333,-0.8759956798256141,0.6959999909145864,1.3009332838157306,3.7499694075852297,3.624671166203264,8.16,1.6247792342330314,3.5702529414064266,8.243333333333332,3.7626796209917113,0.01955112704158868
1991-01-01,1991Q1,3.683252448783936,-1.9923089902349036,-0.8759956798256141,0.6959999909145864,3.7822307480333,3.7499694075852297,7.743333333333332,1.3009332838157306,3.624671166203264,8.16,3.7180200776358046,-0.03476762885186835
1991-04-01,1991Q2,3.2999924340996856,-1.8512034027450497,-1.9923089902349036,-0.8759956798256141,3.683252448783936,3.7822307480333,6.426666666666667,0.6959999909145864,3.7499694075852297,7.743333333333332,3.282691997744262,0.017300436355423443
1991-07-01,1991Q3,3.2269649308228843,-1.9780386507260768,-1.8512034027450497,-1.9923089902349036,3.2999924340996856,3.683252448783936,5.863333333333333,-0.8759956798256141,3.7822307480333,6.426666666666667,3.2421237437557946,-0.015158812932910326
1991-10-01,1991Q4,3.0760053076189564,-2.26810453849442,-1.9780386507260768,-1.8512034027450497,3.2269649308228843,3.2999924340996856,5.6433333333333335,-1.9923089902349036,3.683252448783936,5.863333333333333,3.010771681878647,0.06523362574030944
1992-01-01,1992Q1,2.472358104015981,-1.722109443034192,-2.26810453849442,-1.9780386507260768,3.0760053076189564,3.2269649308228843,4.816666666666666,-1.8512034027450497,3.2999924340996856,5.6433333333333335,2.6261969461927253,-0.15383884217674426
1992-04-01,1992Q2,2.3410952457532552,-1.2942701245627577,-1.722109443034192,-2.26810453849442,2.472358104015981,3.0760053076189564,4.023333333333333,-1.9780386507260768,3.2269649308228843,4.816666666666666,2.349525616036801,-0.008430370283545763
1992-07-01,1992Q3,2.0497956583612087,-0.9724340760238092,-1.2942701245627577,-1.722109443034192,2.3410952457532552,2.472358104015981,3.77,-2.26810453849442,3.0760053076189564,4.023333333333333,2.1109020121501665,-0.06110635378895779
1992-10-01,1992Q4,2.1437835788944426,-0.6040270167401829,-0.9724340760238092,-1.2942701245627577,2.0497956583612087,2.3410952457532552,3.2566666666666664,-1.722109443034192,2.472358104015981,3.77,1.972027793061803,0.1717557858326395
