policy_name,total_discounted_loss,mean_period_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,improvement_vs_actual_pct,improvement_vs_taylor_pct
historical_actual_policy,95.6674674552664,1.6569022108613625,0.7942397254364378,1.6793257326679707,0.22999619883040937,4.754122807017544,2.1916919132248323,0.0,23.9051278750722
empirical_taylor_rule,125.72130655296397,2.262232680024061,1.4816694130728827,1.5379925969897206,0.11566967657875762,5.156308439414306,1.9989421706316663,-31.414899857938206,0.0
td3_benchmark_transfer,153.47234389738549,2.8100376540060092,1.9990647570442324,1.45270387675861,0.8462095798203152,4.880227651874891,2.577872226021501,-60.42271001806161,-22.07345604758772
riccati_reference,156.56772057722452,2.8666257766496828,2.032019979906603,1.5069514594480165,0.8113006843587297,5.085149092006831,2.7255696526740048,-63.65826831407945,-24.53554999546998
linear_policy_search_transfer,158.43202449443172,2.9084381517801234,2.145636942901982,1.4015121132249484,0.620451511909206,4.967314454742997,2.4941887057317245,-65.60700174122795,-26.018436204914362
sac_benchmark_transfer,161.34729774973357,2.9586414355325656,2.1022726514534362,1.555205417198107,0.7876607725649072,5.288479898329897,2.7300662031523615,-68.65430019371915,-28.33727406560244
ppo_benchmark_transfer,227.0368816792831,4.438475716045691,0.36991491554484135,8.10540126620187,0.15860166664716893,3.631523958992639,0.588843049285536,-137.3187957394653,-80.58743414636473
