period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
0,-0.019737170630000023,0.03096444537982,1.0000938526302,1.0051610469818115,0.0017509342947752962
1,-0.019789103519336715,0.02834294928613977,1.0051610469818115,1.0057984590530396,0.001108347484208024
2,-0.01986012260645542,0.025946690484984995,1.0057984590530396,1.0060063600540161,0.0009891533646339123
3,-0.019909291759552694,0.028676173735236784,1.0060063600540161,1.006131649017334,0.0011220462340912193
4,-0.019974673603799342,0.030921209593297926,1.006131649017334,1.0062801837921143,0.001242785147246939
5,-0.020033942146579387,0.029918243974993097,1.0062801837921143,1.006414532661438,0.0011912704646662605
6,-0.020094277244306014,0.026873211282384638,1.006414532661438,1.0065468549728394,0.0010411778108902446
7,-0.02015425633557011,0.022796462020842477,1.0065468549728394,1.0066767930984497,0.0008650005402944972
8,-0.02021683128353291,0.018558458263035784,1.0066767930984497,1.006811499595642,0.0007129773798873584
9,-0.020281968643886428,0.01464401095061441,1.006811499595642,1.0069522857666016,0.0006010116056937128
10,-0.02035018771123709,0.011246610884794167,1.0069522857666016,1.0071008205413818,0.0005262349872857872
11,-0.020421744596871738,0.008357028885140809,1.0071008205413818,1.0072574615478516,0.0004792236130448849
12,-0.02049691080897187,0.005866741110779062,1.0072574615478516,1.0074228048324585,0.00045109492362655775
13,-0.02057587039796771,0.0036416751788143865,1.0074228048324585,1.0075972080230713,0.0004357182972218241
14,-0.02065876019589985,0.0015665081727429672,1.0075972080230713,1.0077805519104004,0.0004296443678174593
15,-0.02074567371727487,-0.0004378107405102277,1.0077805519104004,1.0079731941223145,0.0004312913786873843
16,-0.020836678440655065,-0.002414327716648679,1.0079731941223145,1.0081751346588135,0.00044009149575207967
17,-0.020931825966953754,-0.004378913956860781,1.0081751346588135,1.0083863735198975,0.00045588043011362964
18,-0.021031153944448544,-0.006331475460149669,1.0083863735198975,1.0086071491241455,0.00047853909770056324
19,-0.02113469821412073,-0.008265362630351042,1.0086071491241455,1.0088374614715576,0.0005078484062173725
20,-0.021242491975485445,-0.010173614548801243,1.0088374614715576,1.0090773105621338,0.0005434964294443336
21,-0.021354567599857655,-0.012052105785604892,1.0090773105621338,1.0093269348144531,0.0005851431873978623
22,-0.02147096291981443,-0.01390032927783736,1.0093269348144531,1.0095863342285156,0.0006324827327074806
23,-0.021591719415126942,-0.015720767387817716,1.0095863342285156,1.0098557472229004,0.0006852951996950813
