variant,name,clone_steps,clone_lr,jitter_scale,total_updates,policy_lr,clip_ratio,clone_rmse,clone_loss_mean,clone_loss_last,init_artificial_loss,init_revealed_loss,init_beats_fine05,trained_artificial_loss,trained_revealed_loss,trained_beats_fine05,trained_gap_vs_fine05_bp,trained_revealed_improvement_vs_baseline_pct,trained_surrogate_rmse
residual_u2_lr5e6,residual_u2_lr5e6,2400,0.0007,0.2,2,5e-06,0.05,2.3469061716241413e-07,1.9439913128753022e-07,5.217354326347845e-14,0.012595747732876257,0.01595053115071933,True,0.01256084971735686,0.01594199648715361,True,0.08544076503490261,14.094156151788697,6.002619109724073e-08
residual_u4_lr5e6,residual_u4_lr5e6,2400,0.0007,0.2,4,5e-06,0.05,2.3469061716241413e-07,1.9439913128753022e-07,5.217354326347845e-14,0.012595747732876257,0.01595053115071933,True,0.0125518478506811,0.015945033892797462,True,0.05506670859637547,14.07778863501282,5.338073541411451e-08
residual_init_only,residual_init_only,2400,0.0007,0.2,0,5e-06,0.05,2.3469061716241413e-07,1.9439913128753022e-07,5.217354326347845e-14,0.012595747732876257,0.01595053115071933,True,0.012595747732876257,0.01595053115071933,True,9.412937769515128e-05,14.048165834568103,8.902122201361462e-08
residual_u6_lr5e6,residual_u6_lr5e6,2600,0.0006,0.15,6,5e-06,0.04,1.0762531928776298e-05,7.119447024499824e-08,3.108998836154342e-09,0.012596928096558269,0.015951366568701233,False,0.01254108566271218,0.015953999947513484,False,-0.03459383856384973,14.029473701748982,5.6302661597777884e-08
residual_u8_lr5e6,residual_u8_lr5e6,3000,0.0006,0.12,8,5e-06,0.04,1.657904817875533e-07,1.2207103672251067e-07,3.435446371824469e-14,0.012595764911496936,0.01595054773460972,False,0.012532399332264776,0.015985026235049705,False,-0.3448567139260547,13.862283888702413,3.9929956085828856e-08
residual_u4_lr1e5,residual_u4_lr1e5,2600,0.0007,0.18,4,1e-05,0.05,1.9131144313178083e-07,1.1636664679135147e-07,3.557570904533236e-14,0.01259575450781912,0.015950544215354814,False,0.012532422275119425,0.01599044030644344,False,-0.3989974278634234,13.833109351365874,4.933144846845364e-08
