date,gdpdef,real_gdp,potential_gdp,policy_rate,inflation,output_gap,inflation_gap,policy_rate_gap,quarter
1955-07-01,13.827,3111.379,2989.2571764678064,1.9400000000000002,1.8467004124914421,4.004111570150926,-0.15329958750855788,-0.05999999999999983,1955Q3
1955-10-01,13.964,3130.068,3009.207106913815,2.356666666666667,2.5604299892853177,3.937810512591078,0.5604299892853177,0.3566666666666669,1955Q4
1956-01-01,14.104,3117.922,3029.3418597224227,2.4833333333333334,3.0889096787524384,2.882136637095911,1.0889096787524384,0.4833333333333334,1956Q1
1956-04-01,14.187,3143.694,3049.2003653161923,2.6933333333333334,3.2670001990233732,3.0519160646784727,1.2670001990233732,0.6933333333333334,1956Q2
1956-07-01,14.365,3140.874,3070.0191988467177,2.81,3.817149002477205,2.2817289863166224,1.8171490024772048,0.81,1956Q3
1956-10-01,14.423,3192.57,3091.9755514671347,2.9266666666666663,3.234156535858368,3.201601140897914,1.234156535858368,0.9266666666666663,1956Q4
1957-01-01,14.621,3213.011,3115.645863044004,2.9333333333333336,3.600040633973167,3.077203331100442,1.6000406339731672,0.9333333333333336,1957Q1
1957-04-01,14.723,3205.97,3141.002523135892,3.0,3.7084844553423313,2.047267284198284,1.7084844553423313,1.0,1957Q2
1957-07-01,14.811,3237.386,3167.611044609476,3.233333333333334,3.057545551358265,2.178852395869235,1.057545551358265,1.2333333333333338,1957Q3
1957-10-01,14.821,3203.894,3195.403674038452,3.2533333333333334,2.722093937340464,0.26535196128811833,0.722093937340464,1.2533333333333334,1957Q4
1958-01-01,14.982,3120.724,3223.285962767317,1.8633333333333333,2.439062909039036,-3.2336298362887206,0.4390629090390359,-0.13666666666666671,1958Q1
1958-04-01,15.025,3141.224,3252.0842371927342,0.9400000000000001,2.0304583537999576,-3.4683561664277107,0.03045835379995765,-1.06,1958Q2
1958-07-01,15.117,3213.884,3281.3345029196485,1.3233333333333335,2.0449790421735337,-2.077002573002673,0.044979042173533657,-0.6766666666666665,1958Q3
1958-10-01,15.189,3289.032,3312.2337676916545,2.1633333333333336,2.4526387681103934,-0.7029519504101245,0.4526387681103934,0.16333333333333355,1958Q4
1959-01-01,15.224,3352.129,3343.7495355213023,2.57,1.6023649468157153,0.2502873613547507,-0.3976350531842847,0.5699999999999998,1959Q1
1959-04-01,15.248,3427.667,3376.581824353419,3.0833333333333335,1.4732866490574814,1.5015951605262146,-0.5267133509425186,1.0833333333333335,1959Q2
1959-07-01,15.307,3430.057,3411.268456920645,3.5766666666666667,1.2490301742999144,0.5492675486456378,-0.7509698257000856,1.5766666666666667,1959Q3
1959-10-01,15.367,3439.832,3446.4215305138055,3.99,1.1650871417313358,-0.1913822224496542,-0.8349128582686642,1.9900000000000002,1959Q4
1960-01-01,15.428,3517.181,3482.533367449192,3.9333333333333336,1.3310910352132943,0.9899808393626586,-0.6689089647867057,1.9333333333333336,1960Q1
1960-04-01,15.467,3498.246,3518.1103071631687,3.6966666666666668,1.426037514415679,-0.5662300877281368,-0.5739624855843211,1.6966666666666668,1960Q2
1960-07-01,15.52,3515.385,3553.620242787998,2.936666666666667,1.3819274645502588,-1.081782071114823,-0.6180725354497412,0.936666666666667,1960Q3
1960-10-01,15.566,3470.278,3588.4017983686967,2.296666666666667,1.286669546400132,-3.347221584109583,-0.7133304535998679,0.29666666666666686,1960Q4
1961-01-01,15.6,3493.703,3623.226237928527,2.0033333333333334,1.1086873909509798,-3.640264964188056,-0.8913126090490202,0.0033333333333334103,1961Q1
1961-04-01,15.636,3553.021,3656.71758635011,1.7333333333333334,1.0867225874705344,-2.8767683166595504,-0.9132774125294656,-0.2666666666666666,1961Q2
1961-07-01,15.676,3621.252,3691.178554448068,1.6833333333333333,1.000136558231235,-1.9125976110435872,-0.9998634417687651,-0.31666666666666665,1961Q3
1961-10-01,15.725,3692.289,3725.696720885487,2.4,1.0162754049307665,-0.9007282572229158,-0.9837245950692335,0.3999999999999999,1961Q4
1962-01-01,15.806,3758.147,3761.4271931147614,2.4566666666666666,1.3118700527292138,-0.08724412416398764,-0.6881299472707862,0.45666666666666655,1962Q1
1962-04-01,15.832,3792.149,3798.7576717348793,2.606666666666667,1.2457260369556522,-0.17412079189895735,-0.7542739630443478,0.6066666666666669,1962Q2
