policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,training_env,algo,seed,policy_parameterization
ppo_ann_revealed_direct,3.5920860682746194,0.5368597997803236,-0.250778224863415,0.5585725617360908,0.30396429465951047,ann,ppo,43,linear_policy
sac_ann_revealed_direct,0.13751470469951066,-0.1426743048464857,0.09252869453416203,0.9683648999693326,0.2699113437849792,ann,sac,43,standard_nonlinear
td3_ann_revealed_direct,0.4669786303142355,-0.1511408135492509,0.1472029439613109,0.8871354255725383,0.25774032674716874,ann,td3,43,standard_nonlinear
