policy_name,rule_family,source_env,training_env,callable_type,algo,seed,policy_parameterization,checkpoint_path,config_path,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,mean_discounted_loss,std_discounted_loss,mean_reward,clip_rate,explosion_rate,note
td3_ann_direct,ann_direct,ann,ann,checkpoint,td3,43,standard_nonlinear,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\ann_direct\checkpoints\td3_ann_direct.pt,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\ann_direct\configs\td3_ann_direct.json,0.9261372144682993,-1.082625149309122,0.9673789002394659,0.43058875627356397,0.9088762714526725,64.19526482004503,11.113019295773315,-90.85606272005664,0.0,0.0,Direct-trained TD3 policy in the ANN empirical environment.
ppo_ann_direct,ann_direct,ann,ann,checkpoint,ppo,43,linear_policy,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\ann_direct\checkpoints\ppo_ann_direct.pt,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\ann_direct\configs\ppo_ann_direct.json,2.608578855909003,-0.9593212703083281,0.5472183921980825,0.10807888928830445,0.04358238324002133,64.38976297789398,19.819769234467767,-91.9999611630663,0.0,0.0,Direct-trained PPO policy in the ANN empirical environment.
sac_ann_direct,ann_direct,ann,ann,checkpoint,sac,43,standard_nonlinear,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\ann_direct\checkpoints\sac_ann_direct.pt,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\ann_direct\configs\sac_ann_direct.json,0.5036929231003436,-1.2027775887160563,1.1252890386703684,0.5284178823189376,1.1132557491767598,74.49771329661351,13.53131300218667,-106.8019911230413,0.0,0.0,Direct-trained SAC policy in the ANN empirical environment.
