policy_name,training_env,algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,step
ppo_ann_direct,ann,ppo,43,0.0,-158.98619359316726,0.0,3.123798334505409,-199.1689983382638,133.56626847912378,0.0,
ppo_ann_direct,ann,ppo,43,10.0,-164.1554559114347,0.0,3.105257585295476,-184.0690408930615,124.5405999616412,0.0,
ppo_ann_direct,ann,ppo,43,20.0,-157.75590417838433,0.0,3.02899134834297,-190.89622570577708,131.22096413386288,0.0,
ppo_ann_direct,ann,ppo,43,30.0,-135.38289755095667,0.0,3.1506353380391374,-194.14258984356454,129.83970140327887,0.0,
ppo_ann_direct,ann,ppo,43,40.0,-131.7502956699391,0.0,3.164280451252125,-195.49113990542935,129.71612377398063,0.0,
ppo_ann_direct,ann,ppo,43,50.0,-131.17094619944734,0.0,3.1590883849421516,-175.1234058237543,119.7016525946785,0.0,
ppo_ann_direct,ann,ppo,43,60.0,-126.12984515511688,0.0,3.1218273947015405,-156.8162013135082,109.8847438616656,0.0,
ppo_ann_direct,ann,ppo,43,70.0,-120.69587065291569,0.0,3.0200565146515146,-165.11422596373788,113.92342934010625,0.0,
ppo_ann_direct,ann,ppo,43,80.0,-123.3254928245051,0.0,2.9208896786440164,-148.87558240182966,103.19019522378679,0.0,
ppo_ann_direct,ann,ppo,43,90.0,-123.75956751416508,0.0,2.920059066498652,-152.24925329948132,104.38393398906734,0.0,
ppo_ann_direct,ann,ppo,43,100.0,-120.4170769085726,0.0,2.9960032291710377,-147.59053147321276,99.85886719239969,0.0,
ppo_ann_direct,ann,ppo,43,110.0,-116.38617135234853,0.0,3.089334239717573,-141.77171746410832,93.91059804820873,0.0,
ppo_ann_direct,ann,ppo,43,120.0,-119.37689699087728,0.0,3.001810748130083,-147.93667770629807,99.44100421572936,0.0,
ppo_ann_direct,ann,ppo,43,130.0,-114.44123580347527,0.0,2.9099564605858177,-151.9513644232925,104.01808266911108,0.0,
ppo_ann_direct,ann,ppo,43,140.0,-107.16051345875822,0.0,2.9365570039954036,-165.94370745715747,112.06773504516349,0.0,
ppo_ann_direct,ann,ppo,43,150.0,-117.43836463301967,0.0,2.933779419865459,-130.70883126326555,89.58879535517667,0.0,
ppo_ann_direct,ann,ppo,43,160.0,-107.71839015209555,0.0,2.942279835231602,-115.24318139644038,78.06719598955947,0.0,
ppo_ann_direct,ann,ppo,43,170.0,-112.60377887209097,0.0,2.7850831620162353,-105.14894611112337,70.44178864738834,0.0,
ppo_ann_direct,ann,ppo,43,180.0,-97.34927840256496,0.0,2.8548171538859606,-115.3259146338242,79.53781851024749,0.0,
ppo_ann_direct,ann,ppo,43,190.0,-101.21167592441066,0.0,2.9142021264415234,-96.77148662865042,67.35589762224969,0.0,
ppo_ann_direct,ann,ppo,43,200.0,-90.93125184162693,0.0,2.920005800202489,-85.36887784116058,59.834423112073,0.0,
ppo_ann_direct,ann,ppo,43,210.0,-100.58875519538888,0.0,3.0816878975601867,-95.32008657316433,65.6083136669634,0.0,
ppo_ann_direct,ann,ppo,43,219.0,-94.32831676724102,0.0,2.938167588901706,-82.78884181566863,58.11501092302832,0.0,
td3_ann_direct,ann,td3,43,,,,,-123.91283630299037,85.47083751829595,0.0,2000.0
td3_ann_direct,ann,td3,43,,,,,-119.23919950976317,83.84120592653619,0.0,4000.0
td3_ann_direct,ann,td3,43,,,,,-101.12969564700354,70.34906225062038,0.0,6000.0
td3_ann_direct,ann,td3,43,,,,,-102.68247028407794,71.48314840933953,0.0,8000.0
td3_ann_direct,ann,td3,43,,,,,-99.61368410638914,68.84517461174639,0.0,10000.0
td3_ann_direct,ann,td3,43,,,,,-106.65635440632786,73.13469469104903,0.0,12000.0
td3_ann_direct,ann,td3,43,,,,,-94.2432113155029,66.44153357842639,0.0,14000.0
td3_ann_direct,ann,td3,43,,,,,-89.07081064357828,61.848105000100944,0.0,16000.0
sac_ann_direct,ann,sac,43,,,,,-108.33893611703083,76.25485728496339,0.0,2000.0
sac_ann_direct,ann,sac,43,,,,,-112.95186831918096,77.63169519546581,0.0,4000.0
sac_ann_direct,ann,sac,43,,,,,-105.83884874321461,72.56371547945176,0.0,6000.0
sac_ann_direct,ann,sac,43,,,,,-110.02605194481478,76.079357783356,0.0,8000.0
sac_ann_direct,ann,sac,43,,,,,-93.89995134802908,65.24937703369764,0.0,10000.0
sac_ann_direct,ann,sac,43,,,,,-104.09416557861447,72.45580535420301,0.0,12000.0
sac_ann_direct,ann,sac,43,,,,,-98.01672630769822,68.32781782313037,0.0,14000.0
sac_ann_direct,ann,sac,43,,,,,-102.16084022076295,70.9395401996889,0.0,16000.0
