welfare_type,environment,policy_name,std_inflation_gap,std_output_gap,std_policy_rate,std_rate_change,mean_loss,total_discounted_loss
artificial,ann,ppo_ann_direct,0.7551321853026888,1.1361821115591875,0.9863623657607887,0.4907892992094774,1.2333596720114541,69.22967798608991
artificial,ann,empirical_taylor_rule,0.6999384684186768,1.2482543582347831,2.0638618101616646,0.3428205099499787,2.3359108106278077,130.40692229607694
artificial,ann,historical_actual_policy,0.8737482620818071,1.7090540630392612,2.1916919132248323,0.48240612818932954,3.3405847945345366,168.24005917728556
artificial,svar,ppo_ann_direct_nonlinear,0.804229653084589,1.173327832568061,0.9017468333674833,0.3453640348793821,1.4481767773165866,87.33608756001983
artificial,svar,historical_actual_policy,0.7518840966731618,1.2636010581489583,2.1880694875453637,0.47996850055501006,1.5472698129362732,87.91599282899719
artificial,svar,empirical_taylor_rule,0.689435760788435,1.3770441110099385,1.9952410332779862,0.3520283132479808,1.6470916651258056,94.5018424992457
revealed,ann,td3_ann_revealed_direct,0.8169843379943299,1.0430282118999186,0.9120822472149654,0.20986294580649656,3.3391428590739936,186.23072150938464
revealed,ann,empirical_taylor_rule,0.6999384684186768,1.2482543582347831,2.0638618101616646,0.3428205099499787,5.250908398916809,285.35215474784064
revealed,ann,historical_actual_policy,0.8737482620818071,1.7090540630392612,2.1916919132248323,0.48240612818932954,9.279744615061048,483.77158992449887
revealed,svar,sac_svar_revealed_direct,1.1154598586717601,1.0662860763584747,0.5263919537237173,0.13614637655883893,2.680050320758125,148.76018201722815
revealed,svar,empirical_taylor_rule,0.689435760788435,1.3770441110099385,1.9952410332779862,0.3520283132479808,4.8223816407836315,254.73765357480454
revealed,svar,historical_actual_policy,0.7518840966731618,1.2636010581489583,2.1880694875453637,0.47996850055501006,6.712488741561595,375.36950899724803
