context_key,policy_name,slice_type,state_value,policy_rate
revealed_ann,sac_ann_revealed_direct,inflation_gap,2.0,1.1472759246826172
revealed_ann,sac_ann_revealed_direct,output_gap,-2.0,1.5885109901428223
revealed_ann,sac_ann_revealed_direct,output_gap,-1.0,2.0213894844055176
revealed_ann,sac_ann_revealed_direct,output_gap,0.0,2.1337387561798096
revealed_ann,sac_ann_revealed_direct,output_gap,1.0,2.2501726150512695
revealed_ann,sac_ann_revealed_direct,output_gap,2.0,2.7027485370635986
revealed_ann,td3_ann_revealed_direct,inflation_gap,-2.0,2.990457057952881
revealed_ann,td3_ann_revealed_direct,inflation_gap,-1.0,2.8498880863189697
revealed_ann,td3_ann_revealed_direct,inflation_gap,0.0,2.4475297927856445
revealed_ann,td3_ann_revealed_direct,inflation_gap,1.0,2.0500621795654297
revealed_ann,td3_ann_revealed_direct,inflation_gap,2.0,1.7650551795959473
revealed_ann,td3_ann_revealed_direct,output_gap,-2.0,1.7309834957122803
revealed_ann,td3_ann_revealed_direct,output_gap,-1.0,1.8764429092407227
revealed_ann,td3_ann_revealed_direct,output_gap,0.0,2.4475297927856445
revealed_ann,td3_ann_revealed_direct,output_gap,1.0,3.1356781721115112
revealed_ann,td3_ann_revealed_direct,output_gap,2.0,3.173393130302429
revealed_svar,empirical_taylor_rule,inflation_gap,-2.0,1.8302275055310249
revealed_svar,empirical_taylor_rule,inflation_gap,-1.0,2.0234003170135524
revealed_svar,empirical_taylor_rule,inflation_gap,0.0,2.21657312849608
revealed_svar,empirical_taylor_rule,inflation_gap,1.0,2.4097459399786074
revealed_svar,empirical_taylor_rule,inflation_gap,2.0,2.602918751461135
revealed_svar,empirical_taylor_rule,output_gap,-2.0,1.6850359787630715
revealed_svar,empirical_taylor_rule,output_gap,-1.0,1.9508045536295757
revealed_svar,empirical_taylor_rule,output_gap,0.0,2.21657312849608
revealed_svar,empirical_taylor_rule,output_gap,1.0,2.482341703362584
revealed_svar,empirical_taylor_rule,output_gap,2.0,2.7481102782290883
revealed_svar,sac_svar_revealed_direct,inflation_gap,-2.0,1.8893444538116455
revealed_svar,sac_svar_revealed_direct,inflation_gap,-1.0,1.6468658447265625
revealed_svar,sac_svar_revealed_direct,inflation_gap,0.0,2.1383440494537354
revealed_svar,sac_svar_revealed_direct,inflation_gap,1.0,2.4753761291503906
revealed_svar,sac_svar_revealed_direct,inflation_gap,2.0,2.361640453338623
revealed_svar,sac_svar_revealed_direct,output_gap,-2.0,1.9088492393493652
revealed_svar,sac_svar_revealed_direct,output_gap,-1.0,1.8570637702941895
revealed_svar,sac_svar_revealed_direct,output_gap,0.0,2.1383440494537354
revealed_svar,sac_svar_revealed_direct,output_gap,1.0,2.4209353923797607
revealed_svar,sac_svar_revealed_direct,output_gap,2.0,2.4368858337402344
