model_id,policy_name,returncode,runner_path,summary_path,stdout_tail,stderr_tail,status
US_RA07,sac_benchmark_transfer,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\US_RA07\sac_benchmark_transfer\run_US_RA07_sac_benchmark_transfer.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\US_RA07\sac_benchmark_transfer\summary.csv,"Starting Dynare (version 7.0).
Calling Dynare with arguments: noclearall nolog
Starting preprocessing of the model file ... 
WARNING: Parameter(s) omegap thetap phi rhor gammap gammay thetaw  not used in the model 
Found 15 equation(s). 
Evaluating expressions... 
Computing static model derivatives (order 1). 
Normalizing the static model... 
Finding the optimal block decomposition of the static model... 
3 block(s) found: 
  2 recursive block(s) and 1 simultaneous block(s). 
  the largest simultaneous block has 13 equation(s) 
                                 and 13 feedback variable(s). 
Computing dynamic model derivatives (order 2). 
Normalizing the dynamic model... 
Finding the optimal block decomposition of the dynamic model... 
2 block(s) found: 
  1 recursive block(s) and 1 simultaneous block(s). 
  the largest simultaneous block has 13 equation(s) 
                                 and 11 feedback variable(s). 
Preprocessing completed. 
Preprocessing time: 0h00m00s.

STEADY-STATE RESULTS:

pi 		 0
mc 		 0
rk 		 0
w  		 0
r  		 0
a  		 0
u  		 0
n  		 0
c  		 0
l  		 0
q  		 0
i  		 0
k  		 0
y  		 0
g  		 0

EIGENVALUES:
         Modulus             Real        Imaginary
          0.3409           0.2949            0.171
          0.3409           0.2949           -0.171
          0.6512           0.6512                0
          0.8694           0.8694                0
            0.89             0.89                0
          0.9187           0.9187                0
            0.94             0.94                0
          0.9974           0.9974                0
            1.01             1.01                0
           1.065            1.065                0
           1.292            1.292                0
            2.08            1.967           0.6751
            2.08            1.967          -0.6751
       1.456e+19       -1.456e+19                0

There are 6 eigenvalue(s) larger than 1 in modulus for 6 forward-looking variable(s).
The order and rank conditions are verified.

Total computing time : 0h00m01s
Note: 1 warning(s) encountered in the preprocessor
",,ok
US_RA07,td3_svar_direct,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\US_RA07\td3_svar_direct\run_US_RA07_td3_svar_direct.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\US_RA07\td3_svar_direct\summary.csv,"Starting Dynare (version 7.0).
Calling Dynare with arguments: noclearall nolog
Starting preprocessing of the model file ... 
WARNING: Parameter(s) omegap thetap phi rhor gammap gammay thetaw  not used in the model 
Found 15 equation(s). 
Evaluating expressions... 
Computing static model derivatives (order 1). 
Normalizing the static model... 
Finding the optimal block decomposition of the static model... 
3 block(s) found: 
  2 recursive block(s) and 1 simultaneous block(s). 
  the largest simultaneous block has 13 equation(s) 
                                 and 13 feedback variable(s). 
Computing dynamic model derivatives (order 2). 
Normalizing the dynamic model... 
Finding the optimal block decomposition of the dynamic model... 
2 block(s) found: 
  1 recursive block(s) and 1 simultaneous block(s). 
  the largest simultaneous block has 13 equation(s) 
                                 and 11 feedback variable(s). 
Preprocessing completed. 
Preprocessing time: 0h00m00s.

STEADY-STATE RESULTS:

pi 		 0
mc 		 0
rk 		 0
w  		 0
r  		 0
a  		 0
u  		 0
n  		 0
c  		 0
l  		 0
q  		 0
i  		 0
k  		 0
y  		 0
g  		 0

EIGENVALUES:
         Modulus             Real        Imaginary
         0.06167         -0.06167                0
          0.2949           0.2949                0
          0.6793           0.6793                0
          0.8743           0.8743                0
            0.89             0.89                0
           0.924            0.924                0
            0.94             0.94                0
          0.9973           0.9973                0
            1.01             1.01                0
           1.057            1.057                0
           1.307            1.307                0
           1.977            1.882           0.6043
           1.977            1.882          -0.6043
       1.481e+19        1.481e+19                0

There are 6 eigenvalue(s) larger than 1 in modulus for 6 forward-looking variable(s).
The order and rank conditions are verified.

Total computing time : 0h00m01s
Note: 1 warning(s) encountered in the preprocessor
",,ok
US_RA07,sac_svar_direct,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\US_RA07\sac_svar_direct\run_US_RA07_sac_svar_direct.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\US_RA07\sac_svar_direct\summary.csv,"Starting Dynare (version 7.0).
Calling Dynare with arguments: noclearall nolog
Starting preprocessing of the model file ... 
WARNING: Parameter(s) omegap thetap phi rhor gammap gammay thetaw  not used in the model 
Found 15 equation(s). 
Evaluating expressions... 
Computing static model derivatives (order 1). 
Normalizing the static model... 
Finding the optimal block decomposition of the static model... 
3 block(s) found: 
  2 recursive block(s) and 1 simultaneous block(s). 
  the largest simultaneous block has 13 equation(s) 
                                 and 13 feedback variable(s). 
Computing dynamic model derivatives (order 2). 
Normalizing the dynamic model... 
Finding the optimal block decomposition of the dynamic model... 
2 block(s) found: 
  1 recursive block(s) and 1 simultaneous block(s). 
  the largest simultaneous block has 13 equation(s) 
                                 and 11 feedback variable(s). 
Preprocessing completed. 
Preprocessing time: 0h00m00s.

STEADY-STATE RESULTS:

pi 		 0
mc 		 0
rk 		 0
w  		 0
r  		 0
a  		 0
u  		 0
n  		 0
c  		 0
l  		 0
q  		 0
i  		 0
k  		 0
y  		 0
g  		 0

EIGENVALUES:
         Modulus             Real        Imaginary
           0.277           0.2634          0.08572
           0.277           0.2634         -0.08572
          0.6747           0.6747                0
          0.8384           0.8384                0
            0.89             0.89                0
          0.9038           0.9038                0
            0.94             0.94                0
          0.9976           0.9976                0
            1.01             1.01                0
           1.101            1.101                0
           1.455            1.439           0.2182
           1.455            1.439          -0.2182
           2.168            2.168                0
        1.52e+19         1.52e+19                0

There are 6 eigenvalue(s) larger than 1 in modulus for 6 forward-looking variable(s).
The order and rank conditions are verified.

Total computing time : 0h00m01s
Note: 1 warning(s) encountered in the preprocessor
",,ok
US_RA07,sac_svar_revealed_direct,1,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\US_RA07\sac_svar_revealed_direct\run_US_RA07_sac_svar_revealed_direct.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\US_RA07\sac_svar_revealed_direct\summary.csv,"Starting Dynare (version 7.0).
Calling Dynare with arguments: noclearall nolog
Starting preprocessing of the model file ... 
WARNING: Parameter(s) omegap thetap phi rhor gammap gammay thetaw  not used in the model 
Found 15 equation(s). 
Evaluating expressions... 
Computing static model derivatives (order 1). 
Normalizing the static model... 
Finding the optimal block decomposition of the static model... 
3 block(s) found: 
  2 recursive block(s) and 1 simultaneous block(s). 
  the largest simultaneous block has 13 equation(s) 
                                 and 13 feedback variable(s). 
Computing dynamic model derivatives (order 2). 
Normalizing the dynamic model... 
Finding the optimal block decomposition of the dynamic model... 
2 block(s) found: 
  1 recursive block(s) and 1 simultaneous block(s). 
  the largest simultaneous block has 13 equation(s) 
                                 and 11 feedback variable(s). 
Preprocessing completed. 
Preprocessing time: 0h00m00s.

STEADY-STATE RESULTS:

pi 		 0
mc 		 0
rk 		 0
w  		 0
r  		 0
a  		 0
u  		 0
n  		 0
c  		 0
l  		 0
q  		 0
i  		 0
k  		 0
y  		 0
g  		 0

EIGENVALUES:
         Modulus             Real        Imaginary
          0.3972           0.3972                0
          0.8036           0.8036                0
          0.8152           0.7871           0.2123
          0.8152           0.7871          -0.2123
            0.89             0.89                0
           0.903            0.903                0
            0.94             0.94                0
          0.9913           0.9913                0
          0.9991           0.9991                0
           1.009            1.009                0
           1.193            1.193                0
           1.377            1.377                0
           2.513            2.513                0
       1.595e+19        1.595e+19                0

There are 5 eigenvalue(s) larger than 1 in modulus for 6 forward-looking variable(s).
The order condition is NOT verified.

Total computing time : 0h00m01s
Note: 1 warning(s) encountered in the preprocessor
","{λ�� 1 ����������������߽硣

���� run_US_RA07_sac_svar_revealed_direct (�� 10 ��)
rate_series = 4 * sim(loc(""r""), :);

���� run (�� 91 ��)
evalin('caller', strcat(script, ';'));
} 
ERROR: MATLAB error Exit Status: 0x00000001
",failed
NK_CFP10,NK_CFP10_baseline,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\NK_CFP10_baseline\run_NK_CFP10_NK_CFP10_baseline.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\NK_CFP10_baseline\summary.csv,cached summary.csv,,ok
NK_CFP10,empirical_taylor_rule,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\empirical_taylor_rule\run_NK_CFP10_empirical_taylor_rule.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\empirical_taylor_rule\summary.csv,cached summary.csv,,ok
NK_CFP10,td3_benchmark_transfer,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\td3_benchmark_transfer\run_NK_CFP10_td3_benchmark_transfer.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\td3_benchmark_transfer\summary.csv,cached summary.csv,,ok
NK_CFP10,sac_benchmark_transfer,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\sac_benchmark_transfer\run_NK_CFP10_sac_benchmark_transfer.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\sac_benchmark_transfer\summary.csv,cached summary.csv,,ok
NK_CFP10,td3_svar_direct,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\td3_svar_direct\run_NK_CFP10_td3_svar_direct.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\td3_svar_direct\summary.csv,cached summary.csv,,ok
NK_CFP10,sac_svar_direct,0,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\sac_svar_direct\run_NK_CFP10_sac_svar_direct.m,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase16\mmb_candidate_work\NK_CFP10\sac_svar_direct\summary.csv,cached summary.csv,,ok
