priority,model_id,policy_name,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,runner_path,patched_model_path,summary_path,prepared_only
3,NK_CFP10,empirical_taylor_rule,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,outputs\phase16\mmb_candidate_work\NK_CFP10\empirical_taylor_rule\run_NK_CFP10_empirical_taylor_rule.m,outputs\phase16\mmb_candidate_work\NK_CFP10\empirical_taylor_rule\NK_CFP10_rep.mod,outputs\phase16\mmb_candidate_work\NK_CFP10\empirical_taylor_rule\summary.csv,True
3,NK_CFP10,td3_benchmark_transfer,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,outputs\phase16\mmb_candidate_work\NK_CFP10\td3_benchmark_transfer\run_NK_CFP10_td3_benchmark_transfer.m,outputs\phase16\mmb_candidate_work\NK_CFP10\td3_benchmark_transfer\NK_CFP10_rep.mod,outputs\phase16\mmb_candidate_work\NK_CFP10\td3_benchmark_transfer\summary.csv,True
3,NK_CFP10,sac_benchmark_transfer,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_benchmark_transfer\run_NK_CFP10_sac_benchmark_transfer.m,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_benchmark_transfer\NK_CFP10_rep.mod,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_benchmark_transfer\summary.csv,True
3,NK_CFP10,td3_svar_direct,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,outputs\phase16\mmb_candidate_work\NK_CFP10\td3_svar_direct\run_NK_CFP10_td3_svar_direct.m,outputs\phase16\mmb_candidate_work\NK_CFP10\td3_svar_direct\NK_CFP10_rep.mod,outputs\phase16\mmb_candidate_work\NK_CFP10\td3_svar_direct\summary.csv,True
3,NK_CFP10,sac_svar_direct,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_svar_direct\run_NK_CFP10_sac_svar_direct.m,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_svar_direct\NK_CFP10_rep.mod,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_svar_direct\summary.csv,True
3,NK_CFP10,sac_svar_revealed_direct,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_svar_revealed_direct\run_NK_CFP10_sac_svar_revealed_direct.m,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_svar_revealed_direct\NK_CFP10_rep.mod,outputs\phase16\mmb_candidate_work\NK_CFP10\sac_svar_revealed_direct\summary.csv,True
4,US_FRB03,US_FRB03_baseline,external_baseline,0.0,0.0,0.0,outputs\phase16\mmb_candidate_work\US_FRB03\US_FRB03_baseline\run_US_FRB03_US_FRB03_baseline.m,outputs\phase16\mmb_candidate_work\US_FRB03\US_FRB03_baseline\US_FRB03_rep.mod,outputs\phase16\mmb_candidate_work\US_FRB03\US_FRB03_baseline\summary.csv,True
4,US_FRB03,empirical_taylor_rule,empirical_rule,0.1931728114825275,0.2657685748665041,0.8691997672478173,outputs\phase16\mmb_candidate_work\US_FRB03\empirical_taylor_rule\run_US_FRB03_empirical_taylor_rule.m,outputs\phase16\mmb_candidate_work\US_FRB03\empirical_taylor_rule\US_FRB03_rep.mod,outputs\phase16\mmb_candidate_work\US_FRB03\empirical_taylor_rule\summary.csv,True
4,US_FRB03,td3_benchmark_transfer,benchmark_transfer,0.968164929181337,1.178277175694704,0.4171051334440707,outputs\phase16\mmb_candidate_work\US_FRB03\td3_benchmark_transfer\run_US_FRB03_td3_benchmark_transfer.m,outputs\phase16\mmb_candidate_work\US_FRB03\td3_benchmark_transfer\US_FRB03_rep.mod,outputs\phase16\mmb_candidate_work\US_FRB03\td3_benchmark_transfer\summary.csv,True
4,US_FRB03,sac_benchmark_transfer,benchmark_transfer,1.1735575905740256,1.0213923824280504,0.3966722744554282,outputs\phase16\mmb_candidate_work\US_FRB03\sac_benchmark_transfer\run_US_FRB03_sac_benchmark_transfer.m,outputs\phase16\mmb_candidate_work\US_FRB03\sac_benchmark_transfer\US_FRB03_rep.mod,outputs\phase16\mmb_candidate_work\US_FRB03\sac_benchmark_transfer\summary.csv,True
4,US_FRB03,td3_svar_direct,svar_direct,1.5961245323496174,1.1673078594796595,-0.0587375161838392,outputs\phase16\mmb_candidate_work\US_FRB03\td3_svar_direct\run_US_FRB03_td3_svar_direct.m,outputs\phase16\mmb_candidate_work\US_FRB03\td3_svar_direct\US_FRB03_rep.mod,outputs\phase16\mmb_candidate_work\US_FRB03\td3_svar_direct\summary.csv,True
4,US_FRB03,sac_svar_direct,svar_direct,1.5286326746986068,0.5722431752571063,0.2262155273747335,outputs\phase16\mmb_candidate_work\US_FRB03\sac_svar_direct\run_US_FRB03_sac_svar_direct.m,outputs\phase16\mmb_candidate_work\US_FRB03\sac_svar_direct\US_FRB03_rep.mod,outputs\phase16\mmb_candidate_work\US_FRB03\sac_svar_direct\summary.csv,True
4,US_FRB03,sac_svar_revealed_direct,svar_revealed_direct,0.0678741432465723,0.0509750434082332,0.9307229868470568,outputs\phase16\mmb_candidate_work\US_FRB03\sac_svar_revealed_direct\run_US_FRB03_sac_svar_revealed_direct.m,outputs\phase16\mmb_candidate_work\US_FRB03\sac_svar_revealed_direct\US_FRB03_rep.mod,outputs\phase16\mmb_candidate_work\US_FRB03\sac_svar_revealed_direct\summary.csv,True
