policy_name,model_id,rule_family,inflation_coeff,output_coeff,lagged_rate_coeff,total_discounted_loss,mean_period_loss,total_discounted_revealed_loss,mean_period_revealed_loss,mean_sq_inflation_gap,mean_sq_output_gap,mean_sq_rate_change,mean_policy_rate,std_policy_rate,solver_status,improvement_vs_US_CPS10_baseline_pct,improvement_vs_US_CPS10_baseline_revealed_pct,improvement_vs_US_RA07_baseline_pct,improvement_vs_US_RA07_baseline_revealed_pct,improvement_vs_NK_CFP10_baseline_pct,improvement_vs_NK_CFP10_baseline_revealed_pct,improvement_vs_US_FRB03_baseline_pct,improvement_vs_US_FRB03_baseline_revealed_pct,improvement_vs_G7_TAY93_baseline_pct,improvement_vs_G7_TAY93_baseline_revealed_pct,improvement_vs_NK_GHP16_baseline_pct,improvement_vs_NK_GHP16_baseline_revealed_pct,improvement_vs_EA_SWW14_baseline_pct,improvement_vs_EA_SWW14_baseline_revealed_pct,improvement_vs_EA_SW03_baseline_pct,improvement_vs_EA_SW03_baseline_revealed_pct
td3_benchmark_transfer,US_CPS10,benchmark_transfer,0.968164929181,1.178277175695,0.417105133444,1703.57237156477,29.0530348649721,8660.49805927517,101.961737821555,9.50696762449613,38.5096223821127,2.91256049419674,18.6016866654284,23.0668503124429,ok,72.30124726335362,58.50974187491632,,,,,,,,,,,,,,
sac_benchmark_transfer,US_CPS10,benchmark_transfer,1.173557590574,1.021392382428,0.396672274455,1758.63921569806,29.9183949243156,11445.8876532307,131.10308437383,3.40182549112038,52.2200345538351,4.06552156277631,21.6701861837957,26.8717410820104,ok,71.40590349921729,45.16564405962171,,,,,,,,,,,,,,
empirical_taylor_rule,US_CPS10,empirical_rule,0.193172811483,0.265768574867,0.869199767248,1835.16555772461,30.6543705491756,5409.70959909847,72.934469437309,12.0321969735868,36.9624326493268,1.40957250925352,17.5312703244996,21.6872453132559,ok,70.16164510373365,74.08344807514182,,,,,,,,,,,,,,
td3_svar_direct,US_CPS10,svar_direct,1.59612453235,1.16730785948,-0.058737516184,2594.8366355098,43.9308395915764,27866.6768901165,295.404017078284,0.363967050048528,84.9416613295305,10.960418767627,27.7882251507786,34.4869704268271,ok,57.80998825840331,-33.502208457974554,,,,,,,,,,,,,,
sac_svar_direct,US_CPS10,svar_direct,1.528632674699,0.572243175257,0.226215527375,3878.29344999117,65.8947215824659,32308.8932155736,353.663363604629,6.33879270011682,116.677785233299,12.1703626569955,32.5087477692523,40.3288590281827,ok,36.94198549792789,-54.783744546223645,,,,,,,,,,,,,,
US_CPS10_baseline,US_CPS10,external_baseline,0.0,0.0,0.0,6150.3576993591,99.6250811242876,20873.5699671131,276.302261146718,17.1666873888533,163.774337191139,5.7122513986466,36.095740601409,44.6995919484176,ok,0.0,0.0,,,,,,,,,,,,,,
sac_svar_revealed_direct,US_CPS10,svar_revealed_direct,0.067874143247,0.050975043408,0.930722986847,10586.532448719,155.637398092575,24490.7413167149,333.561412874581,26.4679493132719,257.542152729286,3.98372414660278,38.1197390849471,46.9225932605709,ok,-72.12872756688888,-17.3289540567366,,,,,,,,,,,,,,
sac_svar_direct,US_RA07,svar_direct,1.528632674699,0.572243175257,0.226215527375,10012.7090979864,228.51703969407,39001.001783995,581.236234661796,214.700031796873,24.1967000496675,17.1865787236377,-2.38890669516639,15.617240998802,ok,,,86.55959793815609,52.074884302169636,,,,,,,,,,,,
td3_svar_direct,US_RA07,svar_direct,1.59612453235,1.16730785948,-0.058737516184,48465.0299182655,1371.57999649394,125174.429708256,2292.54197776797,1357.2647726531,19.4886074306497,45.7092012552392,-7.82705846788385,36.8000352618449,ok,,,34.94373184458339,-53.81653680085563,,,,,,,,,,,,
US_RA07_baseline,US_RA07,external_baseline,0.0,0.0,0.0,74497.0950416102,354.549202469554,81379.0456550961,420.814685670963,327.565279388438,53.5091107448364,2.29367708698559,-4.35187752123539,15.2801810500668,ok,,,0.0,0.0,,,,,,,,,,,,
