policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse
riccati_rule_with_zlb,0.0,1.0891005070444726,1.0784387943807843,0.43405223835275225,0.0
empirical_taylor,0.2165731284960799,0.19317281148252752,0.2657685748665041,0.8691997672478173,0.0
linear_policy_search,0.0,1.2807953147147568,1.1003086876677224,0.28703919089949176,0.0
ppo_zlb,0.030361733436584486,0.5616899633407592,0.5646808986663815,0.14388942384719838,0.2562002972135393
sac_zlb,0.07241399192810062,0.5191333775520323,0.6010452699661255,0.27633586931228643,0.38327226326205205
td3_zlb,0.25310943412780773,0.7035425992012021,0.7165835261344908,0.22401327037811264,0.46611767868606047
