algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,step
ppo_zlb,43,0.0,-417.5156430031591,0.0,2.1735803983174264,-354.53703324899834,254.48961733723021,0.0,
ppo_zlb,43,10.0,-345.37907248064744,0.0,1.8949984977953136,-247.73855385349057,180.02653628455587,0.0,
ppo_zlb,43,20.0,-208.14266146447653,0.0,1.68949791106085,-156.37470962371697,114.65651276662952,0.0,
ppo_zlb,43,30.0,-183.56528276312642,0.0,1.3845760993038614,-94.85235150888809,70.71905767325444,0.0,
ppo_zlb,43,40.0,-100.25407744228812,0.0,1.2513361865033705,-58.63515305680463,43.85738546820826,0.0,
ppo_zlb,43,50.0,-88.94582110553428,0.0,1.2588471899119515,-46.572995808800805,35.50540163964384,0.0,
ppo_zlb,43,60.0,-93.73241095297787,0.0,1.0931738098151982,-41.03612666077832,31.599074898714445,0.0,
ppo_zlb,43,70.0,-67.04342776755765,0.0,1.02380952394257,-37.52012112740989,29.06177291902671,0.0,
ppo_zlb,43,80.0,-61.92689760345963,0.0,1.013725402764976,-35.83910675952297,27.734525385962808,0.0,
ppo_zlb,43,90.0,-51.86159615782761,0.0,0.980611173591266,-34.172169986557826,26.39115350914685,0.0,
ppo_zlb,43,100.0,-67.45516326612852,0.0,1.0091001947099965,-32.79264811319223,25.515604855493432,0.0,
ppo_zlb,43,110.0,-53.86386859352003,0.0,0.9371441438173255,-31.298179106829252,24.07197520074293,0.0,
ppo_zlb,43,120.0,-54.53481294800028,0.0,0.9761424795724452,-29.913997765451697,23.074227924008852,0.0,
ppo_zlb,43,130.0,-40.59950501356768,0.0,0.8750811990660926,-29.24723909602693,22.685746361541344,0.0,
ppo_zlb,43,140.0,-46.20906878885961,0.0,0.8769889088968436,-28.688357282999604,22.582501733828355,0.0,
ppo_zlb,43,150.0,-43.774448193289636,0.0,0.8537137554958463,-27.355944441189376,21.38294262750539,0.0,
ppo_zlb,43,160.0,-37.469851532953534,0.0,0.8510316014289856,-27.516326571233037,21.849374002840772,0.0,
ppo_zlb,43,170.0,-39.1894611314246,0.0,0.8704327360416452,-26.932251403147877,21.564458700923012,0.0,
ppo_zlb,43,179.0,-34.87133628212927,0.0,0.8848282191902399,-25.781001361269308,20.693194579703995,0.0,
sac_zlb,43,,,,,-26.459925023306738,21.218967280067716,0.0,2000.0
sac_zlb,43,,,,,-29.55838234997546,23.155315569948925,0.0,4000.0
sac_zlb,43,,,,,-28.459185383366247,22.635826666428297,0.0,6000.0
sac_zlb,43,,,,,-27.135777089859374,21.590813844336918,0.0,8000.0
sac_zlb,43,,,,,-23.061125990826497,18.515450093266676,0.0,10000.0
sac_zlb,43,,,,,-21.837408067010383,17.711886501846024,0.0,12000.0
sac_zlb,43,,,,,-21.91649366203714,17.31125815988342,0.0,14000.0
td3_zlb,43,,,,,-42.40082906096223,32.96602899684417,0.0,2000.0
td3_zlb,43,,,,,-23.67246671669228,18.686569227390503,0.0,4000.0
td3_zlb,43,,,,,-25.585011928140535,20.169017267802236,0.0,6000.0
td3_zlb,43,,,,,-23.21534553331945,18.353007468323664,0.0,8000.0
td3_zlb,43,,,,,-24.706482338193354,19.755294271860237,0.0,10000.0
td3_zlb,43,,,,,-22.00909958010951,17.49440471332827,0.0,12000.0
td3_zlb,43,,,,,-22.603513646352827,18.146920553239468,0.0,14000.0
