policy_name,rule_family,source_env,training_env,callable_type,algo,seed,policy_parameterization,checkpoint_path,config_path,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,mean_discounted_loss,std_discounted_loss,mean_reward,clip_rate,explosion_rate,note
sac_svar_direct,svar_direct,svar,svar,checkpoint,sac,43,standard_nonlinear,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\svar_direct\checkpoints\sac_svar_direct.pt,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\svar_direct\configs\sac_svar_direct.json,2.4994306208992896,1.5286326746986068,0.5722431752571063,0.2262155273747335,1.0356882952536344,89.18559515625537,37.90100330627074,-124.88952019806678,0.0,0.0,Direct-trained SAC policy in the SVAR empirical environment.
td3_svar_direct,svar_direct,svar,svar,checkpoint,td3,43,standard_nonlinear,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\svar_direct\checkpoints\td3_svar_direct.pt,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\svar_direct\configs\td3_svar_direct.json,3.229988712251087,1.5961245323496174,1.1673078594796595,-0.05873751618383927,1.3507851529801844,96.77646071344518,40.913205533656615,-135.13990895857464,0.0,0.0,Direct-trained TD3 policy in the SVAR empirical environment.
ppo_svar_direct,svar_direct,svar,svar,checkpoint,ppo,43,linear_policy,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\svar_direct\checkpoints\ppo_svar_direct.pt,C:\Users\Laplace\Documents\Code\MonetaryRL\outputs\phase10\svar_direct\configs\ppo_svar_direct.json,3.2341301521526535,0.25239815678150535,0.15036240577407448,0.28165665664096545,0.02820078367987358,107.21504571252497,55.09044710851195,-156.74291920508358,0.0,0.0,Direct-trained PPO policy in the SVAR empirical environment.
