policy_rate,inflation,output_gap,policy_rate_lag1,policy_rate_fitted,policy_rate_resid
6.916666666666667,2.876972810520506,0.6111123390038387,6.843333333333334,6.758219093355375,0.15844757331129156
6.663333333333334,3.019712701536914,0.3700870234160547,6.916666666666667,6.7854769210480494,-0.12214358771471545
7.156666666666666,3.297757893079778,0.9279209234021479,6.663333333333334,6.767245138659663,0.389421528007003
7.983333333333333,3.7315770487321043,0.776435155030164,7.156666666666666,7.239592266368143,0.7437410669651907
8.47,3.7976011745947336,1.3704524115194516,7.983333333333333,8.128755926348168,0.34124407365183274
9.443333333333333,4.054499388138266,1.6595312676718876,8.47,8.67822030554082,0.7651130277925127
9.726666666666667,4.14610763700729,1.7058708686183977,9.443333333333333,9.554253245021153,0.17241342164551376
9.083333333333334,3.6844452365265568,1.736431375856462,9.726666666666667,9.719467911007255,-0.6361345776739213
8.613333333333333,3.5342103511643685,1.2318886745028124,9.083333333333334,8.997169837524936,-0.38383650419160276
8.25,3.5702529414064266,1.6247792342330314,8.613333333333333,8.700026359546635,-0.4500263595466354
8.243333333333332,3.624671166203264,1.3009332838157306,8.25,8.308661155541127,-0.0653278222077951
8.16,3.7499694075852297,0.6959999909145864,8.243333333333332,8.166298444844074,-0.006298444844073714
7.743333333333332,3.7822307480332995,-0.8759956798256141,8.16,7.682310095634368,0.06102323769896412
6.426666666666667,3.6832524487839358,-1.9923089902349034,7.743333333333332,7.004342611994032,-0.577675945327365
5.863333333333333,3.2999924340996856,-1.8512034027450497,6.426666666666667,5.823362268111894,0.03997106522143934
5.6433333333333335,3.2269649308228843,-1.9780386507260772,5.863333333333333,5.285897314673337,0.35743601865999697
4.816666666666666,3.0760053076189564,-2.26810453849442,5.6433333333333335,4.988421673434591,-0.171755006767925
4.023333333333333,2.4723581040159814,-1.7221094430341921,4.816666666666666,4.298383310117409,-0.27504997678407594
3.7699999999999996,2.3410952457532552,-1.2942701245627575,4.023333333333333,3.697167992002307,0.07283200799769274
3.2566666666666664,2.0497956583612087,-0.9724340760238093,3.7699999999999996,3.506233465313501,-0.24956679864683462
3.0366666666666666,2.1437835788944426,-0.6040270167401829,3.2566666666666664,3.1761111814309917,-0.13944451476432507
3.0399999999999996,2.332583159003754,-1.1213770012311386,3.0366666666666666,2.883862810247539,0.1561371897524606
3.0,2.3266052377793223,-1.2306532369386503,3.0399999999999996,2.8565631815245256,0.1434368184754744
3.06,2.430402268738252,-1.4491947210268918,3.0,2.783764496353146,0.27623550364685423
2.99,2.2889657347341164,-0.800228526551372,3.06,2.9810696101103895,0.008930389889610701
3.2133333333333334,2.207183386942191,-0.5436512492941858,2.99,2.9726176776702045,0.2407156556631289
3.94,2.0948597460123786,0.09395199175230573,3.2133333333333334,3.3144959902110416,0.6255040097889584
4.486666666666667,2.0750183498668306,-0.037953277509750194,3.94,3.907225394038122,0.5794412726285452
5.166666666666667,2.0714485879609335,0.3804709083009783,4.486666666666667,4.492902352075839,0.6737643145908283
5.81,2.1354423618696217,0.010778260576849163,5.166666666666667,4.998067362903406,0.8119326370965938
6.02,2.132780470482132,-0.4203351640649444,5.81,5.442161940983451,0.5778380590165488
5.796666666666667,2.0522111099846363,-0.3032264553409547,6.02,5.640253896840874,0.15641276982579289
5.72,1.9923364899251617,-0.36951068935113796,5.796666666666667,5.416950200386521,0.3030497996134791
5.363333333333333,1.930029581236603,-0.3765611426693738,5.72,5.336401761907483,0.02693157142585001
5.243333333333333,1.8650530586558745,0.4867228783124844,5.363333333333333,5.243269244669858,6.408866347484832e-05
5.306666666666667,1.7008041994745149,0.5430913594263842,5.243333333333333,5.12221782958229,0.18444883708437665
5.28,1.7524963723806408,0.6975353551768038,5.306666666666667,5.228299031193846,0.051700968806153824
5.276666666666666,1.8688579479619882,0.42512145750617236,5.28,5.155199210079737,0.12146745658692915
5.523333333333333,1.6532193716764176,1.1332689922504358,5.276666666666666,5.298849728581282,0.2244836047520513
5.533333333333334,1.7616546785962583,1.400055588244875,5.523333333333333,5.605102584348348,-0.07176925101501386
