output_gap,output_gap_lag1,inflation_lag1,policy_rate_lag1,policy_rate_lag2,output_gap_fitted,output_gap_resid
0.3700870234160547,0.6111123390038387,2.876972810520506,6.916666666666667,6.843333333333334,0.5985585625320686,-0.22847153911601392
0.9279209234021479,0.3700870234160547,3.019712701536914,6.663333333333334,6.916666666666667,0.6311292248309808,0.29679169857116716
0.776435155030164,0.9279209234021479,3.297757893079778,7.156666666666666,6.663333333333334,0.7283276533207733,0.04810750170939071
1.3704524115194516,0.776435155030164,3.7315770487321043,7.983333333333333,7.156666666666666,1.1338529296936688,0.23659948182578283
1.6595312676718876,1.3704524115194516,3.7976011745947336,8.47,7.983333333333333,1.7412990999762057,-0.08176783230431806
1.7058708686183977,1.6595312676718876,4.054499388138266,9.443333333333333,8.47,1.6070093560933048,0.0988615125250929
1.736431375856462,1.7058708686183977,4.14610763700729,9.726666666666667,9.443333333333333,1.7463685247441565,-0.00993714888769448
1.2318886745028124,1.736431375856462,3.6844452365265568,9.083333333333334,9.726666666666667,1.264666211832255,-0.03277753732944255
1.6247792342330314,1.2318886745028124,3.5342103511643685,8.613333333333333,9.083333333333334,0.6880985891242152,0.9366806451088162
1.3009332838157306,1.6247792342330314,3.5702529414064266,8.25,8.613333333333333,1.1132679262660212,0.18766535754970937
0.6959999909145864,1.3009332838157306,3.624671166203264,8.243333333333332,8.25,0.9608674387681858,-0.2648674478535994
-0.8759956798256141,0.6959999909145864,3.7499694075852297,8.16,8.243333333333332,-0.8364013247642643,-0.039594355061349784
-1.9923089902349034,-0.8759956798256141,3.7822307480332995,7.743333333333332,8.16,-1.9022757553437408,-0.09003323489116255
-1.8512034027450497,-1.9923089902349034,3.6832524487839358,6.426666666666667,7.743333333333332,-1.6036706814736879,-0.24753272127136183
-1.9780386507260772,-1.8512034027450497,3.2999924340996856,5.863333333333333,6.426666666666667,-2.030544935732852,0.05250628500677479
-2.26810453849442,-1.9780386507260772,3.2269649308228843,5.6433333333333335,5.863333333333333,-2.1388618994588575,-0.12924263903556232
-1.7221094430341921,-2.26810453849442,3.0760053076189564,4.816666666666666,5.6433333333333335,-1.8654607937169545,0.1433513506827624
-1.2942701245627575,-1.7221094430341921,2.4723581040159814,4.023333333333333,4.816666666666666,-1.2506104517766015,-0.04365967278615601
-0.9724340760238093,-1.2942701245627575,2.3410952457532552,3.7699999999999996,4.023333333333333,-1.1910872577223244,0.2186531816985151
-0.6040270167401829,-0.9724340760238093,2.0497956583612087,3.2566666666666664,3.7699999999999996,-0.9459601627946351,0.34193314605445224
-1.1213770012311386,-0.6040270167401829,2.1437835788944426,3.0366666666666666,3.2566666666666664,-0.9237584130327026,-0.19761858819843603
-1.2306532369386503,-1.1213770012311386,2.332583159003754,3.0399999999999996,3.0366666666666666,-0.9766617877672995,-0.25399144917135075
-1.4491947210268918,-1.2306532369386503,2.3266052377793223,3.0,3.0399999999999996,-0.9924925083292107,-0.4567022126976812
-0.800228526551372,-1.4491947210268918,2.430402268738252,3.06,3.0,-1.1119288297061058,0.31170030315473385
-0.5436512492941858,-0.800228526551372,2.2889657347341164,2.99,3.06,-0.930965187968697,0.38731393867451114
0.09395199175230573,-0.5436512492941858,2.207183386942191,3.2133333333333334,2.99,0.0931767005963956,0.0007752911559101294
-0.037953277509750194,0.09395199175230573,2.0948597460123786,3.94,3.2133333333333334,0.6243827295857621,-0.6623360070955123
0.3804709083009783,-0.037953277509750194,2.0750183498668306,4.486666666666667,3.94,0.43764675446400814,-0.05717584616302984
0.010778260576849163,0.3804709083009783,2.0714485879609335,5.166666666666667,4.486666666666667,0.35668972161759027,-0.3459114610407411
-0.4203351640649444,0.010778260576849163,2.1354423618696217,5.81,5.166666666666667,-0.4043868988932084,-0.01594826517173603
-0.3032264553409547,-0.4203351640649444,2.132780470482132,6.02,5.81,-0.5006103273086521,0.19738387196769736
-0.36951068935113796,-0.3032264553409547,2.0522111099846363,5.796666666666667,6.02,-0.14498745978892713,-0.22452322956221082
-0.3765611426693738,-0.36951068935113796,1.9923364899251617,5.72,5.796666666666667,-0.3341120229540377,-0.0424491197153361
0.4867228783124844,-0.3765611426693738,1.930029581236603,5.363333333333333,5.72,0.09471408619472665,0.39200879211775774
0.5430913594263842,0.4867228783124844,1.8650530586558745,5.243333333333333,5.363333333333333,0.6454997657606456,-0.1024084063342614
0.6975353551768038,0.5430913594263842,1.7008041994745149,5.306666666666667,5.243333333333333,0.5533340914297218,0.14420126374708198
0.42512145750617236,0.6975353551768038,1.7524963723806408,5.28,5.306666666666667,0.6507171621558614,-0.22559570464968903
1.1332689922504358,0.42512145750617236,1.8688579479619882,5.276666666666666,5.28,0.5957672699702584,0.5375017222801773
1.400055588244875,1.1332689922504358,1.6532193716764176,5.523333333333333,5.276666666666666,1.5031681741719662,-0.10311258592709116
1.2549509023953576,1.400055588244875,1.7616546785962583,5.533333333333334,5.523333333333333,1.602584738713476,-0.3476338363181184
1.2397113531875448,1.2549509023953576,1.5617409460253917,5.506666666666667,5.533333333333334,1.1295898710282248,0.11012148215931994
1.1285864300141668,1.2397113531875448,1.1079288371958818,5.52,5.506666666666667,1.646432204216254,-0.5178457742020872
1.339770052050504,1.1285864300141668,1.1457777319093587,5.5,5.52,1.2221233809449634,0.11764667110554061
1.8855023784384528,1.339770052050504,1.1322847299959804,5.533333333333334,5.5,1.7057401402865482,0.17976223815190462
1.7586825777589965,1.8855023784384528,1.0817241648669373,4.86,5.533333333333334,1.533066042184656,0.22561653557434047
1.529802432444427,1.7586825777589965,1.2642897410799492,4.733333333333333,4.86,1.7654994378188924,-0.23569700537446536
1.790403759411241,1.529802432444427,1.4051952908000764,4.746666666666667,4.733333333333333,1.7213559511938503,0.06904780821739065
2.3597338883396546,1.790403759411241,1.3361338359626274,5.093333333333334,4.746666666666667,1.764715150881,0.5950187374586546
