inflation,output_gap,output_gap_lag1,output_gap_lag2,inflation_lag1,inflation_lag2,policy_rate_lag1,inflation_fitted,inflation_resid
3.019712701536914,0.3700870234160547,0.6111123390038387,-0.32126752260346336,2.876972810520506,2.6264289508938887,6.916666666666667,3.084192016688416,-0.06447931515150174
3.297757893079778,0.9279209234021479,0.3700870234160547,0.6111123390038387,3.019712701536914,2.876972810520506,6.663333333333334,3.2085552021391353,0.0892026909406427
3.7315770487321043,0.776435155030164,0.9279209234021479,0.3700870234160547,3.297757893079778,3.019712701536914,7.156666666666666,3.6398369833329824,0.09174006539912183
3.7976011745947336,1.3704524115194516,0.776435155030164,0.9279209234021479,3.7315770487321043,3.297757893079778,7.983333333333333,3.893173231020738,-0.09557205642600453
4.054499388138266,1.6595312676718876,1.3704524115194516,0.776435155030164,3.7976011745947336,3.7315770487321043,8.47,3.9909938969113146,0.0635054912269517
4.14610763700729,1.7058708686183977,1.6595312676718876,1.3704524115194516,4.054499388138266,3.7976011745947336,9.443333333333333,4.059353442787635,0.08675419421965547
3.6844452365265568,1.736431375856462,1.7058708686183977,1.6595312676718876,4.14610763700729,4.054499388138266,9.726666666666667,3.838861387174176,-0.15441615064761915
3.5342103511643685,1.2318886745028124,1.736431375856462,1.7058708686183977,3.6844452365265568,4.14610763700729,9.083333333333334,3.632135061986962,-0.09792471082259357
3.5702529414064266,1.6247792342330314,1.2318886745028124,1.736431375856462,3.5342103511643685,3.6844452365265568,8.613333333333333,3.460089072704104,0.11016386870232253
3.624671166203264,1.3009332838157306,1.6247792342330314,1.2318886745028124,3.5702529414064266,3.5342103511643685,8.25,3.6064037586809987,0.018267407522265078
3.7499694075852297,0.6959999909145864,1.3009332838157306,1.6247792342330314,3.624671166203264,3.5702529414064266,8.243333333333332,3.590043333197185,0.15992607438804463
3.7822307480332995,-0.8759956798256141,0.6959999909145864,1.3009332838157306,3.7499694075852297,3.624671166203264,8.16,3.790971246488969,-0.008740498455669599
3.6832524487839358,-1.9923089902349034,-0.8759956798256141,0.6959999909145864,3.7822307480332995,3.7499694075852297,7.743333333333332,3.7513277394547484,-0.06807529067081264
3.2999924340996856,-1.8512034027450497,-1.9923089902349034,-0.8759956798256141,3.6832524487839358,3.7822307480332995,6.426666666666667,3.4544535430366454,-0.15446110893695986
3.2269649308228843,-1.9780386507260772,-1.8512034027450497,-1.9923089902349034,3.2999924340996856,3.6832524487839358,5.863333333333333,3.064282027050934,0.16268290377195038
3.0760053076189564,-2.26810453849442,-1.9780386507260772,-1.8512034027450497,3.2269649308228843,3.2999924340996856,5.6433333333333335,2.970175958062995,0.10582934955596146
2.4723581040159814,-1.7221094430341921,-2.26810453849442,-1.9780386507260772,3.0760053076189564,3.2269649308228843,4.816666666666666,2.720793134568084,-0.24843503055210236
2.3410952457532552,-1.2942701245627575,-1.7221094430341921,-2.26810453849442,2.4723581040159814,3.0760053076189564,4.023333333333333,2.16073006234473,0.18036518340852536
2.0497956583612087,-0.9724340760238093,-1.2942701245627575,-1.7221094430341921,2.3410952457532552,2.4723581040159814,3.7699999999999996,2.151085818162403,-0.10129015980119416
2.1437835788944426,-0.6040270167401829,-0.9724340760238093,-1.2942701245627575,2.0497956583612087,2.3410952457532552,3.2566666666666664,1.9542837831001232,0.18949979579431941
2.332583159003754,-1.1213770012311386,-0.6040270167401829,-0.9724340760238093,2.1437835788944426,2.0497956583612087,3.0366666666666666,2.2261407902782864,0.10644236872546742
2.3266052377793223,-1.2306532369386503,-1.1213770012311386,-0.6040270167401829,2.332583159003754,2.1437835788944426,3.0399999999999996,2.315696203221232,0.010909034558090447
2.430402268738252,-1.4491947210268918,-1.2306532369386503,-1.1213770012311386,2.3266052377793223,2.332583159003754,3.0,2.279639372158867,0.15076289657938524
2.2889657347341164,-0.800228526551372,-1.4491947210268918,-1.2306532369386503,2.430402268738252,2.3266052377793223,3.06,2.292291696350531,-0.003325961616414741
2.207183386942191,-0.5436512492941858,-0.800228526551372,-1.4491947210268918,2.2889657347341164,2.430402268738252,2.99,2.307006975382153,-0.09982358843996231
2.0948597460123786,0.09395199175230573,-0.5436512492941858,-0.800228526551372,2.207183386942191,2.2889657347341164,3.2133333333333334,2.2345568683396295,-0.13969712232725096
2.0750183498668306,-0.037953277509750194,0.09395199175230573,-0.5436512492941858,2.0948597460123786,2.207183386942191,3.94,2.2268590515675513,-0.15184070170072062
2.0714485879609335,0.3804709083009783,-0.037953277509750194,0.09395199175230573,2.0750183498668306,2.0948597460123786,4.486666666666667,2.093449378870569,-0.02200079090963536
2.1354423618696217,0.010778260576849163,0.3804709083009783,-0.037953277509750194,2.0714485879609335,2.0750183498668306,5.166666666666667,2.160148215300083,-0.02470585343046139
2.132780470482132,-0.4203351640649444,0.010778260576849163,0.3804709083009783,2.1354423618696217,2.0714485879609335,5.81,2.092033443102133,0.0407470273799988
2.0522111099846363,-0.3032264553409547,-0.4203351640649444,0.010778260576849163,2.132780470482132,2.1354423618696217,6.02,1.9369062234913916,0.11530488649324466
1.9923364899251617,-0.36951068935113796,-0.3032264553409547,-0.4203351640649444,2.0522111099846363,2.132780470482132,5.796666666666667,1.9007911415140657,0.09154534841109596
1.930029581236603,-0.3765611426693738,-0.36951068935113796,-0.3032264553409547,1.9923364899251617,2.0522111099846363,5.72,1.8358115771051757,0.09421800413142734
1.8650530586558745,0.4867228783124844,-0.3765611426693738,-0.36951068935113796,1.930029581236603,1.9923364899251617,5.363333333333333,1.7678782323921864,0.09717482626368801
1.7008041994745149,0.5430913594263842,0.4867228783124844,-0.3765611426693738,1.8650530586558745,1.930029581236603,5.243333333333333,1.9173288912921178,-0.21652469181760292
1.7524963723806408,0.6975353551768038,0.5430913594263842,0.4867228783124844,1.7008041994745149,1.8650530586558745,5.306666666666667,1.7745503230395916,-0.02205395065895077
1.8688579479619882,0.42512145750617236,0.6975353551768038,0.5430913594263842,1.7524963723806408,1.7008041994745149,5.28,1.8666938137072846,0.0021641342547036313
1.6532193716764176,1.1332689922504358,0.42512145750617236,0.6975353551768038,1.8688579479619882,1.7524963723806408,5.276666666666666,1.8922672270500018,-0.2390478553735842
1.7616546785962583,1.400055588244875,1.1332689922504358,0.42512145750617236,1.6532193716764176,1.8688579479619882,5.523333333333333,1.7744038641813922,-0.012749185585133826
1.5617409460253917,1.2549509023953576,1.400055588244875,1.1332689922504358,1.7616546785962583,1.6532193716764176,5.533333333333334,1.6777803397141304,-0.11603939368873872
1.1079288371958818,1.2397113531875448,1.2549509023953576,1.400055588244875,1.5617409460253917,1.7616546785962583,5.506666666666667,1.4506501557940288,-0.34272131859814703
