algo,seed,step,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
td3,43,4000,-906.2965445241662,793.8182308300011,0.0
td3,43,8000,-940.3987322348045,795.2461490807727,0.0
td3,43,12000,-915.8952403427746,704.1626806571212,0.0
td3,43,16000,-872.870584201943,712.9031165549395,0.0
td3,43,20000,-834.5833997058395,668.6398686573762,0.0
td3,43,24000,-761.0891243491925,546.657322960871,0.0
td3,43,28000,-836.7587485038927,718.2602115551681,0.0
