seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
7,0,-170.02331591900165,0.0,2.1677560474633992,-50.850584934903246,37.9663751059632,0.0
7,1,-130.30503628181808,0.0,1.9309648564681083,-56.544333713783736,42.864958246034035,0.0
7,2,-128.26452510376,0.0,2.0281100565634915,-55.741670045810984,41.99976096090111,0.0
7,3,-125.88658789727833,0.0,2.1081880163310416,-55.99748347458503,42.405857153388546,0.0
7,4,-141.00482843005307,0.0,2.07755826144421,-52.708574841981175,39.78316679899113,0.0
7,5,-158.14265961252124,0.0,2.0615387683719746,-53.122724060593036,39.987586488894195,0.0
7,6,-122.39748934180021,0.0,1.9547065922924958,-50.18054069017859,37.560732809842,0.0
7,7,-141.6651846996284,0.0,2.141190412443393,-45.883505421623546,34.32952582078941,0.0
7,8,-114.90045513139626,0.0,2.013927759771377,-44.215473508001175,32.913555090821056,0.0
7,9,-128.91183523334462,0.0,2.126718348972645,-47.41292748358696,35.50455772787575,0.0
7,10,-126.57821232662504,0.0,2.065703298423614,-45.869142042640185,34.73503831471426,0.0
7,11,-159.1537874042127,0.0,1.9699585690214008,-48.773816805352475,36.70585895436408,0.0
7,12,-111.56434183092524,0.0,2.0600764160112703,-47.71634113331521,36.13626282326457,0.0
7,13,-124.62736480967686,0.0,2.1041938463185943,-45.9655332258562,34.293290759379225,0.0
7,14,-144.98915780557985,0.0,1.9911003934375913,-48.323383053229314,36.7645374109517,0.0
7,15,-156.00456396757306,0.0,2.1156244471731043,-50.708982504171956,38.6768267146255,0.0
7,16,-128.83145185908856,0.0,2.0404521412979193,-51.66389016193896,39.646590194702014,0.0
7,17,-122.28027892214898,0.0,2.0140096166369403,-49.6680083332121,38.108701688817156,0.0
7,18,-102.12933916472788,0.0,1.9034442035908796,-51.24639460360473,39.66374422053289,0.0
7,19,-131.08800429602562,0.0,2.0588556597758725,-52.96933050284653,41.25040467407873,0.0
7,20,-136.64245325043532,0.0,2.0182972213497123,-60.02028959612142,46.93893809582347,0.0
7,21,-112.61022105678609,0.0,1.9959393499439102,-58.8132453106505,46.153561930666115,0.0
7,22,-114.29351881308042,0.0,2.073626797351608,-61.34988856855525,48.00741763559527,0.0
7,23,-154.41216984420893,0.0,1.979560468758791,-55.38531255430249,43.64347167176036,0.0
7,24,-120.03492061750138,0.0,2.101000698419739,-54.83404065430733,43.58654130545272,0.0
7,25,-137.5734163490827,0.0,2.017191538847328,-51.01667390329234,41.014088602258134,0.0
7,26,-112.4817466601208,0.0,1.9837169348593306,-47.9150192715154,38.299347528823766,0.0
7,27,-120.45972209458994,0.0,1.927693062295475,-46.40743053178417,37.0878423355269,0.0
7,28,-118.43271636019091,0.0,1.9952077483048924,-47.645272159720975,38.29201614841556,0.0
7,29,-108.1150794574801,0.0,1.9669631516135269,-47.48146903611177,38.29941244274383,0.0
7,30,-135.10707760626786,0.0,2.0811419081182976,-46.24465976069617,37.13727908579844,0.0
7,31,-121.32392649676055,0.0,2.0157159799709916,-43.97531594715403,35.266907071543386,0.0
7,32,-120.86416026598656,0.0,1.9041597358218496,-43.88145335392104,35.01918567253707,0.0
7,33,-138.4669167030091,0.0,2.047936416452103,-43.27241578609522,34.06158552599785,0.0
7,34,-108.46428691494317,0.0,1.9982025207873448,-46.49748367929636,36.31787104513962,0.0
7,35,-118.26423810871049,0.0,2.161162015410355,-47.11539509717361,36.85032760313988,0.0
7,36,-131.15394598078612,0.0,2.1483300126856193,-42.995164129670904,33.401052605443475,0.0
7,37,-113.58337972851778,0.0,1.9845246431141277,-43.02084369318007,33.28997757436559,0.0
7,38,-114.74788202284059,0.0,1.9239201660293475,-41.95910833197633,32.42832081197015,0.0
7,39,-121.82999574351135,0.0,2.007886381293247,-40.548503998388775,31.24160727782224,0.0
7,40,-102.1348821238339,0.0,1.8931548376958744,-39.38574074317969,30.046591478616964,0.0
7,41,-132.62175435365577,0.0,2.0717363514213503,-38.97593815127855,29.612024606614227,0.0
7,42,-104.49254877695026,0.0,2.0076848417411384,-41.842505327601195,32.04713757577128,0.0
