policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,env_id,group,tier,algo,seed
ppo,0.017776202425360727,0.5765320406231011,0.5744869459921665,0.030154573447174496,0.04908723884069113,asymmetric_extreme,asymmetric,extreme,ppo,29.0
ppo,-0.09727999698370693,0.6175102847110139,0.7060825649337337,0.1487082931664255,0.0801603161484226,asymmetric_extreme,asymmetric,extreme,ppo,43.0
ppo,-0.005215653937309962,0.489787652492523,0.660325063575398,0.06697578506999545,0.0495723257109883,asymmetric_extreme,asymmetric,extreme,ppo,7.0
sac,0.26555227828025824,1.2612731351418922,1.5374461704167461,0.0921320456398857,1.0863650969550624,asymmetric_extreme,asymmetric,extreme,sac,29.0
sac,0.21425494217872626,1.3929908947944638,1.4299399306990883,0.12084613180160508,1.1228961130437802,asymmetric_extreme,asymmetric,extreme,sac,43.0
sac,-0.0905544905662537,1.1064968877272168,1.646672901500356,0.10702719222174739,1.0042182133442192,asymmetric_extreme,asymmetric,extreme,sac,7.0
td3,0.7914472392797475,1.207196357553655,1.615011196353219,0.18072647910647904,1.2990671468539037,asymmetric_extreme,asymmetric,extreme,td3,29.0
td3,0.1744496782720091,1.5405361432162192,1.4489684569618924,0.1468637470404306,1.4012690057293002,asymmetric_extreme,asymmetric,extreme,td3,43.0
td3,-0.7022428733855488,1.4752219520048657,1.4352556439313031,0.24689136144849988,1.1669790842934165,asymmetric_extreme,asymmetric,extreme,td3,7.0
ppo,0.12109272863343358,0.5798149586230515,0.6281933600872753,0.12699337799102065,0.04532577093146829,asymmetric_very_strong,asymmetric,very_strong,ppo,29.0
ppo,-0.12049732472002508,0.5709377873659133,0.6307908961534499,0.21843096347153182,0.04843569718154144,asymmetric_very_strong,asymmetric,very_strong,ppo,43.0
ppo,-0.09580385604500785,0.5394130402147771,0.7269740096509456,0.10787927263975143,0.051130656057152064,asymmetric_very_strong,asymmetric,very_strong,ppo,7.0
sac,0.07459501564502724,1.254717302417755,1.5641718845367427,0.24797656911611543,0.8827720178115385,asymmetric_very_strong,asymmetric,very_strong,sac,29.0
sac,-0.06965449058264496,1.4172321592837573,1.2946069753140208,0.22592333645001056,0.6320093245467664,asymmetric_very_strong,asymmetric,very_strong,sac,43.0
sac,-0.08745600792020568,1.332245281520486,1.3547710549205538,0.24642607381194817,0.5729527889393917,asymmetric_very_strong,asymmetric,very_strong,sac,7.0
td3,0.4300136377215387,1.2281606543540953,1.5407531352519985,0.1787470509111881,0.8929263951744717,asymmetric_very_strong,asymmetric,very_strong,td3,29.0
td3,0.10737676098570233,1.3583982192412016,1.283383606396615,0.26762932237610204,0.997974248967141,asymmetric_very_strong,asymmetric,very_strong,td3,43.0
td3,-0.850810632586479,0.9757325590133665,1.5896841755628581,0.21154587474465364,0.7577259049747973,asymmetric_very_strong,asymmetric,very_strong,td3,7.0
