env_id,group,tier,algo,mean_discounted_loss,std_discounted_loss,median_discounted_loss,mean_reward,mean_clip_rate,mean_explosion_rate,best_loss_in_env,loss_gap_vs_best_rl_pct
asymmetric_mild,asymmetric,mild,ppo,24.66698551685512,0.8712779552593869,25.051721379484988,-31.45321050096366,0.0,0.0,19.31555140897551,27.705313685183825
asymmetric_mild,asymmetric,mild,sac,19.31555140897551,0.4803499278810467,19.57958556851616,-24.43738018555784,0.0,0.0,19.31555140897551,0.0
asymmetric_mild,asymmetric,mild,td3,20.624103962311995,0.4145896101442243,20.45342069775624,-26.189945573424563,0.0,0.0,19.31555140897551,6.774606251874493
asymmetric_medium,asymmetric,medium,ppo,28.031178587342897,0.9644175557338092,28.12217801416929,-35.62951691643622,0.0,0.0,22.558037540943275,24.262487534501904
asymmetric_medium,asymmetric,medium,sac,22.558037540943275,0.9590756022943016,22.748183088444332,-28.5320251143899,0.0,0.0,22.558037540943275,0.0
asymmetric_medium,asymmetric,medium,td3,23.96194190428405,0.8295386306032453,23.9990547760092,-30.398621778994336,0.0,0.0,22.558037540943275,6.223521708360762
asymmetric_strong,asymmetric,strong,ppo,36.7036713813143,2.069956213464894,37.872921194625896,-46.61444811200914,0.0,0.0,28.84676374922036,27.236703917285304
asymmetric_strong,asymmetric,strong,sac,28.84676374922036,0.9613775462338714,29.166550921103955,-36.412972907685706,0.0,0.0,28.84676374922036,0.0
asymmetric_strong,asymmetric,strong,td3,31.22760342970149,1.4232447873694374,31.921346354497683,-39.60410665518926,0.0,0.0,28.84676374922036,8.253403054772388
asymmetric_very_strong,asymmetric,very_strong,ppo,56.15743896546933,4.466785406587025,55.66243597175112,-69.46471480576696,0.0,0.0,44.65188198401038,25.767238625191734
asymmetric_very_strong,asymmetric,very_strong,sac,44.65188198401038,2.6644721305000263,45.4584173955246,-54.992417706124705,0.0,0.0,44.65188198401038,0.0
