env_id,group,tier,policy_name,mean_discounted_loss,std_discounted_loss,mean_reward,clip_rate,explosion_rate
asymmetric_extreme,asymmetric,extreme,empirical_taylor,136.73410259182094,50.416635487893124,-172.59019367857653,0.0,0.0
asymmetric_extreme,asymmetric,extreme,linear_policy_search,61.8547251446655,25.158067425707294,-75.9304128861929,0.0,0.0
asymmetric_extreme,asymmetric,extreme,riccati_reference,64.63125305368911,26.576154444908312,-79.37215253158189,0.0,0.0
asymmetric_extreme,asymmetric,extreme,zero_policy,148.09227706246512,81.4515873536688,-185.90246645724136,0.0,0.0
asymmetric_very_strong,asymmetric,very_strong,empirical_taylor,82.88546944104316,27.963346583244405,-105.3816395588722,0.0,0.0
asymmetric_very_strong,asymmetric,very_strong,linear_policy_search,37.851506129958715,13.514979778848296,-46.75471515077602,0.0,0.0
asymmetric_very_strong,asymmetric,very_strong,riccati_reference,38.96332015299683,14.158686871544479,-48.15032307327608,0.0,0.0
asymmetric_very_strong,asymmetric,very_strong,zero_policy,89.55136416347779,47.89362025425148,-113.23571154925503,0.0,0.0
nonlinear_extreme,nonlinear,extreme,empirical_taylor,898.5645603454637,421.130407701512,-1004.0719703104678,0.26616915422885573,1.0
nonlinear_extreme,nonlinear,extreme,linear_policy_search,661.8933588000186,511.5033757896486,-742.1376314821823,0.2597984322508399,0.6875
nonlinear_extreme,nonlinear,extreme,riccati_reference,625.8910812316024,498.14988658774934,-698.5820399345417,0.2200902934537246,0.6875
nonlinear_extreme,nonlinear,extreme,zero_policy,969.4543252908045,500.6712458610482,-1055.3831007781619,0.0,1.0
nonlinear_very_strong,nonlinear,very_strong,empirical_taylor,68.57480382246654,74.39978889488805,-85.7302790781062,0.014583333333333334,0.0
nonlinear_very_strong,nonlinear,very_strong,linear_policy_search,18.89873611848969,6.798978761850578,-23.106325277571862,0.017708333333333333,0.0
nonlinear_very_strong,nonlinear,very_strong,riccati_reference,19.189003346159158,7.046942289674638,-23.46142431352445,0.016666666666666666,0.0
nonlinear_very_strong,nonlinear,very_strong,zero_policy,434.6419868900651,512.2677884525577,-547.0107125603186,0.0,0.375
zlb_extreme,zlb,extreme,empirical_taylor,107.69719743326883,52.16664530546183,-126.21679037985065,0.590625,0.0
zlb_extreme,zlb,extreme,linear_policy_search,101.86788958108608,54.10094541604467,-117.51555104073934,0.8671875,0.0
zlb_extreme,zlb,extreme,riccati_reference,101.99956976358081,53.83134902173857,-117.76963274943833,0.8651041666666667,0.0
zlb_extreme,zlb,extreme,zero_policy,102.06906733948358,53.66303002712836,-117.76560053691401,1.0,0.0
zlb_very_strong,zlb,very_strong,empirical_taylor,68.5994641861829,31.602772993458107,-82.33077120777915,0.409375,0.0
zlb_very_strong,zlb,very_strong,linear_policy_search,60.88457429939355,32.60574868799806,-71.08117695624333,0.7166666666666667,0.0
zlb_very_strong,zlb,very_strong,riccati_reference,60.62043064381408,32.3268680836771,-70.74422714744202,0.7401041666666667,0.0
zlb_very_strong,zlb,very_strong,zero_policy,62.884729994901555,30.534830572565543,-73.92229738296359,0.0,0.0
asymmetric_extreme,asymmetric,extreme,ppo,97.8439318887444,11.83645237290957,-120.06714113429236,0.0,0.0
asymmetric_extreme,asymmetric,extreme,sac,75.1537175511912,6.426458031019428,-91.78839704855375,0.0,0.0
asymmetric_extreme,asymmetric,extreme,td3,75.89468377130927,4.373233796803086,-92.53189731681051,0.0,0.0
asymmetric_very_strong,asymmetric,very_strong,ppo,56.15743896546933,4.466785406587025,-69.46471480576696,0.0,0.0
asymmetric_very_strong,asymmetric,very_strong,sac,44.65188198401038,2.6644721305000263,-54.992417706124705,0.0,0.0
asymmetric_very_strong,asymmetric,very_strong,td3,47.29425515627417,2.7493883417079172,-58.49010555704959,0.0,0.0
nonlinear_extreme,nonlinear,extreme,ppo,915.8978585393564,12.14502303751595,-1009.3476124304888,0.0,1.0
nonlinear_extreme,nonlinear,extreme,sac,483.2490033797182,91.05846096526507,-531.7173175444854,0.0,0.5
nonlinear_extreme,nonlinear,extreme,td3,429.43034652817454,94.95396614442467,-462.2529268598127,0.0,0.4583333333333333
nonlinear_very_strong,nonlinear,very_strong,ppo,379.6024392319807,26.985162904327296,-489.53820383675287,0.0,0.3125
nonlinear_very_strong,nonlinear,very_strong,sac,31.032871726175642,4.356090016906913,-38.79029624727985,0.0,0.0
nonlinear_very_strong,nonlinear,very_strong,td3,37.10749072948989,7.60822947337199,-46.73020043088613,0.0,0.0
zlb_extreme,zlb,extreme,ppo,190.01692461637103,22.167295758766265,-241.7886973055291,0.0,0.0
zlb_extreme,zlb,extreme,sac,93.74603565753141,3.9102967862955538,-110.69092963771148,0.0,0.0
zlb_extreme,zlb,extreme,td3,93.52647888729234,5.521597171272739,-110.44787298390112,0.0,0.0
zlb_very_strong,zlb,very_strong,ppo,143.16558840583178,16.341046453672377,-185.33638113265542,0.0,0.0
zlb_very_strong,zlb,very_strong,sac,59.18469342729312,3.6739556597693412,-71.18938051507006,0.0,0.0
zlb_very_strong,zlb,very_strong,td3,58.663145505869004,3.9189899597073965,-70.36387766876993,0.0,0.0
