env_id,group,tier,algo,mean_discounted_loss,std_discounted_loss,median_discounted_loss,mean_reward,mean_clip_rate,mean_explosion_rate,best_loss_in_env,loss_gap_vs_best_rl_pct
asymmetric_extreme,asymmetric,extreme,ppo,97.8439318887444,11.83645237290957,99.93480534150473,-120.06714113429236,0.0,0.0,75.1537175511912,30.19173911403341
asymmetric_extreme,asymmetric,extreme,sac,75.1537175511912,6.426458031019428,76.83210067053369,-91.78839704855375,0.0,0.0,75.1537175511912,0.0
asymmetric_extreme,asymmetric,extreme,td3,75.89468377130927,4.373233796803086,77.95395060267262,-92.53189731681051,0.0,0.0,75.1537175511912,0.9859342215684226
asymmetric_very_strong,asymmetric,very_strong,ppo,56.15743896546933,4.466785406587025,55.66243597175112,-69.46471480576696,0.0,0.0,44.65188198401038,25.767238625191734
asymmetric_very_strong,asymmetric,very_strong,sac,44.65188198401038,2.6644721305000263,45.4584173955246,-54.992417706124705,0.0,0.0,44.65188198401038,0.0
asymmetric_very_strong,asymmetric,very_strong,td3,47.29425515627417,2.7493883417079172,48.2278527799189,-58.49010555704959,0.0,0.0,44.65188198401038,5.917719600732639
nonlinear_extreme,nonlinear,extreme,ppo,915.8978585393564,12.14502303751595,915.5947699832552,-1009.3476124304888,0.0,1.0,429.43034652817454,113.28205282745782
nonlinear_extreme,nonlinear,extreme,sac,483.2490033797182,91.05846096526507,527.4507105756171,-531.7173175444854,0.0,0.5,429.43034652817454,12.532569550953399
nonlinear_extreme,nonlinear,extreme,td3,429.43034652817454,94.95396614442467,450.5794464080334,-462.2529268598127,0.0,0.4583333333333333,429.43034652817454,0.0
nonlinear_very_strong,nonlinear,very_strong,ppo,379.6024392319807,26.985162904327296,368.10345075463374,-489.53820383675287,0.0,0.3125,31.032871726175642,1123.2269142909943
nonlinear_very_strong,nonlinear,very_strong,sac,31.032871726175642,4.356090016906913,30.302812425111046,-38.79029624727985,0.0,0.0,31.032871726175642,0.0
nonlinear_very_strong,nonlinear,very_strong,td3,37.10749072948989,7.60822947337199,40.230965761348756,-46.73020043088613,0.0,0.0,31.032871726175642,19.57478849174767
zlb_extreme,zlb,extreme,ppo,190.01692461637103,22.167295758766265,200.34999597022755,-241.7886973055291,0.0,0.0,93.52647888729234,103.16912052827112
zlb_extreme,zlb,extreme,sac,93.74603565753141,3.9102967862955538,95.30282725541568,-110.69092963771148,0.0,0.0,93.52647888729234,0.23475359368938872
zlb_extreme,zlb,extreme,td3,93.52647888729234,5.521597171272739,96.09807724072468,-110.44787298390112,0.0,0.0,93.52647888729234,0.0
zlb_very_strong,zlb,very_strong,ppo,143.16558840583178,16.341046453672377,150.05165696320057,-185.33638113265542,0.0,0.0,58.663145505869004,144.04690060731343
zlb_very_strong,zlb,very_strong,sac,59.18469342729312,3.6739556597693412,61.17302968115007,-71.18938051507006,0.0,0.0,58.663145505869004,0.889055499712229
zlb_very_strong,zlb,very_strong,td3,58.663145505869004,3.9189899597073965,60.27909346991396,-70.36387766876993,0.0,0.0,58.663145505869004,0.0
