case_id,dp_mean_discounted_loss,best_rl_actual_mean_discounted_loss,best_rl_algo,best_rl_seed,riccati_re_eval_mean_discounted_loss,linear_search_re_eval_mean_discounted_loss,best_rl_surrogate_re_eval_mean_discounted_loss,dp_improvement_vs_best_rl_actual_pct,dp_improvement_vs_riccati_re_eval_pct,solve_seconds
nonlinear_strong,14.464656343365718,16.479926318694723,sac,7,14.433754700631916,14.623795849017942,16.851214754608815,13.932373694127321,-0.21363551266100345,42.52179840000463
zlb_strong,22.22577573655251,26.165433195135236,td3,43,22.2552918091411,22.762056036580617,32.098844912029136,17.725624091957194,0.13280109067259627,59.675633300008485
