period,inflation_gap,output_gap,lagged_policy_rate_gap,action,loss
0,-0.019737170630000023,0.03096444537982,1.0000938526302,1.0061389207839966,0.0019692434316866386
1,-0.019799096536722294,0.028130687068693136,1.0061389207839966,1.006196141242981,0.0010900960122460508
2,-0.01987657542018595,0.025704084513234603,1.006196141242981,1.0061914920806885,0.0009778965541470401
3,-0.019923679292869423,0.028341156374207213,1.0061914920806885,1.006197452545166,0.0011054621732649898
4,-0.01999159906079484,0.030634145675106614,1.006197452545166,1.0062026977539062,0.0012274317253529047
5,-0.020048942867443076,0.029656224513555318,1.0062026977539062,1.0062007904052734,0.001177732294564302
6,-0.020106577055412522,0.02667384733132413,1.0062007904052734,1.0061943531036377,0.0010318904690840007
7,-0.02016250878498682,0.022673831731809858,1.0061943531036377,1.006185531616211,0.0008600587070738896
8,-0.020220110174077766,0.018537414370800673,1.006185531616211,1.006176471710205,0.0007120383704933391
9,-0.02027906838458171,0.014748347670773553,1.006176471710205,1.0061681270599365,0.0006031825527199417
10,-0.020339826727894694,0.011499693814810558,1.0061681270599365,1.0061609745025635,0.0005304315103267521
11,-0.020402557652949183,0.008783366678497748,1.0061609745025635,1.0061551332473755,0.0004843799966694788
12,-0.020467408179352553,0.006491155725801601,1.0061551332473755,1.0061501264572144,0.0004561351671384487
13,-0.020534437166727537,0.004489875475686756,1.0061501264572144,1.0061458349227905,0.00043948557764301923
14,-0.020603637751968273,0.0026649436839460234,1.0061458349227905,1.0061419010162354,0.00043080040316653527
15,-0.020674964030148013,0.0009382399602459087,1.0061419010162354,1.0061383247375488,0.0004282405772970448
16,-0.02074833605553361,-0.000732354585462634,1.0061383247375488,1.0061347484588623,0.00043095883304335544
17,-0.02082365507867112,-0.0023617186377712495,1.0061347484588623,1.0061312913894653,0.0004385176102868881
18,-0.02090080993246346,-0.003948810379561566,1.0061312913894653,1.0061278343200684,0.000450550531999561
19,-0.02097968530755967,-0.0054859516769339015,1.0061278343200684,1.00612473487854,0.00046662436856793524
20,-0.021060164444045126,-0.006965295289937299,1.00612473487854,1.0061216354370117,0.00048623256430083915
21,-0.021142129378942665,-0.00838171174695585,1.0061216354370117,1.006118655204773,0.0005088427268086142
22,-0.021225461875739704,-0.009733763731506504,1.006118655204773,1.0061157941818237,0.0005339543986141032
23,-0.02131005019591692,-0.011022961491459983,1.0061157941818237,1.0061131715774536,0.0005611324445967163
