policy_name,training_env,algo,seed,update,mean_episode_reward_in_rollout,rollout_clip_rate,rollout_mean_abs_action,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate,step
ppo_svar_revealed_direct,svar,ppo,43,70.0,-801.6938782421502,0.0,7.61153084016405,-810.0454244527118,616.3740906586493,0.0,
ppo_svar_revealed_direct,svar,ppo,43,80.0,-843.2104099149334,0.0,7.619318236829713,-621.0029768340801,467.68043380898166,0.0,
ppo_svar_revealed_direct,svar,ppo,43,90.0,-779.6278342465117,0.0,7.543893151450902,-742.0558847898111,542.3802428023412,0.0,
ppo_svar_revealed_direct,svar,ppo,43,50.0,-950.3858989445912,0.0,7.418211019597948,-749.709720891592,545.5369999486093,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,50.0,-1178.03703001475,0.0,7.439080506563187,-1061.5606856628483,853.9268258282154,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,110.0,-928.4131837949022,0.0,7.7290949509479105,-1194.1519013108823,1007.0114216526983,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,60.0,-1117.7435717052938,0.0,7.570237852632999,-1187.919325311952,959.2817938765577,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,70.0,-1040.6613962592244,0.0,7.625340335071087,-1191.2684327327079,1002.5903603778339,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,80.0,-1195.8781696714204,0.0,7.552347734570503,-885.2216806522238,736.3890138415248,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,90.0,-1080.4040593268676,0.0,7.6691131996922195,-1073.4343596685464,869.6965736197768,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,100.0,-1027.2887670085381,0.0,7.683050028514117,-1120.5228540593803,932.0065756257568,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,120.0,-1085.5634976221222,0.0,7.615764916874468,-1016.9951865257824,874.234583962422,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,170.0,-1081.504485266569,0.0,7.493303415365517,-1102.286944658441,904.0413290253741,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,140.0,-1022.1264919975138,0.0,7.575618665199727,-1219.2516119412196,1024.4180613376725,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,150.0,-1230.661538019288,0.0,7.625751686282456,-1060.868094125828,895.2222738591577,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,160.0,-1018.7316478558117,0.0,7.59209983702749,-1197.04472118882,1036.8852840926,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,180.0,-1250.6600819362386,0.0,7.523776040878147,-1077.5298141152275,874.3274517094695,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,190.0,-1219.416049328426,0.0,7.422184869647026,-858.1017593211279,690.329971461148,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,200.0,-1205.6384552359802,0.0,7.4690223364159465,-998.4581082802661,830.2112123017532,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,40.0,-1559.1090080577603,0.0,7.249216077849269,-1021.4414697454088,847.5739881692912,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,130.0,-1101.8383964531563,0.0,7.635409100912511,-1165.56195294371,999.155374406056,0.0,
ppo_svar_revealed_direct_nonlinear,svar,ppo,43,30.0,-2446.512981962451,0.0,6.834848923142999,-861.4820432140986,713.6014966431288,0.0,
