policy,intercept,inflation_gap,output_gap,lagged_policy_rate_gap,fit_rmse,training_env,algo,seed,policy_parameterization
ppo_svar_revealed_direct,3.760744044858536,-0.3360201548057305,0.1772042694405999,0.6133699482182594,0.2795142843655018,svar,ppo,43,linear_policy
ppo_svar_revealed_direct_nonlinear,7.600349798539504,0.0010851984364717362,-0.0017277002714858121,-0.0007980771920710567,0.004533126545695973,svar,ppo,43,nonlinear_policy
sac_svar_revealed_direct,0.1952349032153061,0.0678741432465723,0.0509750434082332,0.9307229868470568,0.1639194898264361,svar,sac,43,standard_nonlinear
td3_svar_revealed_direct,-0.0616847318289789,-0.0025121497772024,-0.148786795047988,0.9477881731460192,0.4033337789764964,svar,td3,43,standard_nonlinear
