env_id,group,tier,algo,mean_discounted_loss,std_discounted_loss,median_discounted_loss,mean_reward,mean_clip_rate,mean_explosion_rate,best_loss_in_env,loss_gap_vs_best_rl_pct
asymmetric_medium,asymmetric,medium,ppo,28.031178587342897,0.9644175557338093,28.122178014169286,-35.62951691643622,0.0,0.0,22.558037540943275,24.262487534501904
asymmetric_medium,asymmetric,medium,sac,22.558037540943275,0.9590756022943017,22.748183088444335,-28.5320251143899,0.0,0.0,22.558037540943275,0.0
asymmetric_medium,asymmetric,medium,td3,23.96194190428405,0.8295386306032453,23.9990547760092,-30.398621778994336,0.0,0.0,22.558037540943275,6.223521708360762
asymmetric_mild,asymmetric,mild,ppo,24.666985516855117,0.8712779552593869,25.051721379484988,-31.45321050096366,0.0,0.0,19.31555140897551,27.705313685183825
asymmetric_mild,asymmetric,mild,sac,19.31555140897551,0.4803499278810467,19.57958556851616,-24.437380185557842,0.0,0.0,19.31555140897551,0.0
asymmetric_mild,asymmetric,mild,td3,20.624103962311995,0.4145896101442243,20.45342069775624,-26.189945573424563,0.0,0.0,19.31555140897551,6.774606251874493
asymmetric_strong,asymmetric,strong,ppo,36.7036713813143,2.069956213464894,37.872921194625896,-46.61444811200914,0.0,0.0,28.84676374922036,27.236703917285304
asymmetric_strong,asymmetric,strong,sac,28.84676374922036,0.9613775462338714,29.166550921103955,-36.412972907685706,0.0,0.0,28.84676374922036,0.0
asymmetric_strong,asymmetric,strong,td3,31.22760342970149,1.4232447873694374,31.921346354497683,-39.60410665518926,0.0,0.0,28.84676374922036,8.253403054772388
benchmark,benchmark,baseline,ppo,21.074324741974696,0.41762007410451213,21.05080699850655,-26.690986632662668,0.0,0.0,16.663788982435474,26.46778451280296
benchmark,benchmark,baseline,sac,16.663788982435474,0.14447490793174517,16.73729505310729,-21.008100243576646,0.0,0.0,16.663788982435474,0.0
benchmark,benchmark,baseline,td3,18.043690613998795,0.2604591988417035,18.183310394107153,-22.82925956472653,0.0,0.0,16.663788982435474,8.280839567866655
nonlinear_medium,nonlinear,medium,ppo,21.3660121460795,1.1067320380844006,21.977302150900673,-27.804539020145484,0.0,0.0,15.26625235739553,39.95584276928989
nonlinear_medium,nonlinear,medium,sac,15.26625235739553,0.18128689934761508,15.35616413018287,-19.69899876223921,0.0,0.0,15.26625235739553,0.0
nonlinear_medium,nonlinear,medium,td3,16.17350533913487,0.4900729226391543,16.23067195416274,-20.868034016759378,0.0,0.0,15.26625235739553,5.942866399033642
nonlinear_mild,nonlinear,mild,ppo,20.49030984054728,1.1127734129427735,21.086974704892167,-26.93877217905062,0.0,0.0,14.378378735618838,42.50779046310458
nonlinear_mild,nonlinear,mild,sac,14.378378735618838,0.22265080766541592,14.318456700413543,-18.73215721374876,0.0,0.0,14.378378735618838,0.0
nonlinear_mild,nonlinear,mild,td3,15.174234266201923,0.28998001669842993,15.294706390086626,-19.80165822922736,0.0,0.0,14.378378735618838,5.535085319539896
nonlinear_strong,nonlinear,strong,ppo,26.671756407063302,0.8704294784930607,27.00874805977515,-34.43569886552809,0.0,0.0,16.57784580992198,60.887950780070796
nonlinear_strong,nonlinear,strong,sac,16.57784580992198,0.16883684600673235,16.480809971705657,-21.143641670074054,0.0,0.0,16.57784580992198,0.0
nonlinear_strong,nonlinear,strong,td3,17.67377916902911,0.9662178263344069,18.071682776627966,-22.59943057237125,0.0,0.0,16.57784580992198,6.610830934687587
zlb_medium,zlb,medium,ppo,76.50044927794215,1.9358381396763087,76.01323571951045,-101.88334025987312,0.0,0.0,22.241942182812988,243.9468039668601
zlb_medium,zlb,medium,sac,25.691924684281428,1.4216055221595552,25.3635257678617,-32.88895747304837,0.0,0.0,22.241942182812988,15.511156683674615
zlb_medium,zlb,medium,td3,22.241942182812988,2.1411710954540815,21.740615558042755,-28.029425788339555,0.0,0.0,22.241942182812988,0.0
zlb_mild,zlb,mild,ppo,36.12408337261204,3.314272780913998,36.07871285368097,-47.44348547904792,0.0,0.0,18.677171991428434,93.41302521168926
zlb_mild,zlb,mild,sac,18.677171991428434,1.09859003965524,19.106686229511467,-23.942060729898788,0.0,0.0,18.677171991428434,0.0
zlb_mild,zlb,mild,td3,19.58900552484534,0.4826217219858113,19.678142280729105,-25.117809643554626,0.0,0.0,18.677171991428434,4.882074940656846
zlb_strong,zlb,strong,ppo,122.1934952882231,6.293045134420619,125.58690936629931,-163.24749969081822,0.0,0.0,30.03939365331385,306.7775025636814
zlb_strong,zlb,strong,sac,31.575949706529283,1.7782156179711526,30.786021902601615,-39.70649116137306,0.0,0.0,30.03939365331385,5.115136713306872
zlb_strong,zlb,strong,td3,30.03939365331385,3.3597391479421197,31.797014136177257,-37.67308975155489,0.0,0.0,30.03939365331385,0.0
