env_id,group,tier,policy_name,mean_discounted_loss,std_discounted_loss,mean_reward,clip_rate,explosion_rate
asymmetric_medium,asymmetric,medium,empirical_taylor,42.37723412597336,12.20720634196493,-54.855227672927555,0.0,0.0
asymmetric_medium,asymmetric,medium,linear_policy_search,19.665897845954397,5.830701831227838,-24.813729368136393,0.0,0.0
asymmetric_medium,asymmetric,medium,riccati_reference,19.198290752920855,5.568059004078353,-24.21448241625469,0.0,0.0
asymmetric_medium,asymmetric,medium,zero_policy,44.44765243223294,23.0476787621145,-57.466683446288975,0.0,0.0
asymmetric_mild,asymmetric,mild,empirical_taylor,36.66583944480104,10.265629908140555,-47.50346295793845,0.0,0.0
asymmetric_mild,asymmetric,mild,linear_policy_search,16.76076734431362,4.670950213897004,-21.133810375412217,0.0,0.0
asymmetric_mild,asymmetric,mild,riccati_reference,16.578024835206108,4.569894444857489,-20.902895852516266,0.0,0.0
asymmetric_mild,asymmetric,mild,zero_policy,38.59546610297893,20.122382150870514,-49.91304033465706,0.0,0.0
asymmetric_strong,asymmetric,strong,empirical_taylor,53.800023488317976,16.23474794261197,-69.55875710290573,0.0,0.0
asymmetric_strong,asymmetric,strong,linear_policy_search,24.115957879626805,7.374647567372081,-30.429608865471987,0.0,0.0
asymmetric_strong,asymmetric,strong,riccati_reference,24.438822588350344,7.694519783592223,-30.837655543731543,0.0,0.0
asymmetric_strong,asymmetric,strong,zero_policy,56.15202509074094,28.96060971641056,-72.57396966955281,0.0,0.0
benchmark,benchmark,baseline,empirical_taylor,32.27080223027266,8.927569713199219,-41.51227420229672,0.0,0.0
benchmark,benchmark,baseline,linear_policy_search,15.046796320931463,4.2962174181747255,-18.733401690478903,0.0,0.0
benchmark,benchmark,baseline,riccati_reference,14.87905947168501,4.14729524370854,-18.52163661126683,0.0,0.0
benchmark,benchmark,baseline,zero_policy,34.48154197680107,18.03634693714574,-44.1637298448843,0.0,0.0
nonlinear_medium,nonlinear,medium,empirical_taylor,29.316985484318117,8.263447957214037,-38.27830066462677,0.0,0.0
nonlinear_medium,nonlinear,medium,linear_policy_search,13.513418255876951,3.675093075370034,-17.203279210492475,0.0,0.0
nonlinear_medium,nonlinear,medium,riccati_reference,13.318865553387111,3.4847601724356276,-16.954433288603784,0.0,0.0
nonlinear_medium,nonlinear,medium,zero_policy,31.808572667449194,17.472365086445723,-41.52149949236892,0.0,0.0
nonlinear_mild,nonlinear,mild,empirical_taylor,28.533124833292703,7.428566579359498,-37.55024756292609,0.0,0.0
nonlinear_mild,nonlinear,mild,linear_policy_search,12.838591335722938,3.411471859870272,-16.509942874456392,0.0,0.0
nonlinear_mild,nonlinear,mild,riccati_reference,12.66881088873786,3.227563128874118,-16.292422858588424,0.0,0.0
nonlinear_mild,nonlinear,mild,zero_policy,30.11700564039556,16.254850626740282,-39.644781735711454,0.0,0.0
nonlinear_strong,nonlinear,strong,empirical_taylor,31.34624894183228,9.96692634242877,-40.56992858076927,0.0,0.0
nonlinear_strong,nonlinear,strong,linear_policy_search,14.488679716810019,4.121124938015556,-18.243973097284147,0.0,0.0
nonlinear_strong,nonlinear,strong,riccati_reference,14.231346987372817,3.9061964876229758,-17.914837555750395,0.0,0.0
nonlinear_strong,nonlinear,strong,zero_policy,36.13829784386908,21.446472535095435,-46.774296708161316,0.0,0.0
zlb_medium,zlb,medium,empirical_taylor,32.69400097464212,9.886162995505165,-41.9555642874007,0.05520833333333333,0.0
zlb_medium,zlb,medium,linear_policy_search,19.201153580685286,7.9237337204053215,-23.430767784735657,0.2328125,0.0
zlb_medium,zlb,medium,riccati_reference,19.068042605517025,7.908968973972795,-23.26847678149241,0.2359375,0.0
zlb_medium,zlb,medium,zero_policy,37.58862783816401,18.338006934699468,-47.45016537404732,0.0,0.0
zlb_mild,zlb,mild,empirical_taylor,30.282817238915506,8.009346596957906,-39.34842684205927,0.0026041666666666665,0.0
zlb_mild,zlb,mild,linear_policy_search,15.045656097488173,4.476786576525902,-18.763239495302937,0.043229166666666666,0.0
zlb_mild,zlb,mild,riccati_reference,14.895957870785983,4.439747226126248,-18.584052501282315,0.04895833333333333,0.0
zlb_mild,zlb,mild,zero_policy,34.38926738921255,16.97072710415868,-44.0945695608721,0.0,0.0
zlb_strong,zlb,strong,empirical_taylor,38.77138729735274,14.530422154971495,-48.9159963048645,0.15989583333333332,0.0
zlb_strong,zlb,strong,linear_policy_search,27.55318047023536,13.487420764686062,-33.17733381243829,0.3104166666666667,0.0
zlb_strong,zlb,strong,riccati_reference,27.23872748822563,13.895202020248265,-32.73492522837519,0.4515625,0.0
zlb_strong,zlb,strong,zero_policy,41.96319188538303,20.29260176873278,-52.032832834913954,0.0,0.0
asymmetric_medium,asymmetric,medium,ppo,28.031178587342897,0.9644175557338093,-35.62951691643622,0.0,0.0
asymmetric_medium,asymmetric,medium,sac,22.558037540943275,0.9590756022943017,-28.5320251143899,0.0,0.0
asymmetric_medium,asymmetric,medium,td3,23.96194190428405,0.8295386306032453,-30.398621778994336,0.0,0.0
asymmetric_mild,asymmetric,mild,ppo,24.666985516855117,0.8712779552593869,-31.45321050096366,0.0,0.0
