algo,seed,step,eval_mean_reward,eval_mean_discounted_loss,eval_clip_rate
sac,43,4000,-415.173264739773,392.6549736239615,0.0
sac,43,8000,-647.9125457174372,578.6224982155853,0.0
sac,43,12000,-469.7612654357013,450.4200569286354,0.0
sac,43,16000,-379.1808266623162,347.9632414054715,0.0
sac,43,20000,-340.0022920128688,314.4011093153285,0.0
sac,43,24000,-472.1946034714599,451.7600092599191,0.0
sac,43,28000,-496.90967586899507,478.9679771468456,0.0
